"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","269.75","331.466","6846.777","228.599","14.052","1986.598","1612.46"
"SD_Ann","470.854","505.347","10919.431","267.851","59.875","3960.094","5331.043"
"CV_Ann","1.746","1.525","1.595","1.172","4.261","1.993","3.306"
"Q10_Mag","0","0","213","0","0","0","0"
"Q25_Mag","7.2","0","455.1","34.7","0","0","0"
"Q50_Mag","66.7","173.5","1134.2","152.8","0","0","87.4"
"Q75_Mag","397.7","501.25","7074.9","382.4","0.8","1113.425","500.15"
"Q90_Mag","722.86","665","27033.74","466.32","17.54","9718.85","3451.16"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","205","69","81","60","1","228","107"
"Q75_Tim","282","111","93","164","1","230","146"
"Q90_Tim",NA,"364","40",NA,NA,"254","219"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","5","3","3","4","1","2","3"
"Q75_Fre","7","9","5","4","1","2","4"
"Q90_Fre",NA,"1","3",NA,NA,"2","2"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","162","207","357","228","17","130","183"
"Q75_Dur","60","97","264","25","4","108","93"
"Q90_Dur",NA,"3","149",NA,NA,"68","73"
"Q10_Mag_Lng_Evt","2893.5","4329.5","39117.8","1762.2","546.3","15627.7","10712"
"Q25_Mag_Lng_Evt","2893.5","4329.5","39117.8","1762.2","546.3","15627.7","10712"
"Q50_Mag_Lng_Evt","1911.4","1208.3","39117.8","659.6","546.3","15627.7","9845"
"Q75_Mag_Lng_Evt","2893.5","1208.3","39117.8","1762.2","546.3","15627.7","10192"
"Q90_Mag_Lng_Evt",NA,"4329.5","39117.8",NA,NA,"15627.7","19691"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","301","1","1","1","1","236","90"
"Q75_Strt_Tim_Lng_Evt","231","1","1","270","1","236","123"
"Q90_Strt_Tim_Lng_Evt",NA,"364","37",NA,NA,"236","212"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","aut","win","win","win","win","sum","win"
"Q75_Strt_Sea_Lng_Evt","sum","win","win","aut","win","sum","win"
"Q90_Strt_Sea_Lng_Evt",NA,"win","win",NA,NA,"sum","win"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","65","149","244","183","17","120","129"
"Q75_Dur_Lng_Evt","23","28","180","14","4","102","58"
"Q90_Dur_Lng_Evt",NA,"3","119",NA,NA,"46","56"
"Init_Mag","173.591","1660.454","8158.561","607.11","1193.64","448.489","2040.307"
"Init_Tim","65","-60","8","-92","-92","135","-6"
"Init_Dur","22","15","5","22","13","26","17.167"
"Wet_BFL_Mag_10","135.49","0","7655.7","423.64","0",NA,"1642.966"
"Wet_BFL_Mag_50","355.85","435.9","26676.5","600.3","28.9",NA,"5619.49"
"Wet_Tim","220","-70","71","-82","-105",NA,"6.8"
"Wet_BFL_Dur","20","315","53","115","231",NA,"146.8"
"Peak_Mag_Ann","2893.5","4329.5","39117.8","1762.2","546.3","15627.7","10712.833"
"Peak_Mag_Tim","239","366","123","272","3","250","208.833"
"Peak_Mag_95",NA,NA,"39117.8",NA,NA,"13915.2","26516.5"
"Peak_Mag_90",NA,"4329.5","8543.7",NA,NA,"13915.2","8929.467"
"Peak_Mag_80","1911.4","845.65","2933.25","1210.9",NA,"8518.5","3083.94"
"Peak_Dur_95",NA,NA,"66",NA,NA,"44","55"
"Peak_Dur_90",NA,"3","149",NA,NA,"68","73.333"
"Peak_Dur_80","41","46","234","14",NA,"107","88.4"
"Peak_Fre_95",NA,NA,"1",NA,NA,"2","1.5"
"Peak_Fre_90",NA,"1","3",NA,NA,"2","2"
"Peak_Fre_80","3","8","4","2",NA,"2","3.8"
"Peak_Tim_95",NA,NA,"78",NA,NA,"269.5","173.75"
"Peak_Tim_90",NA,"364","37",NA,NA,"264","221.667"
"Peak_Tim_80","301","177.5","280.5","151",NA,"181.5","218.3"
"Rec_Mag","2893.5","1348.3","39117.8","659.6","3.2","1409.3","7571.95"
"Rec_Tim","239","244","123","32","125","130","148.833"
"Rec_Dur","45","46","93","172","1","14","61.833"
"Rec_ROC","0.116","0.136","0.072","0.078","1","0.418","0.303"
"Dry_Mag_90","0","7290.54","474.53","0",NA,"10961.02","3745.218"
"Dry_Mag_50","0","1672.4","211.7","0",NA,"149.9","406.8"
"Dry_Mag_10","0","0","83.34","0",NA,"0","16.668"
"Dry_Tim","284","290","216","204","126","144","210.667"
"Dry_Dur","12","148","68","57",NA,"223","101.6"
"Dry_NoFL_Days","11","64","0","57",NA,"92","44.8"
"No_Peaks_Avg",NA,NA,"0.5",NA,NA,"2.5","1.5"
"No_Peaks_Max",NA,NA,"1",NA,NA,"4","2.5"
"Frac_V_Cent_Avg",NA,NA,"0.567",NA,NA,"0.521","0.544"
"Frac_V_Cent_Max",NA,NA,"0.49",NA,NA,"0.486","0.488"
