"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","360.297","218.839","1567.493","245.058","27.991","548.671","494.624"
"SD_Ann","584.999","235.003","2594.398","271.956","85.592","1422.717","1337.758"
"CV_Ann","1.624","1.074","1.655","1.11","3.058","2.593","2.705"
"Q10_Mag","0","0.2","114.48","2.94","0","0","0"
"Q25_Mag","13.4","7.6","240.8","41.2","0","0","0"
"Q50_Mag","92.3","74.45","520.3","172.1","0","0.2","73.8"
"Q75_Mag","469","403.65","1241","337.9","0","205.975","400.725"
"Q90_Mag","1088.6","585.25","4821.14","567.64","40.48","1881.5","1018.89"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","216","76","114","112","321","205","174"
"Q75_Tim","242","102","151","106",NA,"228","165"
"Q90_Tim","276",NA,"155","243",NA,"222","223"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","3","5","3","5","2","2","3"
"Q75_Fre","6","6","6","6",NA,"2","5"
"Q90_Fre","4",NA,"3","3",NA,"1","2"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","191","185","342","251","35","106","185"
"Q75_Dur","95","104","219","79",NA,"72","113"
"Q90_Dur","40",NA,"125","7",NA,"48","55"
"Q10_Mag_Lng_Evt","3498.7","795.9","12820.4","1786.4","346","9373.3","4770"
"Q25_Mag_Lng_Evt","3498.7","795.9","12820.4","1786.4","346","9373.3","4770"
"Q50_Mag_Lng_Evt","3498.7","785.8","6997.6","1011.6","346","9373.3","3668"
"Q75_Mag_Lng_Evt","3498.7","764.9","6997.6","668.4",NA,"9373.3","4260"
"Q90_Mag_Lng_Evt","3498.7",NA,"12820.4","1786.4",NA,"9373.3","6869"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","275","1","201","1","333","222","172"
"Q75_Strt_Tim_Lng_Evt","283","35","271","18",NA,"222","165"
"Q90_Strt_Tim_Lng_Evt","286",NA,"77","260",NA,"222","211"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","aut","win","sum","win","aut","sum","aut"
"Q75_Strt_Sea_Lng_Evt","aut","win","aut","win",NA,"sum","aut"
"Q90_Strt_Sea_Lng_Evt","aut",NA,"spr","aut",NA,"sum","aut"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","91","113","165","89","33","98","98"
"Q75_Dur_Lng_Evt","55","28","91","26",NA,"66","53"
"Q90_Dur_Lng_Evt","16",NA,"78","5",NA,"48","36"
"Init_Mag","39.044","3038.333","600.337","292.572","285.593","320.303","762.697"
"Init_Tim","7","-76","30","-179","-50","-19","-47.833"
"Init_Dur","6","12","12","18","16","24","14.667"
"Wet_BFL_Mag_10","203.96","29.3","334.95","52.35","0","0","103.427"
"Wet_BFL_Mag_50","577.75","352.3","3790.8","331.95","0","2809.5","1310.383"
"Wet_Tim","214","-94","71","-103","-63","213","39.667"
"Wet_BFL_Dur","14","327","36","366","192","27","160.333"
"Peak_Mag_Ann","3498.7","795.9","12820.4","1786.4","346","9373.3","4770.117"
"Peak_Mag_Tim","288","212","106","262","354","226","241.333"
"Peak_Mag_95","3498.7",NA,"9909",NA,NA,"5904.5","6437.4"
"Peak_Mag_90","1840.55",NA,"6997.6","1255",NA,"9373.3","4866.612"
"Peak_Mag_80","1363.85","669.7","690.25","1011.6",NA,"4952.75","1737.63"
"Peak_Dur_95","7",NA,"69",NA,NA,"38","38"
"Peak_Dur_90","40",NA,"125","7",NA,"48","55"
"Peak_Dur_80","87","57","190","53",NA,"68","91"
"Peak_Fre_95","1",NA,"2",NA,NA,"2","1.667"
"Peak_Fre_90","4",NA,"3","3",NA,"1","2.75"
"Peak_Fre_80","4","7","6","7",NA,"2","5.2"
"Peak_Tim_95","287",NA,"182.5",NA,NA,"244","237.833"
"Peak_Tim_90","254",NA,"272","245",NA,"222","248.25"
"Peak_Tim_80","208","72","65.5","121",NA,"261","145.5"
"Rec_Mag","1625.9","669.7","12820.4","1786.4","103.2","6218.3","3870.65"
"Rec_Tim","227","232","106","262","128","239","199"
"Rec_Dur","37","125","63","33","33","103","65.667"
"Rec_ROC","0.137","0.207","0.097","0.228","0.308","0.091","0.178"
"Dry_Mag_90","33.31","610.4","334.48","0.26","66.6","30.96","179.335"
"Dry_Mag_50","27.9","375.7","171.85","0.15","0","10.1","97.617"
"Dry_Mag_10","23.9","0","62.92","0","0","5.22","15.34"
"Dry_Tim","264","357","169","295","161","342","264.667"
"Dry_Dur","8","81","94","8","418","25","105.667"
"Dry_NoFL_Days","0","10","0","2","339","0","58.5"
"No_Peaks_Avg","1",NA,"1.25",NA,NA,"1.25","1.167"
"No_Peaks_Max","1",NA,"2",NA,NA,"1","1.333"
"Frac_V_Cent_Avg","0.571",NA,"0.525",NA,NA,"0.469","0.522"
"Frac_V_Cent_Max","0.571",NA,"0.469",NA,NA,"0.4","0.48"
