"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","241.237","299.34","6001.439","218.29","79.68","1972.461","1468.437"
"SD_Ann","399.354","347.976","9498.325","235.889","177.799","3907.943","4703.199"
"CV_Ann","1.655","1.162","1.583","1.081","2.231","1.981","3.203"
"Q10_Mag","0","0","101.28","0","0","0","0"
"Q25_Mag","0","0","536.5","2.4","0","0","0"
"Q50_Mag","28","226.3","1140.4","170.2","0","0","95.55"
"Q75_Mag","386.7","494.525","6266.6","355.8","13.8","845.7","546.95"
"Q90_Mag","654.98","656.95","24070.18","498.56","405.56","9859.15","2903.46"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","204","67","103","139","209","229","158"
"Q75_Tim","293","136","104","223","320","234","218"
"Q90_Tim",NA,NA,"34",NA,NA,"240","137"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","4","4","4","6","2","2","3"
"Q75_Fre","4","8","3","5","2","2","4"
"Q90_Fre",NA,NA,"3",NA,NA,"1","2"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","154","206","334","218","70","121","183"
"Q75_Dur","55","68","274","28","22","106","92"
"Q90_Dur",NA,NA,"146",NA,NA,"78","112"
"Q10_Mag_Lng_Evt","2294.9","2247.5","33697.2","1485.6","846.6","14159.5","9121"
"Q25_Mag_Lng_Evt","2294.9","2247.5","33697.2","1485.6","846.6","14159.5","9121"
"Q50_Mag_Lng_Evt","1468.5","911.9","33697.2","627.6","846.6","14159.5","8618"
"Q75_Mag_Lng_Evt","2294.9","911.9","33697.2","1174.2","647.3","14159.5","8814"
"Q90_Mag_Lng_Evt",NA,NA,"33697.2",NA,NA,"14159.5","23928"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","304","1","1","1","305","239","141"
"Q75_Strt_Tim_Lng_Evt","234","1","1","277","321","240","179"
"Q90_Strt_Tim_Lng_Evt",NA,NA,"39",NA,NA,"240","139"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","aut","win","win","win","aut","sum","win"
"Q75_Strt_Sea_Lng_Evt","sum","win","win","aut","aut","sum","aut"
"Q90_Strt_Sea_Lng_Evt",NA,NA,"win",NA,NA,"sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","62","155","198","76","48","109","108"
"Q75_Dur_Lng_Evt","20","17","177","10","20","100","57"
"Q90_Dur_Lng_Evt",NA,NA,"119",NA,NA,"78","98"
"Init_Mag","406.457","1667.476","943.33","266.353","871.69","600.271","792.596"
"Init_Tim","5","-125","-117","-150","-82","-38","-84.5"
"Init_Dur","4","25","33","17","11","12","17"
"Wet_BFL_Mag_10",NA,"0.8","6699.8","42.39","0.02",NA,"1685.753"
"Wet_BFL_Mag_50",NA,"465.6","23086.3","416.25","184.9",NA,"6038.262"
"Wet_Tim","5","-162","71","-110","-94",NA,"-58"
"Wet_BFL_Dur",NA,"299","61","268","103",NA,"182.75"
"Peak_Mag_Ann","2294.9","2247.5","33697.2","1485.6","846.6","14159.5","9121.883"
"Peak_Mag_Tim","241","366","131","156","308","251","242.167"
"Peak_Mag_95",NA,NA,"33697.2",NA,NA,"12934.3","23315.75"
"Peak_Mag_90",NA,NA,"6387.1",NA,NA,"14159.5","10273.3"
"Peak_Mag_80","1468.5","963","1376.8","1174.2","846.6","7592.75","2236.975"
"Peak_Dur_95",NA,NA,"66",NA,NA,"44","55"
"Peak_Dur_90",NA,NA,"146",NA,NA,"78","112"
"Peak_Dur_80","36","36","253","16","1","103","74.167"
"Peak_Fre_95",NA,NA,"1",NA,NA,"2","1.5"
"Peak_Fre_90",NA,NA,"3",NA,NA,"1","2"
"Peak_Fre_80","3","6","5","3","1","2","3.333"
"Peak_Tim_95",NA,NA,"81",NA,NA,"273","177"
"Peak_Tim_90",NA,NA,"39",NA,NA,"240","139.5"
"Peak_Tim_80","305","189.5","284","278","308","187","258.583"
"Rec_Mag","453.8","836.1","33697.2","868.3","455","1026","6222.733"
"Rec_Tim","3","136","131","157","8","135","95"
"Rec_Dur","98","30","68","47","34","20","49.5"
"Rec_ROC","0.124","0.15","0.09","0.159","0.119","0.326","0.161"
"Dry_Mag_90","0","5642.97","322.84","0",NA,"10768.42","3346.846"
"Dry_Mag_50","0","0.95","101.7","0",NA,"157.55","52.04"
"Dry_Mag_10","0","0","21.72","0",NA,"0","4.344"
"Dry_Tim","101","166","199","204","42","155","144.5"
"Dry_Dur","103","272","57","68",NA,"212","142.4"
"Dry_NoFL_Days","103","132","0","68",NA,"84","77.4"
"No_Peaks_Avg",NA,NA,"0.5",NA,NA,"2","1.25"
"No_Peaks_Max",NA,NA,"1",NA,NA,"3","2"
"Frac_V_Cent_Avg",NA,NA,"0.587",NA,NA,"0.521","0.554"
"Frac_V_Cent_Max",NA,NA,"0.537",NA,NA,"0.486","0.512"
