"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","99.552","5.987","113.816","10.448","0","43.096","45.464"
"SD_Ann","511.315","18.074","323.291","52.695","0","281.579","276.764"
"CV_Ann","5.136","3.019","2.84","5.043","NaN","6.534","6.088"
"Q10_Mag","0","0","0","0","0","0","0"
"Q25_Mag","0","0","0","0","0","0","0"
"Q50_Mag","0","0","11.1","0","0","0","0"
"Q75_Mag","28.1","0.9","86.2","0","0","0","0.825"
"Q90_Mag","120.82","16.75","244.34","8.7","0","0","54.55"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","1","1","1","1","1","1","1"
"Q75_Tim","236","59","155","104",NA,"225","155"
"Q90_Tim","224","118","127","167",NA,"225","172"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","1","1","1","1","1","1","1"
"Q75_Fre","4","6","4","5",NA,"1","4"
"Q90_Fre","5","3","4","3",NA,"1","3"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","365","366","365","365","365","366","365"
"Q75_Dur","143","93","223","61",NA,"32","110"
"Q90_Dur","62","12","111","20",NA,"21","45"
"Q10_Mag_Lng_Evt","7308.4","160.5","2532.2","669.7","0","3758.7","2404"
"Q25_Mag_Lng_Evt","7308.4","160.5","2532.2","669.7","0","3758.7","2404"
"Q50_Mag_Lng_Evt","7308.4","160.5","2532.2","669.7","0","3758.7","2404"
"Q75_Mag_Lng_Evt","1008.9","151.2","2532.2","669.7",NA,"3758.7","1624"
"Q90_Mag_Lng_Evt","4108.5","151.2","2527.2","669.7",NA,"3758.7","2243"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q75_Strt_Tim_Lng_Evt","298","1","267","181",NA,"225","194"
"Q90_Strt_Tim_Lng_Evt","179","26","55","181",NA,"225","133"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q75_Strt_Sea_Lng_Evt","aut","win","aut","sum",NA,"sum","aut"
"Q90_Strt_Sea_Lng_Evt","sum","win","win","sum",NA,"sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q75_Dur_Lng_Evt","68","50","99","23",NA,"32","54"
"Q90_Dur_Lng_Evt","24","6","74","13",NA,"21","27"
"Init_Mag","0","4.788","534.217","25.16",NA,"0","112.833"
"Init_Tim","157","-120","57","-8",NA,"219","61"
"Init_Dur","11","13","10","8",NA,"27","13.8"
"Wet_BFL_Mag_10","0","0","0","0",NA,"0","0"
"Wet_BFL_Mag_50","62.9","2.05","1.4","0",NA,"0","13.27"
"Wet_Tim","157","-73","49","125",NA,"219","95.4"
"Wet_BFL_Dur","26","290","226","64",NA,"11","123.4"
"Peak_Mag_Ann","7308.4","160.5","2532.2","669.7","0","3758.7","2404.917"
"Peak_Mag_Tim","165","216","274","188","1","229","178.833"
"Peak_Mag_95","2558.7","160.5","602.15","427.1",NA,"3758.7","1501.43"
"Peak_Mag_90","1008.9","151.2","1365.75","184.5",NA,"3758.7","1293.81"
"Peak_Mag_80","25.6","36.3","1279.8","100.9",NA,"3758.7","1040.26"
"Peak_Dur_95","29","1","62","6",NA,"14","22.4"
"Peak_Dur_90","62","12","111","20",NA,"21","45.2"
"Peak_Dur_80","126","61","190","35",NA,"27","87.8"
"Peak_Fre_95","4","1","6","2",NA,"1","2.8"
"Peak_Fre_90","5","3","4","3",NA,"1","3.2"
"Peak_Fre_80","5","7","4","4",NA,"1","4.2"
"Peak_Tim_95","197","216","119","159",NA,"225","183.2"
"Peak_Tim_90","212","190","202","181",NA,"225","202"
"Peak_Tim_80","248","138","214","126",NA,"225","190.2"
"Rec_Mag","4108.5","160.5","2532.2","669.7",NA,"3758.7","2245.92"
"Rec_Tim","182","216","274","188",NA,"229","217.8"
"Rec_Dur","48","22","69","26",NA,"29","38.8"
"Rec_ROC","0.299","0.373","0.114","0.365",NA,"0.312","0.293"
"Dry_Mag_90","3.94","0.39","10.94",NA,NA,"0","3.817"
"Dry_Mag_50","0","0","0",NA,NA,"0","0"
"Dry_Mag_10","0","0","0",NA,NA,"0","0"
"Dry_Tim","230","238","343","214",NA,"258","256.6"
"Dry_Dur","63","178","148",NA,NA,"109","124.5"
"Dry_NoFL_Days","49","158","94",NA,NA,"109","102.5"
"No_Peaks_Avg","1.25","1","1.125","1",NA,"2","1.275"
"No_Peaks_Max","1","1","1","1",NA,"2","1.2"
"Frac_V_Cent_Avg","0.317","1","0.448","0.8",NA,"0.357","0.584"
"Frac_V_Cent_Max","0.167","1","0.273","0.6",NA,"0.357","0.479"
