"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","619.418","654.32","4390.691","634.328","406.403","432.069","1188.948"
"SD_Ann","1402.608","1176.965","9476.364","967.62","563.546","1701.03","4269.137"
"CV_Ann","2.264","1.799","2.158","1.525","1.387","3.937","3.591"
"Q10_Mag","8.1","15.25","340.04","24","0","0","0"
"Q25_Mag","15.6","68.475","668.7","65","1","0","25"
"Q50_Mag","215.5","280.8","1471.3","177","134","0","244"
"Q75_Mag","527.3","589.5","3287.4","781","621","189.275","895.7"
"Q90_Mag","1309.14","1830.4","9040.2","2233.16","1298.8","505.45","2304.16"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","140","4","1","1","41","251","73"
"Q50_Tim","224","107","120","118","120","259","157"
"Q75_Tim","248","136","136","128","171","227","174"
"Q90_Tim","240","131","133","150","196","231","180"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","5","2","1","1","2","3","2"
"Q50_Fre","7","5","3","6","4","3","4"
"Q75_Fre","9","6","7","7","3","1","5"
"Q90_Fre","5","7","8","3","1","2","4"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","256","325","365","339","249","140","279"
"Q50_Dur","174","221","347","153","152","72","186"
"Q75_Dur","61","71","250","89","63","25","93"
"Q90_Dur","23","27","124","40","3","16","38"
"Q10_Mag_Lng_Evt","12143.9","9927.7","67649.7","6543.5","2475","14154","18815"
"Q25_Mag_Lng_Evt","12143.9","9927.7","67649.7","6543.5","2475","14154","18815"
"Q50_Mag_Lng_Evt","12143.9","8903.6","67649.7","3308","2475","14154","18105"
"Q75_Mag_Lng_Evt","12143.9","5367.5","67649.7","3308","2475","14154","17516"
"Q90_Mag_Lng_Evt","11550.5","8903.6","67649.7","3308","2475","14154","18006"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","152","1","1","1","42","227","70"
"Q50_Strt_Tim_Lng_Evt","274","1","1","165","135","227","133"
"Q75_Strt_Tim_Lng_Evt","281","184","56","173","184","227","184"
"Q90_Strt_Tim_Lng_Evt","213","27","57","191","196","227","151"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","win","win","win","win","sum","win"
"Q50_Strt_Sea_Lng_Evt","aut","win","win","sum","spr","sum","sum"
"Q75_Strt_Sea_Lng_Evt","aut","sum","win","sum","sum","sum","sum"
"Q90_Strt_Sea_Lng_Evt","sum","win","win","sum","sum","sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","214","322","365","339","239","92","261"
"Q50_Dur_Lng_Evt","92","87","156","69","112","45","93"
"Q75_Dur_Lng_Evt","13","22","91","55","39","25","40"
"Q90_Dur_Lng_Evt","7","7","55","28","3","12","18"
"Init_Mag","105.381","547.256","1570.557","885.037","95.152","13.039","536.07"
"Init_Tim","72","-29","1","-26","-99","-69","-25"
"Init_Dur","8","4","8","6","4","12","7"
"Wet_BFL_Mag_10","87.9","118.35","281.24","75","147.8","0.08","118.395"
"Wet_BFL_Mag_50","396.9","406.6","1774.8","431","611","4358.5","1329.8"
"Wet_Tim","148","19","50","-34","71","221","79.167"
"Wet_BFL_Dur","163","198","227","247","128","15","163"
"Peak_Mag_Ann","12143.9","9927.7","67649.7","6543.5","2475","14154","18815.633"
"Peak_Mag_Tim","281","131","83","108","197","235","172.5"
"Peak_Mag_95","7969.65","5503.7","32966.7","5883.25",NA,"14154","13295.46"
"Peak_Mag_90","4388.8","5367.5","5342.3","5223","2475","8868.6","5277.533"
"Peak_Mag_80","4355.75","5367.5","7475.9","3308","1901","14154","6093.692"
"Peak_Dur_95","12","10","76","7",NA,"10","23"
"Peak_Dur_90","23","27","124","40","3","16","38.833"
"Peak_Dur_80","41","57","216","72","42","24","75.333"
"Peak_Fre_95","4","5","6","2",NA,"1","3.6"
"Peak_Fre_90","5","7","8","3","1","2","4.333"
"Peak_Fre_80","6","7","6","5","2","1","4.5"
"Peak_Tim_95","247","131","92.5","54.5",NA,"228","150.6"
"Peak_Tim_90","213","184","153","107","196","235","181.333"
"Peak_Tim_80","247","184","122","58","176.5","227","169.083"
"Rec_Mag","4388.8","5503.7","62006.2","2921","2312","14154","15214.283"
"Rec_Tim","310","216","276","212","198","235","241.167"
"Rec_Dur","22","121","52","50","87","83","69.167"
"Rec_ROC","0.147","0.16","0.099","0.171","0.135","0.095","0.134"
"Dry_Mag_90","855.04","2494.7","608.56","135.2","0","329","737.083"
"Dry_Mag_50","356","782.6","571.35","36","0","158.9","317.475"
"Dry_Mag_10","253.16","0","550.8","0","0","16.44","136.733"
"Dry_Tim","332","337","328","262","285","318","310.333"
"Dry_Dur","53","80","4","175","302","49","110.5"
"Dry_NoFL_Days","0","24","0","23","278","0","54.167"
"No_Peaks_Avg","1","1","1.625","1",NA,"2","1.325"
"No_Peaks_Max","1","1","2","1",NA,"2","1.4"
"Frac_V_Cent_Avg","0.567","0.7","0.583","0.833",NA,"0.6","0.657"
"Frac_V_Cent_Max","0.667","1","0.529","1",NA,"0.6","0.759"
