"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","91.861","48.101","204.614","73.605","46.991","32.514","82.909"
"SD_Ann","100.769","25.934","517.756","144.493","30.321","23.817","231.057"
"CV_Ann","1.097","0.539","2.53","1.963","0.645","0.733","2.787"
"Q10_Mag","19.24","19.5","19","23.14","14.74","13.55","16.9"
"Q25_Mag","37.9","26","35","29.4","19.3","16.1","24.8"
"Q50_Mag","67.7","37.5","52","39","35","22.25","43.15"
"Q75_Mag","116","73","106","93.7","77","46.5","79.05"
"Q90_Mag","139.66","86","466.2","112.52","88.56","61.5","112"
"Q10_Tim","1","10","1","1","99","161","45"
"Q25_Tim","1","127","1","24","128","207","81"
"Q50_Tim","95","188","114","151","169","182","149"
"Q75_Tim","147","227","92","185","220","217","181"
"Q90_Tim","150",NA,"54","220","202","305","186"
"Q10_Fre","1","2","1","1","6","9","3"
"Q25_Fre","1","5","1","3","6","7","3"
"Q50_Fre","5","4","10","4","5","5","5"
"Q75_Fre","8","6","6","2","5","3","5"
"Q90_Fre","6",NA,"5","4","2","1","3"
"Q10_Dur","365","359","365","365","280","255","331"
"Q25_Dur","315","293","316","322","251","163","276"
"Q50_Dur","260","171","238","186","159","110","187"
"Q75_Dur","159","61","121","117","92","9","93"
"Q90_Dur","106",NA,"79","42","4","2","46"
"Q10_Mag_Lng_Evt","1034.1","104","5435","1835.2","132.6","88.5","1438"
"Q25_Mag_Lng_Evt","1034.1","104","5435","1835.2","132.6","88.5","1438"
"Q50_Mag_Lng_Evt","207.7","104","5435","1835.2","132.6","88.5","1300"
"Q75_Mag_Lng_Evt","207.7","96","5435","299.6","132.6","88.5","1043"
"Q90_Mag_Lng_Evt","207.7",NA,"5435","132.2","132.6","236.8","1228"
"Q10_Strt_Tim_Lng_Evt","1","10","1","1","115","134","43"
"Q25_Strt_Tim_Lng_Evt","1","140","1","19","174","153","81"
"Q50_Strt_Tim_Lng_Evt","133","223","22","154","177","159","144"
"Q75_Strt_Tim_Lng_Evt","208","237","54","188","188","171","174"
"Q90_Strt_Tim_Lng_Evt","247",NA,"55","200","200","305","201"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","spr","spr","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","win","sum","spr","win"
"Q50_Strt_Sea_Lng_Evt","spr","sum","win","sum","sum","sum","sum"
"Q75_Strt_Sea_Lng_Evt","sum","sum","win","sum","sum","sum","sum"
"Q90_Strt_Sea_Lng_Evt","aut",NA,"win","sum","sum","aut","aut"
"Q10_Dur_Lng_Evt","365","357","365","365","193","149","299"
"Q25_Dur_Lng_Evt","315","176","316","316","134","97","225"
"Q50_Dur_Lng_Evt","169","88","128","176","128","90","129"
"Q75_Dur_Lng_Evt","84","20","75","108","45","5","56"
"Q90_Dur_Lng_Evt","41",NA,"68","15","3","2","25"
"Init_Mag","622.056","20","60.115","46.285","66.005","16.5","138.494"
"Init_Tim","19","108","12","37","125","144","74.167"
"Init_Dur","14","11","7","6","15","1","9"
"Wet_BFL_Mag_10","38.78","32.1","99.8","27.9","21.06","22.82","40.41"
"Wet_BFL_Mag_50","93.3","71","543","35.65","34.5","56.4","138.975"
"Wet_Tim","10","108","50","147","28","144","81.167"
"Wet_BFL_Dur","275","182","43","10","183","75","128"
"Peak_Mag_Ann","1034.1","104","5435","1835.2","132.6","236.8","1462.95"
"Peak_Mag_Tim","18","288","92","156","201","305","176.667"
"Peak_Mag_95","324.8",NA,"2809","1067.4",NA,"236.8","1109.5"
"Peak_Mag_90","166.6",NA,"150","215.9","124.35","236.8","178.73"
"Peak_Mag_80","166.6","96","144","299.6","94","162.65","160.475"
"Peak_Dur_95","33",NA,"66","11",NA,"1","27.75"
"Peak_Dur_90","106",NA,"79","42","4","2","46.6"
"Peak_Dur_80","148","30","120","103","42","5","74.667"
"Peak_Fre_95","3",NA,"2","2",NA,"1","2"
"Peak_Fre_90","6",NA,"5","4","2","1","3.6"
"Peak_Fre_80","6","6","6","3","5","2","4.667"
"Peak_Tim_95","72",NA,"44","220",NA,"305","160.25"
"Peak_Tim_90","125",NA,"55","218.5","205","305","181.7"
"Peak_Tim_80","88","242.5","95.5","189","224","238.5","179.583"
"Rec_Mag","207.7","104","5435","1835.2","116.1","69.8","1294.633"
"Rec_Tim","284","289","92","156","210","218","208.167"
"Rec_Dur","38","37","225","184","108","73","110.833"
"Rec_ROC","0.081","0.084","0.117","0.023","0.021","0.01","0.056"
"Dry_Mag_90","31","91","34.55","25.24","19.89","43.85","40.922"
"Dry_Mag_50","24.5","37","29","21.35","15.95","25.05","25.475"
"Dry_Mag_10","17.3","20","19","10.25","13.7","9.7","14.992"
"Dry_Tim","322","326","317","340","318","291","319"
"Dry_Dur","152","91","196","54","192","76","126.833"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","2.333",NA,"3.5","1",NA,"1","1.958"
"No_Peaks_Max","5",NA,"9","1",NA,"1","4"
"Frac_V_Cent_Avg","0.453",NA,"0.705","0.467",NA,"1","0.656"
"Frac_V_Cent_Max","0.36",NA,"0.622","0.333",NA,"1","0.579"
