"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","139.455","144.041","715.775","106.884","188.376","220.487","252.439"
"SD_Ann","82.179","109.451","1220.008","88.3","130.213","172.581","551.095"
"CV_Ann","0.589","0.76","1.704","0.826","0.691","0.783","2.183"
"Q10_Mag","21.44","11","19.4","0","2.94","10.25","10"
"Q25_Mag","86","40","44","18","67.6","41.95","43.875"
"Q50_Mag","140.3","135","157","118","185.7","211.75","143.05"
"Q75_Mag","190","235.75","417","165","302","398.925","255.775"
"Q90_Mag","230.88","297","2875","211.2","338.26","424.05","391.36"
"Q10_Tim","1","36","114","90","52","63","59"
"Q25_Tim","45","146","106","148","55","105","100"
"Q50_Tim","164","123","115","188","119","113","136"
"Q75_Tim","214","135","61","125","93","133","126"
"Q90_Tim","200","128","54","154","155","169","143"
"Q10_Fre","1","2","3","5","4","3","3"
"Q25_Fre","2","8","7","7","4","6","5"
"Q50_Fre","12","5","6","10","5","1","6"
"Q75_Fre","8","4","4","4","5","3","4"
"Q90_Fre","2","1","4","1","5","5","3"
"Q10_Dur","365","362","357","305","313","347","341"
"Q25_Dur","321","290","284","254","277","297","287"
"Q50_Dur","199","180","210","157","214","215","195"
"Q75_Dur","26","78","114","17","163","162","93"
"Q90_Dur","2","2","98","6","11","117","39"
"Q10_Mag_Lng_Evt","714","415","4820","432","438.3","514.7","1222"
"Q25_Mag_Lng_Evt","714","415","4820","237","438.3","514.7","1189"
"Q50_Mag_Lng_Evt","276.6","415","4820","197","438.3","514.7","1110"
"Q75_Mag_Lng_Evt","347.3","323","4820","432","438.3","514.7","1145"
"Q90_Mag_Lng_Evt","421.8","415","4820","432","433.2","482.8","1167"
"Q10_Strt_Tim_Lng_Evt","1","40","1","96","51","71","43"
"Q25_Strt_Tim_Lng_Evt","52","106","1","182","51","113","84"
"Q50_Strt_Tim_Lng_Evt","127","124","61","189","94","113","118"
"Q75_Strt_Tim_Lng_Evt","291","152","62","153","95","117","145"
"Q90_Strt_Tim_Lng_Evt","88","128","62","154","167","121","120"
"Q10_Strt_Sea_Lng_Evt","win","win","win","spr","win","spr","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","sum","win","spr","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","sum","spr","spr","spr"
"Q75_Strt_Sea_Lng_Evt","aut","spr","win","spr","spr","spr","spr"
"Q90_Strt_Sea_Lng_Evt","spr","spr","win","sum","sum","spr","spr"
"Q10_Dur_Lng_Evt","365","327","185","262","303","296","289"
"Q25_Dur_Lng_Evt","278","173","146","143","270","254","210"
"Q50_Dur_Lng_Evt","85","150","77","36","139","215","117"
"Q75_Dur_Lng_Evt","7","53","74","8","138","147","71"
"Q90_Dur_Lng_Evt","1","2","74","6","4","43","21"
"Init_Mag","176.162","351.491","118.386","276.281","40.48","33.639","166.073"
"Init_Tim","10","63","-61","-68","-19","6","-11.5"
"Init_Dur","9","29","14","18","8","9","14.5"
"Wet_BFL_Mag_10","63","30","160","0","196.6","346.2","132.633"
"Wet_BFL_Mag_50","148.2","225","1734","108","300.25","408.4","487.308"
"Wet_Tim","1","36","28","-85","46","108","22.333"
"Wet_BFL_Dur","311","181","80","397","146","121","206"
"Peak_Mag_Ann","714","415","4820","432","438.3","514.7","1222.333"
"Peak_Mag_Tim","311","128","107","159","109","205","169.833"
"Peak_Mag_95","714",NA,"2208",NA,"438.3","470.45","957.688"
"Peak_Mag_90","567.9","415","1377.5","432","420.1","458.1","611.767"
"Peak_Mag_80","421.8","321","1377.5","403","372.35","399.1","549.125"
"Peak_Dur_95","1",NA,"92",NA,"1","21","28.75"
"Peak_Dur_90","2","2","98","6","11","117","39.333"
"Peak_Dur_80","13","60","109","11","122","160","79.167"
"Peak_Fre_95","1",NA,"3",NA,"1","4","2.25"
"Peak_Fre_90","2","1","4","1","5","5","3"
"Peak_Fre_80","3","6","4","2","8","3","4.333"
"Peak_Tim_95","311",NA,"33",NA,"109","179.5","158.125"
"Peak_Tim_90","199.5","128","27","154","167","177","142.083"
"Peak_Tim_80","292","158","47.5","105","152","277","171.917"
"Rec_Mag","714","315","4820","231","395.9","458.1","1155.667"
"Rec_Tim","311","216","107","311","191","228","227.333"
"Rec_Dur","58","76","172","27","151","130","102.333"
"Rec_ROC","0.118","0.094","0.101","0.232","0.077","0.067","0.115"
"Dry_Mag_90","12.9","274.2","10.8","36.1","49.8","50.64","72.407"
"Dry_Mag_50","11","75","10","3.2","16.15","34.7","25.008"
"Dry_Mag_10","9","20","9.2","0","0","30.98","11.53"
"Dry_Tim","369","292","279","338","342","358","329.667"
"Dry_Dur","32","103","2","74","132","9","58.667"
"Dry_NoFL_Days","0","0","0","17","33","0","8.333"
"No_Peaks_Avg","1",NA,"1.333",NA,"1","1.4","1.183"
"No_Peaks_Max","1",NA,"2",NA,"1","1","1.25"
"Frac_V_Cent_Avg","1",NA,"0.713",NA,"1","0.645","0.84"
"Frac_V_Cent_Max","1",NA,"0.442",NA,"1","0.5","0.736"
