"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","219.902","211.809","801.712","202.044","263.812","261.477","326.71"
"SD_Ann","120.935","113.762","1189.772","121.019","111.834","144.051","541.644"
"CV_Ann","0.55","0.537","1.484","0.599","0.424","0.551","1.658"
"Q10_Mag","23","13","61.8","35","34.66","48","38"
"Q25_Mag","118.1","116.25","185","102","216.2","153.95","146.75"
"Q50_Mag","253.7","250.5","291","215","296.4","266.25","262"
"Q75_Mag","315","297.75","417","273","332","398.925","327"
"Q90_Mag","343.24","331","2975.6","337.2","376.18","424.05","403.08"
"Q10_Tim","45","41","1","44","40","36","34"
"Q25_Tim","82","93","61","139","40","52","77"
"Q50_Tim","126","163","115","157","90","124","129"
"Q75_Tim","197","195","97","123","202","131","157"
"Q90_Tim","273","194","56","118","226","167","172"
"Q10_Fre","2","1","1","4","3","2","2"
"Q25_Fre","5","4","3","4","1","1","3"
"Q50_Fre","4","6","6","12","4","5","6"
"Q75_Fre","15","9","12","6","12","3","9"
"Q90_Fre","2","2","3","4","4","5","3"
"Q10_Dur","321","326","365","335","328","362","339"
"Q25_Dur","262","257","300","261","314","276","278"
"Q50_Dur","205","177","232","117","256","196","197"
"Q75_Dur","85","54","145","51","123","151","101"
"Q90_Dur","6","4","96","20","13","91","38"
"Q10_Mag_Lng_Evt","835.1","433","4820","768","533.8","514.7","1317"
"Q25_Mag_Lng_Evt","835.1","433","4820","367","533.8","514.7","1250"
"Q50_Mag_Lng_Evt","401.2","433","392","445","533.8","514.7","453"
"Q75_Mag_Lng_Evt","372.4","433","4820","445","377.4","514.7","1160"
"Q90_Mag_Lng_Evt","835.1","433","4820","445","533.8","482.8","1258"
"Q10_Strt_Tim_Lng_Evt","52","41","1","46","40","40","36"
"Q25_Strt_Tim_Lng_Evt","87","93","61","165","40","52","83"
"Q50_Strt_Tim_Lng_Evt","98","153","166","103","97","116","122"
"Q75_Strt_Tim_Lng_Evt","225","206","62","105","233","119","158"
"Q90_Strt_Tim_Lng_Evt","310","216","64","120","305","121","189"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","spr","win","sum","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","sum","spr","spr","spr","spr"
"Q75_Strt_Sea_Lng_Evt","sum","sum","win","spr","sum","spr","sum"
"Q90_Strt_Sea_Lng_Evt","aut","sum","spr","spr","aut","spr","spr"
"Q10_Dur_Lng_Evt","278","326","365","320","326","327","323"
"Q25_Dur_Lng_Evt","237","229","245","136","314","276","239"
"Q50_Dur_Lng_Evt","171","113","107","31","224","148","132"
"Q75_Dur_Lng_Evt","17","16","76","24","31","141","50"
"Q90_Dur_Lng_Evt","5","3","74","7","6","43","23"
"Init_Mag","176.162","351.491","404.524","57.697","50.613","229.322","211.635"
"Init_Tim","10","63","15","-25","-12","60","18.5"
"Init_Dur","9","29","10","7","8","26","14.833"
"Wet_BFL_Mag_10","92.3","120","160","126.5","221.37","193.87","152.34"
"Wet_BFL_Mag_50","279.3","277.5","1734","252.5","300.5","269.35","518.858"
"Wet_Tim","1","36","28","42","34","44","30.833"
"Wet_BFL_Dur","311","226","80","114","158","112","166.833"
"Peak_Mag_Ann","835.1","433","4820","768","533.8","514.7","1317.433"
"Peak_Mag_Tim","311","216","107","155","307","205","216.833"
"Peak_Mag_95","835.1",NA,"2208","619","533.8","482.8","935.74"
"Peak_Mag_90","628.45","424","2208","457.5","435.75","458.1","768.633"
"Peak_Mag_80","378.3","364","374","429","395.9","399.1","390.05"
"Peak_Dur_95","2",NA,"92","8","3","11","23.2"
"Peak_Dur_90","6","4","96","20","13","91","38.333"
"Peak_Dur_80","45","30","134","34","76","148","77.833"
"Peak_Fre_95","1",NA,"3","2","1","3","2"
"Peak_Fre_90","2","2","3","4","4","5","3.333"
"Peak_Fre_80","12","8","10","6","13","3","8.667"
"Peak_Tim_95","310",NA,"33","106","306","204","191.8"
"Peak_Tim_90","199","172","33","115.5","194","186","149.917"
"Peak_Tim_80","177.5","226.5","199","129.5","191","279","200.417"
"Rec_Mag","835.1","352","4820","768","395.9","449.4","1270.067"
"Rec_Tim","311","261","107","155","191","155","196.667"
"Rec_Dur","57","94","226","190","201","203","161.833"
"Rec_ROC","0.101","0.098","0.062","0.095","0.061","0.05","0.078"
"Dry_Mag_90","12.8","399.2","58.28","51.84","66.38","50.64","106.523"
"Dry_Mag_50","11","129","38","18.1","20.6","34.7","41.9"
"Dry_Mag_10","9","35.7","29.8","9.44","15.7","30.98","21.77"
"Dry_Tim","368","355","333","345","392","358","358.5"
"Dry_Dur","33","40","75","55","17","9","38.167"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1",NA,"1.333","1","1","1","1.067"
"No_Peaks_Max","1",NA,"2","1","1","1","1.2"
"Frac_V_Cent_Avg","1",NA,"0.713","0.722","0.667","0.854","0.791"
"Frac_V_Cent_Max","1",NA,"0.442","0.667","0.667","0.667","0.689"
