"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","11.463","7.41","24.521","7.882","5.065","5.319","10.273"
"SD_Ann","10.234","4.157","46.729","6.698","2.882","5.217","21.01"
"CV_Ann","0.893","0.561","1.906","0.85","0.569","0.981","2.045"
"Q10_Mag","3","2","6","2","1.6","1.55","2"
"Q25_Mag","4.3","4","7","3.4","2.9","3","3.9"
"Q50_Mag","6.2","8","10","6","4.9","4.05","6"
"Q75_Mag","18.3","10","17","10.2","6.7","6","10"
"Q90_Mag","27.8","13","53","14.8","8.3","9","18"
"Q10_Tim","94","95","18","61","128","124","86"
"Q25_Tim","135","148","92","61","133","188","126"
"Q50_Tim","95","144","111","90","162","222","137"
"Q75_Tim","57","185","132","49","101","291","135"
"Q90_Tim","19","317","94","35","169","312","157"
"Q10_Fre","2","2","2","2","6","5","3"
"Q25_Fre","8","8","3","6","5","11","6"
"Q50_Fre","10","4","4","10","8","9","7"
"Q75_Fre","7","6","8","7","3","5","6"
"Q90_Fre","2","1","5","4","1","2","2"
"Q10_Dur","357","354","357","360","314","327","344"
"Q25_Dur","292","289","352","272","260","220","280"
"Q50_Dur","194","225","338","194","122","114","197"
"Q75_Dur","141","138","189","106","15","31","103"
"Q90_Dur","99","1","93","22","3","12","38"
"Q10_Mag_Lng_Evt","52.9","18","333","41.6","11.1","11.1","77"
"Q25_Mag_Lng_Evt","52.9","18","333","41.6","11.1","54","85"
"Q50_Mag_Lng_Evt","52.9","18","333","24.3","9.8","18","76"
"Q75_Mag_Lng_Evt","52.9","18","333","41.6","11.1","18","79"
"Q90_Mag_Lng_Evt","52.9","18","333","41.6","21.3","54","86"
"Q10_Strt_Tim_Lng_Evt","1","166","1","1","1","1","28"
"Q25_Strt_Tim_Lng_Evt","1","259","1","1","1","238","83"
"Q50_Strt_Tim_Lng_Evt","1","262","1","70","296","320","158"
"Q75_Strt_Tim_Lng_Evt","1","299","53","1","85","321","126"
"Q90_Strt_Tim_Lng_Evt","1","317","63","8","169","305","143"
"Q10_Strt_Sea_Lng_Evt","win","sum","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","aut","win","win","win","sum","win"
"Q50_Strt_Sea_Lng_Evt","win","aut","win","spr","aut","aut","aut"
"Q75_Strt_Sea_Lng_Evt","win","aut","win","win","spr","aut","win"
"Q90_Strt_Sea_Lng_Evt","win","aut","spr","win","sum","aut","aut"
"Q10_Dur_Lng_Evt","182","201","340","285","138","143","214"
"Q25_Dur_Lng_Evt","108","108","216","215","98","75","136"
"Q50_Dur_Lng_Evt","92","105","174","80","33","26","85"
"Q75_Dur_Lng_Evt","91","68","63","60","6","14","50"
"Q90_Dur_Lng_Evt","90","1","43","12","3","8","26"
"Init_Mag","31.5","5.969","46.834","18.898","4.83","5.589","18.937"
"Init_Tim","1","-70","17","-54","-107","-87","-50"
"Init_Dur","6","30","8","21","9","12","14.333"
"Wet_BFL_Mag_10","20.8","3","11","5.9","2.54","4.47","7.952"
"Wet_BFL_Mag_50","29.3","4.9","32.5","10.3","5.5","6.2","14.783"
"Wet_Tim","1","-135","9","-109","-28","-77","-56.5"
"Wet_BFL_Dur","21","206","86","266","199","88","144.333"
"Peak_Mag_Ann","52.9","18","333","41.6","21.3","54","86.8"
"Peak_Mag_Tim","21","317","94","9","170","307","153"
"Peak_Mag_95","32.1",NA,"128","36.4",NA,"54","62.625"
"Peak_Mag_90","36.15","18","29","27.75","21.3","36","28.033"
"Peak_Mag_80","14","12","15","17.35","16.2","11.1","14.275"
"Peak_Dur_95","38",NA,"58","11",NA,"6","28.25"
"Peak_Dur_90","99","1","93","22","3","12","38.333"
"Peak_Dur_80","136","86","177","79","8","29","85.833"
"Peak_Fre_95","5",NA,"5","2",NA,"1","3.25"
"Peak_Fre_90","2","1","5","4","1","2","2.5"
"Peak_Fre_80","5","8","7","8","2","5","5.833"
"Peak_Tim_95","35",NA,"63","30",NA,"307","108.75"
"Peak_Tim_90","101.5","317","63","91.5","169","315.5","176.25"
"Peak_Tim_80","147","60.5","225","109","128.5","284","159"
"Rec_Mag","52.9","17","333","20.8","21.3","8","75.5"
"Rec_Tim","21","70","94","156","170","10","86.833"
"Rec_Dur","209","164","81","93","40","215","133.667"
"Rec_ROC","0.078","0.167","0.125","0.096","0.125","0.069","0.11"
"Dry_Mag_90","2.6","16","9","4.62","5.12","15","8.723"
"Dry_Mag_50","2.6","11","7","2","2.1","6","5.117"
"Dry_Mag_10","2.6","4","5","2","1.04","3","2.94"
"Dry_Tim","230","234","175","249","210","225","220.5"
"Dry_Dur","1","142","82","89","79","142","89.167"
"Dry_NoFL_Days","0","0","0","0","4","4","1.333"
"No_Peaks_Avg","1.4",NA,"1.667","1",NA,"1","1.267"
"No_Peaks_Max","1",NA,"2","1",NA,"1","1.25"
"Frac_V_Cent_Avg","0.529",NA,"0.503","0.528",NA,"0.75","0.578"
"Frac_V_Cent_Max","0.6",NA,"0.364","0.556",NA,"0.5","0.505"
