"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","191.808","100.582","276.197","269.623","161.793","106.424","184.331"
"SD_Ann","295.792","96.01","908.458","212.998","213.093","167.067","421.674"
"CV_Ann","1.542","0.955","3.289","0.79","1.317","1.57","2.288"
"Q10_Mag","30.3","45.5","52.6","109.54","51.82","19.05","44.44"
"Q25_Mag","53.2","53.25","56.6","135.5","83.6","47.2","62"
"Q50_Mag","109.2","82.5","93.1","178.9","122.3","75.25","108.45"
"Q75_Mag","199.5","120","162.8","326.3","174.5","102.725","176"
"Q90_Mag","257.86","148","266.62","551.6","187.52","183.3","283.26"
"Q10_Tim","26","35","122","1","87","126","66"
"Q25_Tim","66","142","171","1","63","101","90"
"Q50_Tim","113","149","183","20","82","86","105"
"Q75_Tim","80","102","155","138","142","87","117"
"Q90_Tim","95","87","128","187","110","76","113"
"Q10_Fre","3","3","4","1","4","9","4"
"Q25_Fre","3","4","5","1","4","10","4"
"Q50_Fre","6","10","9","3","4","3","5"
"Q75_Fre","4","3","6","7","8","3","5"
"Q90_Fre","3","2","4","5","3","1","3"
"Q10_Dur","293","331","347","365","353","289","329"
"Q25_Dur","270","231","256","365","311","217","275"
"Q50_Dur","188","128","168","345","204","86","186"
"Q75_Dur","93","23","85","210","86","60","92"
"Q90_Dur","35","11","36","107","21","10","36"
"Q10_Mag_Lng_Evt","1572.9","1027","346.7","1384.7","1515.3","1456","1217"
"Q25_Mag_Lng_Evt","1572.9","151","346.7","1384.7","1515.3","1456","1071"
"Q50_Mag_Lng_Evt","1572.9","154","9543.2","1384.7","1515.3","1456","2604"
"Q75_Mag_Lng_Evt","1572.9","1027","9543.2","704.5","329.1","1456","2438"
"Q90_Mag_Lng_Evt","1572.9","1027","9543.2","704.5","1515.3","1456","2636"
"Q10_Strt_Tim_Lng_Evt","5","1","165","1","41","26","39"
"Q25_Strt_Tim_Lng_Evt","5","213","190","1","41","27","79"
"Q50_Strt_Tim_Lng_Evt","78","82","80","20","54","67","63"
"Q75_Strt_Tim_Lng_Evt","79","57","80","173","186","76","108"
"Q90_Strt_Tim_Lng_Evt","133","59","96","203","74","76","106"
"Q10_Strt_Sea_Lng_Evt","win","win","sum","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","sum","sum","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","spr","win","win","spr","spr"
"Q75_Strt_Sea_Lng_Evt","spr","win","spr","sum","sum","spr","spr"
"Q90_Strt_Sea_Lng_Evt","spr","win","spr","sum","spr","spr","spr"
"Q10_Dur_Lng_Evt","275","297","173","365","249","130","248"
"Q25_Dur_Lng_Evt","189","82","124","365","249","128","189"
"Q50_Dur_Lng_Evt","115","31","52","330","170","66","127"
"Q75_Dur_Lng_Evt","78","9","48","129","34","53","58"
"Q90_Dur_Lng_Evt","14","6","28","83","16","10","26"
"Init_Mag","1290.799","570.624","6244.176","260.972","1422.493","1202.887","1831.992"
"Init_Tim","34","60","98","-121","81","80","38.667"
"Init_Dur","7","12","6","35","31","21","18.667"
"Wet_BFL_Mag_10","102","74.2","200.72","80","152.78","117.08","121.13"
"Wet_BFL_Mag_50","204.3","117","202","174.2","186.9","117.8","167.033"
"Wet_Tim","24","50","89","-144","63","70","25.333"
"Wet_BFL_Dur","114","73","9","406","19","10","105.167"
"Peak_Mag_Ann","1572.9","1027","9543.2","1384.7","1515.3","1456","2749.85"
"Peak_Mag_Tim","137","60","97","145","81","79","99.833"
"Peak_Mag_95","1558.2","814","9543.2","1226.3","1515.3","1456","2685.5"
"Peak_Mag_90","1558.2","814","338.65","1225.4","329.1","1456","953.558"
"Peak_Mag_80","884.1","601","324.1","474.55","199.7","226.3","451.625"
"Peak_Dur_95","28","5","23","32","14","8","18.333"
"Peak_Dur_90","35","11","36","107","21","10","36.667"
"Peak_Dur_80","92","22","82","169","57","22","74"
"Peak_Fre_95","3","2","1","4","1","1","2"
"Peak_Fre_90","3","2","4","5","3","1","3"
"Peak_Fre_80","4","3","6","8","7","4","5.333"
"Peak_Tim_95","99","90","96","140.5","75","77","96.25"
"Peak_Tim_90","99","90","234","144","210","76","142.167"
"Peak_Tim_80","121.5","119","232.5","104.5","187","133","149.583"
"Rec_Mag","1572.9","601","9543.2","508.7","1515.3","1456","2532.85"
"Rec_Tim","137","122","97","261","81","79","129.5"
"Rec_Dur","195","206","63","93","217","174","158"
"Rec_ROC","0.054","0.045","0.118","0.008","0.011","0.017","0.042"
"Dry_Mag_90","55.7","63.1","131.43","121.26","81.99","98","91.913"
"Dry_Mag_50","50","54.85","94.15","102.1","71.5","46.55","69.858"
"Dry_Mag_10","14.02","15.37","56.76","86.92","50.21","16.6","39.98"
"Dry_Tim","332","328","160","354","298","253","287.5"
"Dry_Dur","84","128","62","75","138","114","100.167"
"Dry_NoFL_Days","0","2","0","0","0","0","0.333"
"No_Peaks_Avg","1.667","1","2","2.25","2","1","1.653"
"No_Peaks_Max","2","1","2","1","2","1","1.5"
"Frac_V_Cent_Avg","0.539","0.833","0.217","0.625","0.5","0.5","0.536"
"Frac_V_Cent_Max","0.545","0.667","0.217","0.4","0.5","0.5","0.472"
