"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","207.674","109.486","276.197","286.658","171.678","115.628","194.478"
"SD_Ann","338.891","141.017","908.458","246.39","224.488","166.614","432.983"
"CV_Ann","1.632","1.288","3.289","0.86","1.308","1.441","2.226"
"Q10_Mag","30.3","45.5","52.6","111.34","52.9","20.2","48"
"Q25_Mag","53.2","53.25","56.6","137.7","90.1","56.95","68.775"
"Q50_Mag","109.2","82.5","93.1","179.8","123.9","77","110.85"
"Q75_Mag","199.5","120","162.8","327.1","181.4","117.85","179.6"
"Q90_Mag","276.84","149","266.62","594.74","212.42","184.75","293.78"
"Q10_Tim","80","34","122","1","37","129","67"
"Q25_Tim","65","143","182","1","52","109","92"
"Q50_Tim","113","153","182","98","97","89","122"
"Q75_Tim","81","99","155","149","134","96","119"
"Q90_Tim","95","87","128","183","103","77","112"
"Q10_Fre","4","3","4","1","2","7","3"
"Q25_Fre","3","5","6","1","4","8","4"
"Q50_Fre","6","11","9","3","4","4","6"
"Q75_Fre","4","3","6","8","6","3","5"
"Q90_Fre","3","2","4","4","3","1","2"
"Q10_Dur","289","327","345","365","361","293","330"
"Q25_Dur","269","223","248","365","312","231","274"
"Q50_Dur","186","123","164","338","219","99","188"
"Q75_Dur","92","22","85","188","100","72","93"
"Q90_Dur","36","13","36","105","21","9","36"
"Q10_Mag_Lng_Evt","1572.9","1367","346.7","1561.9","1515.4","1456","1303"
"Q25_Mag_Lng_Evt","1572.9","1367","346.7","1561.9","1515.4","1456","1303"
"Q50_Mag_Lng_Evt","1572.9","154","9543.2","704.5","1515.4","1456","2491"
"Q75_Mag_Lng_Evt","1572.9","1367","9543.2","704.5","1515.4","1456","2693"
"Q90_Mag_Lng_Evt","1572.9","1367","9543.2","704.5","1515.4","1456","2693"
"Q10_Strt_Tim_Lng_Evt","5","1","165","1","41","26","39"
"Q25_Strt_Tim_Lng_Evt","5","55","224","1","41","27","58"
"Q50_Strt_Tim_Lng_Evt","78","91","80","164","54","68","89"
"Q75_Strt_Tim_Lng_Evt","80","57","80","189","67","76","91"
"Q90_Strt_Tim_Lng_Evt","133","58","96","203","74","77","106"
"Q10_Strt_Sea_Lng_Evt","win","win","sum","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","sum","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","spr","sum","win","spr","spr"
"Q75_Strt_Sea_Lng_Evt","spr","win","spr","sum","spr","spr","spr"
"Q90_Strt_Sea_Lng_Evt","spr","win","spr","sum","spr","spr","spr"
"Q10_Dur_Lng_Evt","190","294","172","365","325","130","246"
"Q25_Dur_Lng_Evt","189","75","88","365","263","128","184"
"Q50_Dur_Lng_Evt","114","22","52","185","169","86","104"
"Q75_Dur_Lng_Evt","77","9","48","113","44","53","57"
"Q90_Dur_Lng_Evt","14","7","28","78","17","9","25"
"Init_Mag","1290.799","840.417","6244.176","260.972","1465.187","1202.887","1884.073"
"Init_Tim","34","60","98","-121","82","80","38.833"
"Init_Dur","7","12","6","35","31","21","18.667"
"Wet_BFL_Mag_10","102","74.2","200.72","139.6","154.94","117.08","131.423"
"Wet_BFL_Mag_50","204.3","117","202","242.2","305.15","117.8","198.075"
"Wet_Tim","24","50","89","56","63","70","58.667"
"Wet_BFL_Dur","114","73","9","206","22","10","72.333"
"Peak_Mag_Ann","1572.9","1367","9543.2","1561.9","1515.4","1456","2836.067"
"Peak_Mag_Tim","137","60","97","143","84","79","100"
"Peak_Mag_95","1558.2","1184","9543.2","1225.4","1515.4","1456","2747.033"
"Peak_Mag_90","1558.2","1184","338.65","964.95","329.1","1456","971.817"
"Peak_Mag_80","884.1","1001","324.1","244.6","298.85","241.6","499.042"
"Peak_Dur_95","28","7","22","32","13","8","18.333"
"Peak_Dur_90","36","13","36","105","21","9","36.667"
"Peak_Dur_80","92","19","81","173","57","29","75.167"
"Peak_Fre_95","3","2","1","3","1","1","1.833"
"Peak_Fre_90","3","2","4","4","3","1","2.833"
"Peak_Fre_80","4","3","6","7","6","3","4.833"
"Peak_Tim_95","99","90","96","137","76","77","95.833"
"Peak_Tim_90","99","89","234","164","210","77","145.5"
"Peak_Tim_80","121.5","119","232.5","94","197.5","138","150.417"
"Rec_Mag","1572.9","1001","9543.2","508.7","1515.4","1456","2599.533"
"Rec_Tim","137","122","97","261","84","79","130"
"Rec_Dur","195","206","63","59","229","205","159.5"
"Rec_ROC","0.054","0.045","0.118","0.006","0.009","0.01","0.04"
"Dry_Mag_90","55.7","63.1","199.39","132.94","85.94","98.38","105.908"
"Dry_Mag_50","50","54.85","115.15","104.5","71.9","56.4","75.467"
"Dry_Mag_10","14.02","15.37","58.22","93.64","50.44","17.82","41.585"
"Dry_Tim","332","328","160","320","313","284","289.5"
"Dry_Dur","84","128","262","109","123","83","131.5"
"Dry_NoFL_Days","0","2","3","0","0","0","0.833"
"No_Peaks_Avg","1.333","1","2","2.667","2","1","1.667"
"No_Peaks_Max","2","1","2","2","2","1","1.667"
"Frac_V_Cent_Avg","0.53","0.583","0.227","0.608","0.538","0.5","0.498"
"Frac_V_Cent_Max","0.545","0.5","0.227","0.545","0.538","0.5","0.476"
