"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","178.285","65.309","417.538","258.047","123.917","121.214","193.96"
"SD_Ann","314.37","95.214","1320.473","211.663","206.306","193.611","584.71"
"CV_Ann","1.763","1.458","3.163","0.82","1.665","1.597","3.015"
"Q10_Mag","15","23.5","44.78","101.26","39.6","32.45","29.64"
"Q25_Mag","44","33","56.4","115.6","57.4","62.375","51"
"Q50_Mag","75","47","86.4","196.8","88.6","75.15","85.8"
"Q75_Mag","185","57","186.5","318.8","105.2","107.325","152.35"
"Q90_Mag","302.8","92","575.7","509.1","161.42","159.9","336.03"
"Q10_Tim","23","95","103","1","58","84","60"
"Q25_Tim","18","126","115","1","76","102","73"
"Q50_Tim","74","139","133","1","85","186","102"
"Q75_Tim","82","107","138","129","103","162","120"
"Q90_Tim","94","92","97","189","77","194","123"
"Q10_Fre","4","8","3","1","3","4","3"
"Q25_Fre","3","12","9","1","6","8","6"
"Q50_Fre","8","7","10","1","7","11","7"
"Q75_Fre","4","4","11","4","5","8","6"
"Q90_Fre","4","2","5","7","1","5","4"
"Q10_Dur","291","311","350","365","337","336","331"
"Q25_Dur","270","172","301","365","298","294","283"
"Q50_Dur","174","40","185","365","202","147","185"
"Q75_Dur","102","19","124","222","48","50","94"
"Q90_Dur","36","12","54","93","15","19","38"
"Q10_Mag_Lng_Evt","1682","985","451.2","1443.3","1478.9","1478.8","1253"
"Q25_Mag_Lng_Evt","1682","985","11904.3","1443.3","1478.9","1478.8","3162"
"Q50_Mag_Lng_Evt","1682","985","11904.3","1443.3","1478.9","1478.8","3162"
"Q75_Mag_Lng_Evt","1682","678","11904.3","660.2","1478.9","1478.8","2980"
"Q90_Mag_Lng_Evt","1682","985","10081.1","660.2","1478.9","1478.8","2727"
"Q10_Strt_Tim_Lng_Evt","1","1","197","1","1","1","33"
"Q25_Strt_Tim_Lng_Evt","11","41","1","1","47","35","22"
"Q50_Strt_Tim_Lng_Evt","82","61","56","1","49","79","54"
"Q75_Strt_Tim_Lng_Evt","83","122","74","194","77","79","104"
"Q90_Strt_Tim_Lng_Evt","137","61","93","220","77","80","111"
"Q10_Strt_Sea_Lng_Evt","win","win","sum","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","win","win","spr","win"
"Q75_Strt_Sea_Lng_Evt","spr","spr","spr","sum","spr","spr","spr"
"Q90_Strt_Sea_Lng_Evt","spr","win","spr","sum","spr","spr","spr"
"Q10_Dur_Lng_Evt","271","200","169","365","274","234","252"
"Q25_Dur_Lng_Evt","260","37","164","365","222","193","206"
"Q50_Dur_Lng_Evt","82","13","82","365","106","57","117"
"Q75_Dur_Lng_Evt","79","9","58","113","37","18","52"
"Q90_Dur_Lng_Evt","12","6","33","63","15","9","23"
"Init_Mag","1323.703","96.899","256.984","156.712","1380.823","1177.697","732.136"
"Init_Tim","36","-41","26","-120","83","83","11.167"
"Init_Dur","9","12","7","32","27","13","16.667"
"Wet_BFL_Mag_10","96.3","45.1","104.58","64.32","109.28","65.6","80.863"
"Wet_BFL_Mag_50","196","65","392.4","189.4","385.9","84.6","218.883"
"Wet_Tim","27","53","70","-76","71","72","36.167"
"Wet_BFL_Dur","114","72","29","347","13","11","97.667"
"Peak_Mag_Ann","1682","985","11904.3","1443.3","1478.9","1478.8","3162.05"
"Peak_Mag_Tim","140","62","77","147","83","82","98.5"
"Peak_Mag_95","1646","831.5","10081.1","1257","1478.9","1214.9","2751.567"
"Peak_Mag_90","1570","831.5","1282","660.2","1478.9","1055.2","1146.3"
"Peak_Mag_80","1646","678","259.9","958.6","206.2","1055.2","800.65"
"Peak_Dur_95","26","3","36","22","12","11","18.333"
"Peak_Dur_90","36","12","54","93","15","19","38.167"
"Peak_Dur_80","91","17","91","207","21","24","75.167"
"Peak_Fre_95","3","2","3","5","1","4","3"
"Peak_Fre_90","4","2","5","7","1","5","4"
"Peak_Fre_80","3","3","9","4","4","5","4.667"
"Peak_Tim_95","102","93","76","147","78","294","131.667"
"Peak_Tim_90","94","92","74","140","77","281","126.333"
"Peak_Tim_80","85","123","231","81.5","161.5","281","160.5"
"Rec_Mag","1682","678","10081.1","502.6","1478.9","1478.8","2650.233"
"Rec_Tim","140","124","98","270","83","82","132.833"
"Rec_Dur","157","160","64","59","196","155","131.833"
"Rec_ROC","0.097","0.1","0.111","0.031","0.074","0.028","0.074"
"Dry_Mag_90","57.9","161.9","176.64","111.83","72.12","170.88","125.212"
"Dry_Mag_50","43.5","54.8","62.95","98.65","64.6","53.05","62.925"
"Dry_Mag_10","9","17","27.71","69.65","11.8","9.23","24.065"
"Dry_Tim","297","284","162","329","279","237","264.667"
"Dry_Dur","122","153","128","108","159","130","133.333"
"Dry_NoFL_Days","1","0","0","0","0","0","0.167"
"No_Peaks_Avg","1.667","1","1.667","1.4","1","1","1.289"
"No_Peaks_Max","2","1","1","1","1","1","1.167"
"Frac_V_Cent_Avg","0.458","0.75","0.392","0.711","0.5","0.768","0.597"
"Frac_V_Cent_Max","0.5","0.5","0.4","0.4","0.5","0.571","0.478"
