"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","192.97","73.415","417.538","276.112","133.882","131.107","204.078"
"SD_Ann","353.004","139.523","1320.473","258.442","215.593","192.287","592.993"
"CV_Ann","1.829","1.9","3.163","0.936","1.61","1.467","2.906"
"Q10_Mag","15","23.5","44.78","101.26","45.28","42.65","34"
"Q25_Mag","44","33","56.4","115.6","63.5","64.15","52"
"Q50_Mag","75","47","86.4","198.3","91.1","79.6","88.85"
"Q75_Mag","185","57","186.5","336.3","108","145.55","156.325"
"Q90_Mag","353.4","92","575.7","541.08","185.98","161.85","349.26"
"Q10_Tim","31","99","103","1","69","1","50"
"Q25_Tim","31","130","115","1","85","107","78"
"Q50_Tim","70","141","134","1","85","174","100"
"Q75_Tim","82","99","137","129","110","174","121"
"Q90_Tim","95","92","90","194","77","194","123"
"Q10_Fre","5","11","3","1","2","1","3"
"Q25_Fre","5","12","9","1","5","8","6"
"Q50_Fre","7","7","10","1","8","11","7"
"Q75_Fre","4","3","10","4","6","8","5"
"Q90_Fre","4","2","5","7","1","5","4"
"Q10_Dur","286","277","347","365","359","366","333"
"Q25_Dur","259","164","300","365","313","307","284"
"Q50_Dur","169","39","178","365","194","170","185"
"Q75_Dur","102","18","121","222","50","52","94"
"Q90_Dur","38","10","52","89","16","19","37"
"Q10_Mag_Lng_Evt","1682","1325","451.2","1709.6","1478.9","1478.8","1354"
"Q25_Mag_Lng_Evt","1682","124","11904.3","1709.6","1478.9","1478.8","3062"
"Q50_Mag_Lng_Evt","1682","1325","11904.3","1709.6","1478.9","1478.8","3263"
"Q75_Mag_Lng_Evt","1682","1037","11904.3","660.2","1478.9","1478.8","3040"
"Q90_Mag_Lng_Evt","1602","1325","10081.1","660.2","1478.9","1478.8","2771"
"Q10_Strt_Tim_Lng_Evt","10","1","197","1","1","1","35"
"Q25_Strt_Tim_Lng_Evt","11","85","1","1","47","35","30"
"Q50_Strt_Tim_Lng_Evt","82","61","56","1","49","79","54"
"Q75_Strt_Tim_Lng_Evt","83","122","74","194","77","79","104"
"Q90_Strt_Tim_Lng_Evt","101","61","93","221","77","80","105"
"Q10_Strt_Sea_Lng_Evt","win","win","sum","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","win","win","spr","win"
"Q75_Strt_Sea_Lng_Evt","spr","spr","spr","sum","spr","spr","spr"
"Q90_Strt_Sea_Lng_Evt","spr","win","spr","sum","spr","spr","spr"
"Q10_Dur_Lng_Evt","262","173","169","365","270","366","267"
"Q25_Dur_Lng_Evt","235","31","164","365","222","194","201"
"Q50_Dur_Lng_Evt","82","12","81","365","105","85","121"
"Q75_Dur_Lng_Evt","79","9","58","113","38","18","52"
"Q90_Dur_Lng_Evt","13","5","33","34","16","9","18"
"Init_Mag","1323.703","96.899","256.984","156.712","1403.954","143.37","563.604"
"Init_Tim","36","-41","26","-120","84","-72","-14.5"
"Init_Dur","9","12","7","32","27","20","17.833"
"Wet_BFL_Mag_10","96.3","45","104.58","104","109.28","65.6","87.46"
"Wet_BFL_Mag_50","196","66","392.4","218.05","385.9","84.6","223.825"
"Wet_Tim","27","54","70","25","71","72","53.167"
"Wet_BFL_Dur","114","71","29","246","13","11","80.667"
"Peak_Mag_Ann","1682","1325","11904.3","1709.6","1478.9","1478.8","3263.1"
"Peak_Mag_Tim","140","62","77","146","83","82","98.333"
"Peak_Mag_95","1646","1181","10081.1","1257","1478.9","1220.95","2810.825"
"Peak_Mag_90","1624","1181","1282","502.6","1478.9","1058.1","1187.767"
"Peak_Mag_80","1624","1181","259.9","660.2","210.6","870.25","800.992"
"Peak_Dur_95","26","7","36","18","13","11","18.5"
"Peak_Dur_90","38","10","52","89","16","19","37.333"
"Peak_Dur_80","84","15","89","197","34","27","74.333"
"Peak_Fre_95","3","2","3","3","1","4","2.667"
"Peak_Fre_90","4","2","5","7","1","5","4"
"Peak_Fre_80","4","2","9","5","5","6","5.167"
"Peak_Tim_95","102","92","76","140","78","294","130.333"
"Peak_Tim_90","94","92","74","140","77","281","126.333"
"Peak_Tim_80","111","92","231","126","214","266","173.333"
"Rec_Mag","1682","1037","10081.1","502.6","1478.9","1478.8","2710.067"
"Rec_Tim","140","124","98","270","83","82","132.833"
"Rec_Dur","157","160","64","57","191","213","140.333"
"Rec_ROC","0.097","0.102","0.111","0.036","0.066","0.03","0.074"
"Dry_Mag_90","57.8","161.9","205.42","111.61","72.77","192.98","133.747"
"Dry_Mag_50","44","54.8","66.4","98.5","65.7","86.85","69.375"
"Dry_Mag_10","9","17","35.4","69.75","38.11","42.64","35.317"
"Dry_Tim","297","284","162","327","274","295","273.167"
"Dry_Dur","123","153","229","110","164","72","141.833"
"Dry_NoFL_Days","1","0","0","0","0","0","0.167"
"No_Peaks_Avg","1.667","1","1.667","1.25","1","1","1.264"
"No_Peaks_Max","2","1","1","2","1","1","1.333"
"Frac_V_Cent_Avg","0.5","0.583","0.392","0.761","0.538","0.768","0.59"
"Frac_V_Cent_Max","0.5","0.5","0.4","0.545","0.538","0.571","0.509"
