"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","11476.352","11004.838","15990.071","9071.581","10103.115","7624.55","10876.991"
"SD_Ann","6295.627","4691.592","16181.078","5107.153","4619.883","3336.892","8385.214"
"CV_Ann","0.549","0.426","1.012","0.563","0.457","0.438","0.771"
"Q10_Mag","2573.04","3330.05","3024.68","1691.18","3034.52","2643.1","2622.51"
"Q25_Mag","4493.2","7782.1","4729.9","3321.5","6961.7","4488.7","4974.975"
"Q50_Mag","13204.2","12223.85","13052.8","10838.4","10400.4","8493.9","10729.65"
"Q75_Mag","17097.6","14201.875","16725.9","13397","13425.1","10479.975","14077.925"
"Q90_Mag","18914.68","16756.1","37650.34","14905.64","15979.94","11736.95","17196.24"
"Q10_Tim","14","39","43","35","55","16","33"
"Q25_Tim","82","20","47","65","59","75","57"
"Q50_Tim","90","111","125","146","132","150","125"
"Q75_Tim","163","137","112","172","118",NA,"140"
"Q90_Tim","192","87","88","97","113",NA,"115"
"Q10_Fre","2","4","4","3","2","3","3"
"Q25_Fre","4","2","3","3","3","7","3"
"Q50_Fre","3","3","5","5","5","11","5"
"Q75_Fre","6","12","6","8","8",NA,"8"
"Q90_Fre","7","3","8","1","4",NA,"4"
"Q10_Dur","331","348","346","294","350","344","335"
"Q25_Dur","265","303","271","262","296","274","278"
"Q50_Dur","217","238","224","196","182","83","190"
"Q75_Dur","175","109","160","68","73",NA,"117"
"Q90_Dur","98","33","83","4","24",NA,"48"
"Q10_Mag_Lng_Evt","21032.2","21219.7","96918.3","20023.8","20694.8","13304.7","32198"
"Q25_Mag_Lng_Evt","21032.2","21219.7","96918.3","20023.8","20694.8","13304.7","32198"
"Q50_Mag_Lng_Evt","21032.2","18077.3","96918.3","16440.8","20694.8","13304.7","31078"
"Q75_Mag_Lng_Evt","20568.3","21219.7","96918.3","20023.8","20694.8",NA,"35884"
"Q90_Mag_Lng_Evt","20568.3","21219.7","96918.3","20023.8","20694.8",NA,"35884"
"Q10_Strt_Tim_Lng_Evt","1","1","1","25","11","1","6"
"Q25_Strt_Tim_Lng_Evt","78","11","49","67","55","59","53"
"Q50_Strt_Tim_Lng_Evt","92","138","63","165","69","163","115"
"Q75_Strt_Tim_Lng_Evt","200","77","63","93","110",NA,"108"
"Q90_Strt_Tim_Lng_Evt","245","78","65","97","115",NA,"120"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","win","win","spr","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","spr","sum","spr","sum","spr"
"Q75_Strt_Sea_Lng_Evt","sum","spr","spr","spr","spr",NA,"spr"
"Q90_Strt_Sea_Lng_Evt","aut","spr","spr","spr","spr",NA,"spr"
"Q10_Dur_Lng_Evt","319","308","302","284","299","329","306"
"Q25_Dur_Lng_Evt","236","295","248","240","250","219","248"
"Q50_Dur_Lng_Evt","200","162","118","137","95","41","125"
"Q75_Dur_Lng_Evt","90","38","115","16","28",NA,"57"
"Q90_Dur_Lng_Evt","32","28","64","4","10",NA,"27"
"Init_Mag","15752.173","5031.628","10074.027","5180.63","3523.135","7321.934","7813.921"
"Init_Tim","57","-3","26","28","-25","6","14.833"
"Init_Dur","14","16","7","14","9","5","10.833"
"Wet_BFL_Mag_10","7942.02","7569.72","8220.4","6753.64","6831.91","3963.7","6880.232"
"Wet_BFL_Mag_50","16098.9","13589.95","44805.2","12294.4","12117.9","9323.9","18038.375"
"Wet_Tim","44","7","57","42","5","-15","23.333"
"Wet_BFL_Dur","244","198","41","257","250","201","198.5"
"Peak_Mag_Ann","21032.2","21219.7","96918.3","20023.8","20694.8","13304.7","32198.917"
"Peak_Mag_Tim","169","93","97","98","118","165","123.333"
"Peak_Mag_95","19984.55","20285.85","59759.45","20023.8","20694.8",NA,"28149.69"
"Peak_Mag_90","19361.8","18077.3","18480.85","20023.8","18074.15",NA,"18803.58"
"Peak_Mag_80","18730.1","16530.8","18151.1","16164.55","16114.8",NA,"17138.27"
