"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","10211.502","9412.804","25639.029","7388.351","7929.23","8591.819","11526.484"
"SD_Ann","3949.865","2803.295","27075.83","3548.037","2719.565","2073.833","13053.392"
"CV_Ann","0.387","0.298","1.056","0.48","0.343","0.241","1.132"
"Q10_Mag","6727.5","6324.1","5348.86","3586.26","4515","5798","5016.01"
"Q25_Mag","7783.9","7758.925","5952.5","4635.3","5783.9","7518.775","6366.975"
"Q50_Mag","9184.7","8546.75","14703","6235.7","7445.9","8499","8392.65"
"Q75_Mag","11065.2","10698.95","34247.1","9053.1","10100.2","9607.85","11084.05"
"Q90_Mag","14722.06","13725.05","66744.42","13254.46","11655.62","11637","16074.48"
"Q10_Tim","1","55","85","145","109","70","77"
"Q25_Tim","74","71","41","146","140","59","88"
"Q50_Tim","141","128","18","119","108","159","112"
"Q75_Tim","77","109","1","105","111","255","109"
"Q90_Tim","23","72","10","167",NA,NA,"68"
"Q10_Fre","1","2","3","6","4","3","3"
"Q25_Fre","3","4","4","3","5","3","3"
"Q50_Fre","8","10","2","4","4","6","5"
"Q75_Fre","5","4","1","3","2","5","3"
"Q90_Fre","1","1","1","2",NA,NA,"1"
"Q10_Dur","365","351","356","259","305","347","330"
"Q25_Dur","353","328","236","176","251","312","276"
"Q50_Dur","243","203","212","124","138","193","185"
"Q75_Dur","89","89","194","67","60","50","91"
"Q90_Dur","29","11","175","5",NA,NA,"55"
"Q10_Mag_Lng_Evt","24672.1","17718.9","113332.8","16900.5","14393.1","12545.9","33260"
"Q25_Mag_Lng_Evt","13710.1","17718.9","113332.8","16900.5","14393.1","12545.9","31433"
"Q50_Mag_Lng_Evt","13710.1","17718.9","113332.8","16900.5","14393.1","10669.7","31120"
"Q75_Mag_Lng_Evt","24672.1","17718.9","113332.8","16900.5","14393.1","14017.3","33505"
"Q90_Mag_Lng_Evt","24672.1","17718.9","113332.8","16900.5",NA,NA,"43156"
"Q10_Strt_Tim_Lng_Evt","1","1","1","104","59","1","27"
"Q25_Strt_Tim_Lng_Evt","94","1","1","108","64","1","44"
"Q50_Strt_Tim_Lng_Evt","99","41","1","116","87","113","76"
"Q75_Strt_Tim_Lng_Evt","10","51","1","148","105","318","105"
"Q90_Strt_Tim_Lng_Evt","23","72","10","170",NA,NA,"68"
"Q10_Strt_Sea_Lng_Evt","win","win","win","spr","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","win","win","spr","spr","win","spr"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","spr","spr","spr","spr"
"Q75_Strt_Sea_Lng_Evt","win","win","win","spr","spr","aut","win"
"Q90_Strt_Sea_Lng_Evt","win","spr","win","sum",NA,NA,"win"
"Q10_Dur_Lng_Evt","365","289","249","94","225","267","248"
"Q25_Dur_Lng_Evt","262","251","202","83","140","254","198"
"Q50_Dur_Lng_Evt","82","56","200","70","106","52","94"
"Q75_Dur_Lng_Evt","48","38","194","29","54","26","64"
"Q90_Dur_Lng_Evt","29","11","175","4",NA,NA,"54"
"Init_Mag","24307.449","11085.738","34983.151","8993.232","8559.582","7994.73","15987.314"
"Init_Tim","38","-62","64","-54","-44","7","-8.5"
"Init_Dur","38","37","4","20","6","21","21"
"Wet_BFL_Mag_10","6946.02","7548.3","28459.38","4633.42","4388.06","6209.04","9697.37"
"Wet_BFL_Mag_50","10606","9405.05","35468.9","6620.95","8171.85","8055.4","13054.692"
"Wet_Tim","1","-87","33","-96","-70","-73","-48.667"
"Wet_BFL_Dur","157","316","105","270","308","318","245.667"
"Peak_Mag_Ann","24672.1","17718.9","113332.8","16900.5","14393.1","14017.3","33505.783"
"Peak_Mag_Tim","37","75","137","173","113","323","143"
"Peak_Mag_95",NA,NA,"74253.5",NA,NA,NA,"74253.5"
"Peak_Mag_90","24672.1","17718.9","113332.8","16526.65",NA,NA,"43062.613"
"Peak_Mag_80","13710.1","14361.8","113332.8","15410.7","13890.45","12647","30558.808"
"Peak_Dur_95",NA,NA,"110",NA,NA,NA,"110"
"Peak_Dur_90","29","11","175","5",NA,NA,"55"
"Peak_Dur_80","66","73","191","54","28","32","74"
"Peak_Fre_95",NA,NA,"2",NA,NA,NA,"2"
"Peak_Fre_90","1","1","1","2",NA,NA,"1.25"
"Peak_Fre_80","3","3","1","3","2","4","2.667"
"Peak_Tim_95",NA,NA,"64.5",NA,NA,NA,"64.5"
"Peak_Tim_90","23","72","10","163",NA,NA,"67"
"Peak_Tim_80","124","109","1","124","117.5","336","135.25"
"Rec_Mag","13650.2","11839.9","113332.8","16900.5","10782.4","8915","29236.8"
"Rec_Tim","157","228","137","173","237","244","196"
"Rec_Dur","106","68","76","88","52","29","69.833"
"Rec_ROC","0.018","0.027","0.035","0.033","0.019","0.028","0.027"
"Dry_Mag_90","8644.5","20167.58","6614.8","4868.34","4796.22","12551.72","9607.193"
"Dry_Mag_50","6655.45","9190.7","5870.6","3351.9","4640.5","10403.2","6685.392"
"Dry_Mag_10","6355.4","5859.86","4995.64","2919.88","4407.08","4725.44","4877.217"
"Dry_Tim","263","296","213","261","289","273","265.833"
"Dry_Dur","16","104","57","35","4","94","51.667"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"0.667",NA,NA,NA,"0.667"
"No_Peaks_Max",NA,NA,"1",NA,NA,NA,"1"
"Frac_V_Cent_Avg",NA,NA,"0.554",NA,NA,NA,"0.554"
"Frac_V_Cent_Max",NA,NA,"0.568",NA,NA,NA,"0.568"
