"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","10211.502","9412.804","25639.029","9453.962","9036.74","10183.642","12320.643"
"SD_Ann","3949.865","2803.295","27075.83","3837.514","2693.653","2976.446","12901.694"
"CV_Ann","0.387","0.298","1.056","0.406","0.298","0.292","1.047"
"Q10_Mag","6727.5","6324.1","5348.86","5300.24","6109.52","6163.5","5876.17"
"Q25_Mag","7783.9","7758.925","5952.5","6435.7","7095.2","8510","7091.85"
"Q50_Mag","9184.7","8546.75","14703","8213.7","8281","9737","9021.05"
"Q75_Mag","11065.2","10698.95","34247.1","12188.6","10951.7","11846.5","12105.25"
"Q90_Mag","14722.06","13725.05","66744.42","15350.28","12219.42","14486.5","16992.33"
"Q10_Tim","1","54","78","92","95","68","64"
"Q25_Tim","147","65","26","108","105","59","85"
"Q50_Tim","141","126","9","79","105","106","94"
"Q75_Tim","54","92","1","87","113","148","82"
"Q90_Tim","24","73","14","167",NA,"103","76"
"Q10_Fre","1","2","4","3","4","3","2"
"Q25_Fre","8","3","2","4","5","3","4"
"Q50_Fre","8","6","2","4","3","4","4"
"Q75_Fre","3","3","1","4","2","5","3"
"Q90_Fre","1","1","1","1",NA,"1","1"
"Q10_Dur","365","346","295","304","336","342","331"
"Q25_Dur","302","311","219","231","277","312","275"
"Q50_Dur","192","162","201","146","150","248","183"
"Q75_Dur","64","72","191","97","39","86","91"
"Q90_Dur","28","5","169","9",NA,"9","44"
"Q10_Mag_Lng_Evt","24672.1","17718.9","113332.8","20429.5","16766.6","17336","35042"
"Q25_Mag_Lng_Evt","13710.1","17718.9","113332.8","20429.5","16766.6","17336","33215"
"Q50_Mag_Lng_Evt","13710.1","17718.9","113332.8","20429.5","16766.6","17336","33215"
"Q75_Mag_Lng_Evt","24672.1","17718.9","113332.8","20429.5","16766.6","17336","35042"
"Q90_Mag_Lng_Evt","24672.1","17718.9","113332.8","20429.5",NA,"17336","38697"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","54","1","9"
"Q25_Strt_Tim_Lng_Evt","97","1","1","93","64","1","42"
"Q50_Strt_Tim_Lng_Evt","119","42","1","117","89","10","63"
"Q75_Strt_Tim_Lng_Evt","14","53","1","139","105","92","67"
"Q90_Strt_Tim_Lng_Evt","24","73","14","167",NA,"103","76"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","win","win","spr","spr","win","spr"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","spr","spr","win","spr"
"Q75_Strt_Sea_Lng_Evt","win","win","win","spr","spr","spr","spr"
"Q90_Strt_Sea_Lng_Evt","win","spr","win","sum",NA,"spr","spr"
"Q10_Dur_Lng_Evt","365","286","208","200","238","266","260"
"Q25_Dur_Lng_Evt","90","246","201","98","196","254","180"
"Q50_Dur_Lng_Evt","57","50","196","70","104","155","105"
"Q75_Dur_Lng_Evt","43","35","191","42","34","33","63"
"Q90_Dur_Lng_Evt","28","5","169","9",NA,"9","44"
"Init_Mag","24307.449","11085.738","34983.151","8993.232","8448.522","16264.703","17347.132"
"Init_Tim","38","-62","64","-54","-48","30","-5.333"
"Init_Dur","38","37","4","20","8","12","19.833"
"Wet_BFL_Mag_10","6946.02","7548.3","28459.38","7594.8","5793.48","7288.68","10605.11"
"Wet_BFL_Mag_50","10606","9405.05","35468.9","12116.6","8074.8","10698","14394.892"
"Wet_Tim","1","-87","33","-3","-70","-15","-23.5"
"Wet_BFL_Dur","157","316","105","177","189","123","177.833"
"Peak_Mag_Ann","24672.1","17718.9","113332.8","20429.5","16766.6","17336","35042.65"
"Peak_Mag_Tim","37","75","137","173","118","107","107.833"
"Peak_Mag_95",NA,NA,"74253.5",NA,NA,NA,"74253.5"
"Peak_Mag_90","24672.1","17718.9","113332.8","20429.5",NA,"17336","38697.86"
"Peak_Mag_80","13710.1","14361.8","113332.8","18699.15","16766.6","16437","32217.908"
"Peak_Dur_95",NA,NA,"110",NA,NA,NA,"110"
"Peak_Dur_90","28","5","169","9",NA,"9","44"
"Peak_Dur_80","50","47","186","71","28","57","73.167"
"Peak_Fre_95",NA,NA,"2",NA,NA,NA,"2"
"Peak_Fre_90","1","1","1","1",NA,"1","1"
"Peak_Fre_80","3","3","1","2","1","3","2.167"
"Peak_Tim_95",NA,NA,"64.5",NA,NA,NA,"64.5"
"Peak_Tim_90","24","73","14","167",NA,"103","76.2"
"Peak_Tim_80","127","114","5","94.5","107","94","90.25"
"Rec_Mag","13650.2","11839.9","113332.8","20429.5","16766.6","17336","32225.833"
"Rec_Tim","157","228","137","173","118","107","153.333"
"Rec_Dur","106","68","76","34","176","167","104.5"
"Rec_ROC","0.018","0.027","0.035","0.038","0.013","0.015","0.024"
"Dry_Mag_90","8644.5","20167.58","7733.64","6973.28","8084.12","12928","10755.187"
"Dry_Mag_50","6655.45","9190.7","5928.45","5462.9","7553.8","10794","7597.55"
"Dry_Mag_10","6355.4","5859.86","5123.28","4763.06","5752.66","5452","5551.043"
"Dry_Tim","263","296","213","207","294","274","257.833"
"Dry_Dur","16","104","150","89","57","93","84.833"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"0.667",NA,NA,NA,"0.667"
"No_Peaks_Max",NA,NA,"1",NA,NA,NA,"1"
"Frac_V_Cent_Avg",NA,NA,"0.554",NA,NA,NA,"0.554"
"Frac_V_Cent_Max",NA,NA,"0.568",NA,NA,NA,"0.568"
