"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","7767.888","6513.729","11287.962","6002.043","6516.097","6512.128","7432.468"
"SD_Ann","2975.38","1917.976","8065.105","2959.896","2777.092","1889.956","4413.626"
"CV_Ann","0.383","0.294","0.714","0.493","0.426","0.29","0.594"
"Q10_Mag","4834.28","4437.7","3676.98","3014.14","3283.12","4282.55","3775.36"
"Q25_Mag","5982.8","5328.15","4697","4061.6","4297.3","5477.7","4901.525"
"Q50_Mag","7172","5951.45","7551.1","5476","6016.1","6310.6","6261.5"
"Q75_Mag","8518.3","7465","19785.6","6692.7","8448.6","7351.825","8100.175"
"Q90_Mag","11879.76","9605.85","24176.32","10700.78","10467.02","8509.5","11637.68"
"Q10_Tim","81","60","45","142","70","72","78"
"Q25_Tim","127","83","47","159","84","117","102"
"Q50_Tim","147","131","17","159","120","175","124"
"Q75_Tim","110","73","1","102","104","318","118"
"Q90_Tim","46","111","30","150","125","321","130"
"Q10_Fre","4","2","3","4","4","3","3"
"Q25_Fre","6","5","5","5","4","6","5"
"Q50_Fre","9","9","2","6","4","9","6"
"Q75_Fre","8","3","1","3","3","3","3"
"Q90_Fre","3","1","2","1","2","2","1"
"Q10_Dur","350","356","324","300","301","349","330"
"Q25_Dur","326","297","254","229","243","306","275"
"Q50_Dur","248","145","212","142","171","194","185"
"Q75_Dur","115","73","163","60","97","44","92"
"Q90_Dur","40","5","131","22","17","8","37"
"Q10_Mag_Lng_Evt","12591","12050.3","27202.8","17180","14213.3","9112.8","15391"
"Q25_Mag_Lng_Evt","12591","12050.3","27202.8","17180","14213.3","9112.8","15391"
"Q50_Mag_Lng_Evt","12591","12050.3","27202.8","17180","14213.3","14447","16280"
"Q75_Mag_Lng_Evt","16947.9","12050.3","27202.8","17180","14213.3","14447","17006"
"Q90_Mag_Lng_Evt","16947.9","12050.3","27202.8","17180","14213.3","14447","17006"
"Q10_Strt_Tim_Lng_Evt","90","1","1","103","56","1","42"
"Q25_Strt_Tim_Lng_Evt","92","36","1","107","62","72","61"
"Q50_Strt_Tim_Lng_Evt","94","101","1","135","86","313","121"
"Q75_Strt_Tim_Lng_Evt","5","103","1","143","100","314","111"
"Q90_Strt_Tim_Lng_Evt","18","111","30","150","104","315","121"
"Q10_Strt_Sea_Lng_Evt","spr","win","win","spr","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","win","win","spr","win","spr","spr"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","spr","spr","aut","spr"
"Q75_Strt_Sea_Lng_Evt","win","spr","win","spr","spr","aut","spr"
"Q90_Strt_Sea_Lng_Evt","win","spr","win","spr","spr","aut","spr"
"Q10_Dur_Lng_Evt","262","284","277","164","275","265","254"
"Q25_Dur_Lng_Evt","170","212","210","85","211","179","177"
"Q50_Dur_Lng_Evt","79","44","201","52","115","54","90"
"Q75_Dur_Lng_Evt","48","37","163","32","92","23","65"
"Q90_Dur_Lng_Evt","30","5","126","22","12","7","33"
"Init_Mag","16732.309","7461.852","20953.34","7736.314","5061.899","7737.458","10947.195"
"Init_Tim","32","-64","54","-60","-78","34","-13.667"
"Init_Dur","32","23","28","21","16","26","24.333"
"Wet_BFL_Mag_10","4361.29","4922.87","9056.64","2358.31","3100.94","5496.61","4882.777"
"Wet_BFL_Mag_50","8298.3","6792.2","19872","4674.8","6079.35","6438.35","8692.5"
"Wet_Tim","1","-102","-1","-80","-89","9","-43.667"
"Wet_BFL_Dur","152","234","119","248","268","230","208.5"
"Peak_Mag_Ann","16947.9","12050.3","27202.8","17180","14213.3","14447","17006.883"
"Peak_Mag_Tim","29","113","117","167","110","317","142.167"
"Peak_Mag_95",NA,NA,"24099.1",NA,NA,NA,"24099.1"
"Peak_Mag_90","12591","12050.3","19682.4","17180","13080","13198.5","14630.367"
"Peak_Mag_80","12310.9","11300.6","27202.8","14272.35","14213.3","11950","15208.325"
"Peak_Dur_95",NA,NA,"110",NA,NA,NA,"110"
"Peak_Dur_90","40","5","131","22","17","8","37.167"
"Peak_Dur_80","77","51","148","51","87","28","73.667"
"Peak_Fre_95",NA,NA,"2",NA,NA,NA,"2"
"Peak_Fre_90","3","1","2","1","2","2","1.833"
"Peak_Fre_80","4","3","1","2","1","3","2.333"
"Peak_Tim_95",NA,NA,"53.5",NA,NA,NA,"53.5"
"Peak_Tim_90","121","111","25.5","150","140.5","340.5","148.083"
"Peak_Tim_80","131.5","104","12","99.5","101","349","132.833"
"Rec_Mag","12030.8","9635.7","27202.8","17180","11946.7","7535.4","14255.233"
"Rec_Tim","152","131","117","167","178","238","163.833"
"Rec_Dur","109","159","168","105","171","32","124"
"Rec_ROC","0.023","0.015","0.016","0.032","0.02","0.035","0.024"
"Dry_Mag_90","4933.16","6747.15","2194.3","3440.52","5649.7","11144.8","5684.938"
"Dry_Mag_50","4831","4991.05","2194.3","3366.2","4116.85","6880.9","4396.717"
"Dry_Mag_10","4652.52","3926.25","2194.3","3333.24","3415.8","3562.68","3514.132"
"Dry_Tim","261","290","285","272","349","270","287.833"
"Dry_Dur","3","76","1","5","26","97","34.667"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"1.333",NA,NA,NA,"1.333"
"No_Peaks_Max",NA,NA,"1",NA,NA,NA,"1"
"Frac_V_Cent_Avg",NA,NA,"0.515",NA,NA,NA,"0.515"
"Frac_V_Cent_Max",NA,NA,"0.483",NA,NA,NA,"0.483"
