"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","8190.914","6635.896","14077.597","6052.711","6211.899","6299.89","7910.167"
"SD_Ann","3239.529","1986.887","13473.348","3055.088","2669.827","2170.149","6647.44"
"CV_Ann","0.396","0.299","0.957","0.505","0.43","0.344","0.84"
"Q10_Mag","5083.98","4610.35","3445.22","3218.48","2885.26","3935.6","3575.19"
"Q25_Mag","6266.9","5272.375","4685.6","4169.6","4053.2","5074.25","4911"
"Q50_Mag","7561.2","6067.6","7338","5619.6","5788","6025","6236.55"
"Q75_Mag","8964.5","7597.425","20201.6","6660.3","8376.2","7204.775","8252.125"
"Q90_Mag","12560.98","9860.65","38134.74","10591.96","9784.54","8587.85","11696.23"
"Q10_Tim","72","1","44","95","66","72","58"
"Q25_Tim","82","88","56","165","76","121","97"
"Q50_Tim","148","126","29","154","119","181","126"
"Q75_Tim","120","81","5","100","95","309","118"
"Q90_Tim","47","105","27","143","117","330","128"
"Q10_Fre","3","1","4","5","4","3","3"
"Q25_Fre","4","7","5","8","3","6","5"
"Q50_Fre","7","8","5","9","4","11","7"
"Q75_Fre","8","4","2","3","2","4","3"
"Q90_Fre","4","1","2","2","2","2","2"
"Q10_Dur","352","366","320","316","290","343","331"
"Q25_Dur","331","309","266","234","235","288","277"
"Q50_Dur","274","161","221","125","163","161","184"
"Q75_Dur","134","72","160","57","92","39","92"
"Q90_Dur","49","9","129","22","5","11","37"
"Q10_Mag_Lng_Evt","13426.3","13119","52639.5","21536.5","12004","9509.1","20372"
"Q25_Mag_Lng_Evt","13426.3","13119","52639.5","21536.5","12004","9509.1","20372"
"Q50_Mag_Lng_Evt","13426.3","10923.5","52639.5","21536.5","12004","15884.9","21069"
"Q75_Mag_Lng_Evt","18420.1","13119","52639.5","21536.5","12004","15884.9","22267"
"Q90_Mag_Lng_Evt","18420.1","13119","52639.5","21536.5","12004","15884.9","22267"
"Q10_Strt_Tim_Lng_Evt","87","1","1","100","55","1","40"
"Q25_Strt_Tim_Lng_Evt","88","32","1","103","59","73","59"
"Q50_Strt_Tim_Lng_Evt","90","34","1","139","83","310","109"
"Q75_Strt_Tim_Lng_Evt","1","99","1","140","97","310","108"
"Q90_Strt_Tim_Lng_Evt","13","105","27","147","102","311","117"
"Q10_Strt_Sea_Lng_Evt","spr","win","win","spr","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","win","win","spr","win","spr","spr"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","spr","spr","aut","spr"
"Q75_Strt_Sea_Lng_Evt","win","spr","win","spr","spr","aut","spr"
"Q90_Strt_Sea_Lng_Evt","win","spr","win","spr","spr","aut","spr"
"Q10_Dur_Lng_Evt","279","366","275","254","270","261","284"
"Q25_Dur_Lng_Evt","255","215","208","86","212","171","191"
"Q50_Dur_Lng_Evt","88","54","199","45","114","28","88"
"Q75_Dur_Lng_Evt","48","37","157","31","90","21","64"
"Q90_Dur_Lng_Evt","32","9","124","21","4","7","32"
"Init_Mag","18018.31","8821.341","28893.011","7719.689","6452.459","7222.035","12854.474"
"Init_Tim","26","-37","42","-63","2","15","-2.5"
"Init_Dur","18","18","19","21","8","9","15.5"
"Wet_BFL_Mag_10","5134.03","4799.72","15811.65","2617.5","2393.46","4901.38","5942.957"
"Wet_BFL_Mag_50","8124.65","7576.55","26081.55","4404.9","5767.9","6136","9681.925"
"Wet_Tim","1","-54","24","-78","-10","6","-18.5"
"Wet_BFL_Dur","234","184","86","242","163","229","189.667"
"Peak_Mag_Ann","18420.1","13119","52639.5","21536.5","12004","15884.9","22267.333"
"Peak_Mag_Tim","25","108","109","163","102","313","136.667"
"Peak_Mag_95","18420.1",NA,"41205.15","21536.5",NA,NA,"27053.917"
"Peak_Mag_90","13177.45","13119","32867","16616.9","11869.25","15164.45","17135.675"
"Peak_Mag_80","12928.6","10923.5","52639.5","16616.9","11869.25","12778.85","19626.1"
"Peak_Dur_95","2",NA,"103","5",NA,NA,"36.667"
"Peak_Dur_90","49","9","129","22","5","11","37.5"
"Peak_Dur_80","85","51","148","49","82","32","74.5"
"Peak_Fre_95","1",NA,"2","1",NA,NA,"1.333"
"Peak_Fre_90","4","1","2","2","2","2","2.167"
"Peak_Fre_80","5","3","1","2","2","4","2.833"
"Peak_Tim_95","25",NA,"50.5","161",NA,NA,"78.833"
"Peak_Tim_90","64.5","105","22","106.5","138.5","337","128.917"
"Peak_Tim_80","145","100","8","96.5","109.5","328","131.167"
"Rec_Mag","9163.7","9328.8","52639.5","21536.5","9718.2","7307","18282.283"
"Rec_Tim","234","129","109","163","152","234","170.167"
"Rec_Dur","77","158","173","190","179","31","134.667"
"Rec_ROC","0.026","0.017","0.027","0.029","0.024","0.051","0.029"
"Dry_Mag_90","5173.4","9890.93","2990.3","3639.9","4667.1","11915.6","6379.538"
"Dry_Mag_50","5173.4","5598.35","2870.2","3428.3","3507.5","6200.55","4463.05"
"Dry_Mag_10","5173.4","4186.43","2551.95","3229.18","3125","2955.39","3536.892"
"Dry_Tim","311","287","282","353","331","265","304.833"
"Dry_Dur","1","104","6","3","41","102","42.833"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1",NA,"1.667","1",NA,NA,"1.222"
"No_Peaks_Max","1",NA,"1","1",NA,NA,"1"
"Frac_V_Cent_Avg","0.5",NA,"0.518","0.6",NA,NA,"0.539"
"Frac_V_Cent_Max","0.5",NA,"0.412","0.6",NA,NA,"0.504"
