"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","8190.914","6635.896","14077.597","7541.668","7149.176","7712.675","8550.064"
"SD_Ann","3239.529","1986.887","13473.348","3057.598","2667.74","2974.604","6565.532"
"CV_Ann","0.396","0.299","0.957","0.405","0.373","0.386","0.768"
"Q10_Mag","5083.98","4610.35","3445.22","4789.26","3978.72","4809","4326.3"
"Q25_Mag","6266.9","5272.375","4685.6","5893.4","5215.6","5903","5587.825"
"Q50_Mag","7561.2","6067.6","7338","6747","6803.3","6843.5","6804.45"
"Q75_Mag","8964.5","7597.425","20201.6","8281.1","9249.9","8607.75","9097.725"
"Q90_Mag","12560.98","9860.65","38134.74","11353.14","10317.16","12872.5","13136.64"
"Q10_Tim","83","60","22","68","50","71","59"
"Q25_Tim","126","119","51","129","92","72","98"
"Q50_Tim","147","126","16","123","83","166","109"
"Q75_Tim","79","73","9","84","85","160","81"
"Q90_Tim","26",NA,"28","154","102","119","85"
"Q10_Fre","4","2","4","3","3","3","3"
"Q25_Fre","6","9","5","5","6","4","5"
"Q50_Fre","8","7","3","9","3","9","6"
"Q75_Fre","6","3","2","4","2","5","3"
"Q90_Fre","2",NA,"1","2","1","4","2"
"Q10_Dur","337","350","294","341","320","340","330"
"Q25_Dur","311","252","250","304","230","301","274"
"Q50_Dur","233","121","203","178","182","184","183"
"Q75_Dur","88","53","149","78","100","84","92"
"Q90_Dur","31",NA,"122","17","15","35","44"
"Q10_Mag_Lng_Evt","13426.3","13119","52639.5","23953.5","14983.2","15604","22287"
"Q25_Mag_Lng_Evt","13426.3","13119","52639.5","7882.3","14983.2","15604","19609"
"Q50_Mag_Lng_Evt","13426.3","13119","52639.5","23953.5","14983.2","15604","22287"
"Q75_Mag_Lng_Evt","18420.1","10923.5","52639.5","23953.5","14983.2","15604","22753"
"Q90_Mag_Lng_Evt","18420.1",NA,"52639.5","23953.5","14983.2","15604","25120"
"Q10_Strt_Tim_Lng_Evt","88","1","1","85","43","1","36"
"Q25_Strt_Tim_Lng_Evt","89","33","1","198","80","7","68"
"Q50_Strt_Tim_Lng_Evt","90","98","1","118","84","79","78"
"Q75_Strt_Tim_Lng_Evt","1","46","8","140","97","84","62"
"Q90_Strt_Tim_Lng_Evt","16",NA,"28","155","102","90","78"
"Q10_Strt_Sea_Lng_Evt","spr","win","win","spr","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","win","win","sum","spr","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","spr","spr","spr","spr"
"Q75_Strt_Sea_Lng_Evt","win","win","win","spr","spr","spr","spr"
"Q90_Strt_Sea_Lng_Evt","win",NA,"win","sum","spr","spr","spr"
"Q10_Dur_Lng_Evt","257","280","274","260","283","260","269"
"Q25_Dur_Lng_Evt","169","111","202","141","170","235","171"
"Q50_Dur_Lng_Evt","80","42","193","66","158","41","96"
"Q75_Dur_Lng_Evt","47","29","148","35","87","31","62"
"Q90_Dur_Lng_Evt","28",NA,"122","14","15","15","38"
"Init_Mag","18018.31","8821.341","28893.011","7719.689","9897.549","14108.638","14576.423"
"Init_Tim","26","-37","42","-63","6","20","-1"
"Init_Dur","18","18","19","21","16","20","18.667"
"Wet_BFL_Mag_10","5134.03","4799.72","15811.65","4477.7","3450.86","5737.3","6568.543"
"Wet_BFL_Mag_50","8124.65","7576.55","26081.55","8034.5","5761.6","7606","10530.808"
"Wet_Tim","1","-54","24","-7","-9","3","-7"
"Wet_BFL_Dur","234","184","86","171","119","94","148"
"Peak_Mag_Ann","18420.1","13119","52639.5","23953.5","14983.2","15887","23167.05"
"Peak_Mag_Tim","25","108","109","163","109","313","137.833"
"Peak_Mag_95","18420.1",NA,"41205.15","23953.5",NA,NA,"27859.583"
"Peak_Mag_90","15923.2",NA,"52639.5","18765.8","14983.2","15024","23467.14"
"Peak_Mag_80","13177.45","12021.25","52639.5","11831.35","11734.5","14444","19308.008"
"Peak_Dur_95","2",NA,"101","7",NA,NA,"36.667"
"Peak_Dur_90","31",NA,"122","17","15","35","44"
"Peak_Dur_80","74","37","145","68","49","75","74.667"
"Peak_Fre_95","1",NA,"2","1",NA,NA,"1.333"
"Peak_Fre_90","2",NA,"1","2","1","4","2"
"Peak_Fre_80","4","2","1","4","3","5","3.167"
"Peak_Tim_95","25",NA,"51","160",NA,NA,"78.667"
"Peak_Tim_90","67",NA,"28","151.5","102","201","109.9"
"Peak_Tim_80","129","76","10","73","98","311","116.167"
"Rec_Mag","9163.7","9328.8","52639.5","23953.5","14983.2","15604","20945.45"
"Rec_Tim","234","129","109","163","109","96","140"
"Rec_Dur","77","158","173","189","228","170","165.833"
"Rec_ROC","0.026","0.017","0.027","0.022","0.015","0.018","0.021"
"Dry_Mag_90","5173.4","9890.93","6950.16","3738.22","5396.5","12222","7228.535"
"Dry_Mag_50","5173.4","5598.35","3596.9","3428.3","3979.65","6671","4741.267"
"Dry_Mag_10","5173.4","4186.43","3004.94","3200.84","3530.61","3535","3771.87"
"Dry_Tim","311","287","282","352","337","266","305.833"
"Dry_Dur","1","104","77","5","32","101","53.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1",NA,"1.667","1",NA,NA,"1.222"
"No_Peaks_Max","1",NA,"1","1",NA,NA,"1"
"Frac_V_Cent_Avg","0.5",NA,"0.519","0.571",NA,NA,"0.53"
"Frac_V_Cent_Max","0.5",NA,"0.412","0.571",NA,NA,"0.494"
