"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","9940.459","9715.863","21211.611","8394.491","8694.847","8417.537","11060.647"
"SD_Ann","3126.436","3013.361","27331.691","4170.393","3495.482","2453.136","12414.701"
"CV_Ann","0.315","0.31","1.289","0.497","0.402","0.291","1.122"
"Q10_Mag","5921.3","5369.9","3648.44","4085.6","4205.62","5554.85","4757.62"
"Q25_Mag","9525.5","7626.35","7556.3","6312","6097","6861.95","6877.6"
"Q50_Mag","10182.3","9904.4","9983.5","7590.7","8312.3","8204.8","8941.5"
"Q75_Mag","10460.2","12079.975","18507","10416.5","11495.1","9569.225","11043.725"
"Q90_Mag","11878.62","13455.65","55012.1","13237.74","14633.06","11187.6","14879.4"
"Q10_Tim","10","34","1","32","33","50","26"
"Q25_Tim","48","49","1","126","106","47","62"
"Q50_Tim","80","59","19","91","58","84","65"
"Q75_Tim","31","51","1","110","77","151","70"
"Q90_Tim","1","123","20","95","122","309","111"
"Q10_Fre","2","4","1","2","2","3","2"
"Q25_Fre","2","4","1","10","7","5","4"
"Q50_Fre","4","3","3","5","2","4","3"
"Q75_Fre","3","2","1","6","2","6","3"
"Q90_Fre","1","3","3","5","4","1","2"
"Q10_Dur","348","342","301","317","315","354","329"
"Q25_Dur","320","299","292","239","235","275","276"
"Q50_Dur","281","232","199","117","138","143","185"
"Q75_Dur","46","106","181","71","109","47","93"
"Q90_Dur","26","20","133","23","25","6","38"
"Q10_Mag_Lng_Evt","23147.8","16500.4","178272.6","35445.3","19481.8","13121.2","47661"
"Q25_Mag_Lng_Evt","12707.1","16500.4","178272.6","16016","19481.8","13121.2","42683"
"Q50_Mag_Lng_Evt","12707.1","16500.4","178272.6","16016","19481.8","12294.6","42545"
"Q75_Mag_Lng_Evt","23147.8","16500.4","178272.6","15497.8","15005.4","12294.6","43453"
"Q90_Mag_Lng_Evt","23147.8","16500.4","178272.6","35445.3","15005.4","22731.6","48517"
"Q10_Strt_Tim_Lng_Evt","1","1","1","28","15","1","7"
"Q25_Strt_Tim_Lng_Evt","55","27","1","73","37","1","32"
"Q50_Strt_Tim_Lng_Evt","83","28","1","94","53","36","49"
"Q75_Strt_Tim_Lng_Evt","1","29","1","96","66","67","43"
"Q90_Strt_Tim_Lng_Evt","1","35","14","50","122","309","88"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","spr","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","spr","win","win","win"
"Q75_Strt_Sea_Lng_Evt","win","win","win","spr","spr","spr","spr"
"Q90_Strt_Sea_Lng_Evt","win","win","win","win","spr","aut","win"
"Q10_Dur_Lng_Evt","339","308","301","313","298","299","309"
"Q25_Dur_Lng_Evt","277","274","292","135","154","235","227"
"Q50_Dur_Lng_Evt","214","207","184","89","134","90","153"
"Q75_Dur_Lng_Evt","38","99","181","23","97","12","75"
"Q90_Dur_Lng_Evt","26","10","127","10","16","6","32"
"Init_Mag","17222.8","15822.366","16172.604","27748.917","6361.589","12343.372","15945.275"
"Init_Tim","1","37","-2","53","19","19","21.167"
"Init_Dur","6","15","9","10","12","3","9.167"
"Wet_BFL_Mag_10","7241.82","5449.15","15684.08","6135.76","5504.06","6555.7","7761.762"
"Wet_BFL_Mag_50","10349.35","7763.15","39129.2","10602","10876.8","9568.1","14714.767"
"Wet_Tim","1","9","21","17","8","-20","6"
"Wet_BFL_Dur","194","36","79","139","117","121","114.333"
"Peak_Mag_Ann","23147.8","17650.1","178272.6","35445.3","19481.8","22731.6","49454.867"
"Peak_Mag_Tim","22","364","99","53","170","311","169.833"
"Peak_Mag_95","21907.15",NA,"61632.6","35445.3","19481.8","22731.6","32239.69"
"Peak_Mag_90","23147.8","16500.4","14983.7","15497.8","14999.65","22731.6","17976.825"
"Peak_Mag_80","12707.1","17075.25","178272.6","15255","13709.3","13121.2","41690.075"
"Peak_Dur_95","13",NA,"89","6","1","3","22.4"
"Peak_Dur_90","26","20","133","23","25","6","38.833"
"Peak_Dur_80","34","100","174","52","70","14","74"
"Peak_Fre_95","2",NA,"3","1","1","1","1.6"
"Peak_Fre_90","1","3","3","5","4","1","2.833"
"Peak_Fre_80","3","2","1","6","4","3","3.167"
"Peak_Tim_95","9.5",NA,"25","51","170","310","113.1"
"Peak_Tim_90","1","60","149","109","117.5","309","124.25"
"Peak_Tim_80","150","195","1","129","119","74","111.333"
"Rec_Mag","12707.1","14906.5","178272.6","16016","15005.4","11926.5","41472.35"
"Rec_Tim","194","44","99","155","124","100","119.333"
"Rec_Dur","155","269","208","191","197","159","196.5"
"Rec_ROC","0.004","0.008","0.024","0.042","0.02","0.009","0.018"
"Dry_Mag_90","6392.55","17465.7","3818.65","4915.82","4514.1","11057.12","8027.323"
"Dry_Mag_50","5412.4","9038.5","3488.55","4003.3","4035.6","6310.2","5381.425"
"Dry_Mag_10","2881.75","4127.06","1769.5","3005.63","3091.2","4641.16","3252.717"
"Dry_Tim","349","313","307","346","321","259","315.833"
"Dry_Dur","26","75","76","28","25","108","56.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1",NA,"2","1","1","1","1.2"
"No_Peaks_Max","1",NA,"2","1","1","1","1.2"
"Frac_V_Cent_Avg","0.661",NA,"0.534","0.5","1","0.667","0.672"
"Frac_V_Cent_Max","0.571",NA,"0.324","0.5","1","0.667","0.612"
