"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","538.92","316.182","1033.412","188.947","77.539","3495.512","942.632"
"SD_Ann","1927.598","1809.814","4246.546","986.724","330.249","18479.054","7913.748"
"CV_Ann","3.577","5.724","4.109","5.222","4.259","5.287","8.395"
"Q10_Mag","0","0","0","0","0","0","0"
"Q25_Mag","0","0","0","0","0","0","0"
"Q50_Mag","2.4","1.2","1.3","0.5","0","0","0.4"
"Q75_Mag","178.5","49.75","94.6","32.9","0.2","1.8","28.8"
"Q90_Mag","934.64","628.25","811.64","389.22","13.8","444.65","629.01"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","160","130","167","130","272","219","179"
"Q75_Tim","246","181","166","171","260","244","211"
"Q90_Tim","220","191","170","204","261","230","212"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","4","5","8","6","5","2","5"
"Q75_Fre","7","9","10","7","3","3","6"
"Q90_Fre","4","3","3","3","3","2","3"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","258","221","220","205","81","148","188"
"Q75_Dur","149","109","117","103","33","63","95"
"Q90_Dur","64","41","58","19","18","38","39"
"Q10_Mag_Lng_Evt","16205.1","19532.5","37171.5","11432.1","3152.5","178228.3","44287"
"Q25_Mag_Lng_Evt","16205.1","19532.5","37171.5","11432.1","3152.5","178228.3","44287"
"Q50_Mag_Lng_Evt","2554.8","19532.5","12415.7","723.3","3152.5","178228.3","36101"
"Q75_Mag_Lng_Evt","16205.1","19532.5","37171.5","11432.1","3152.5","178228.3","44287"
"Q90_Mag_Lng_Evt","16205.1","19532.5","12415.7","11432.1","3152.5","178228.3","40161"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","255","156","267","106","286","226","216"
"Q75_Strt_Tim_Lng_Evt","175","189","67","249","302","226","201"
"Q90_Strt_Tim_Lng_Evt","203","218","268","250","303","227","244"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","aut","sum","aut","spr","aut","sum","aut"
"Q75_Strt_Sea_Lng_Evt","sum","sum","spr","aut","aut","sum","sum"
"Q90_Strt_Sea_Lng_Evt","sum","sum","aut","aut","aut","sum","aut"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","111","92","75","78","40","141","89"
"Q75_Dur_Lng_Evt","59","48","46","44","13","46","42"
"Q90_Dur_Lng_Evt","25","16","28","12","11","35","21"
"Init_Mag","19.95","1219.549","50.209","24.071","7.084","0","220.144"
"Init_Tim","68","-46","-45","-17","-45","224","23.167"
"Init_Dur","8","8","5","7","4","22","9"
"Wet_BFL_Mag_10","57.3","30.76","18.48","0","0","389.68","82.703"
"Wet_BFL_Mag_50","974.4","718.7","600.9","185","565.5","16034.3","3179.8"
"Wet_Tim","171","213","78","244","173","224","183.833"
"Wet_BFL_Dur","51","15","8","11","13","19","19.5"
"Peak_Mag_Ann","16205.1","19532.5","37171.5","11432.1","3152.5","178228.3","44287"
"Peak_Mag_Tim","221","227","85","254","309","242","223"
"Peak_Mag_95","8614.55","19532.5","24793.6","11432.1","3152.5","89676.25","26200.25"
"Peak_Mag_90","8450.45","809.6","12415.7","723.3","779.1","89676.25","18809.067"
"Peak_Mag_80","402.7","322.95","146.6","686.5","779.1","89379.4","15286.208"
"Peak_Dur_95","31","6","31","9","6","36","19.833"
"Peak_Dur_90","64","41","58","19","18","38","39.667"
"Peak_Dur_80","117","80","102","76","32","51","76.333"
"Peak_Fre_95","4","1","2","1","1","2","1.833"
"Peak_Fre_90","4","3","3","3","3","2","3"
"Peak_Fre_80","7","8","8","4","3","2","5.333"
"Peak_Tim_95","207","225","180.5","251","307","247.5","236.333"
"Peak_Tim_90","239.5","198","82","175","289","247.5","205.167"
"Peak_Tim_80","310","172.5","244.5","158","287","251","237.167"
"Rec_Mag","16205.1","19532.5","37171.5","11432.1","779.1","178228.3","43891.433"
"Rec_Tim","221","227","85","254","185","242","202.333"
"Rec_Dur","81","24","251","62","170","97","114.167"
"Rec_ROC","0.367","0.708","0.297","0.287","0.324","0.178","0.36"
"Dry_Mag_90","629.52","68.58","111.36","0","0","1.13","135.098"
"Dry_Mag_50","5.9","0.25","0.6","0","0","0.95","1.283"
"Dry_Mag_10","0","0","0","0","0","0.7","0.117"
"Dry_Tim","302","251","336","316","355","339","316.5"
"Dry_Dur","277","194","274","223","235","28","205.167"
"Dry_NoFL_Days","67","74","91","216","220","0","111.333"
"No_Peaks_Avg","1.167","1","1.4","1","1","2","1.261"
"No_Peaks_Max","1","1","1","1","1","3","1.333"
"Frac_V_Cent_Avg","0.542","0.5","0.725","0.444","0.5","0.764","0.579"
"Frac_V_Cent_Max","0.5","0.5","0.556","0.444","0.5","0.667","0.528"
