"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","323.922","239.208","2204.812","246.764","303.418","275.572","598.638"
"SD_Ann","137.392","139.018","4858.748","140.96","189.217","109.75","2110.951"
"CV_Ann","0.424","0.581","2.204","0.571","0.624","0.398","3.526"
"Q10_Mag","157.06","3","14.54","30.7","2.12","180.1","28.53"
"Q25_Mag","219.3","181","190.2","194.2","207.6","218.075","201.175"
"Q50_Mag","338.5","243.5","233.7","231.1","277.1","248.9","253.4"
"Q75_Mag","451.3","317","1058.8","320","497.4","368","436.025"
"Q90_Mag","477.52","436","7771.02","455.68","520.86","446.2","517"
"Q10_Tim","1","43","36","19","45","1","24"
"Q25_Tim","83","130","114","96","75","101","99"
"Q50_Tim","82","161","53","155","118","133","116"
"Q75_Tim","100","107","39","117","101","182","107"
"Q90_Tim",NA,NA,"40","97","138","334","152"
"Q10_Fre","1","1","3","2","2","1","1"
"Q25_Fre","2","2","7","5","2","3","3"
"Q50_Fre","3","6","6","12","6","7","6"
"Q75_Fre","5","3","1","2","1","3","2"
"Q90_Fre",NA,NA,"1","2","5","1","2"
"Q10_Dur","348","308","310","330","312","366","329"
"Q25_Dur","306","247","262","271","278","313","279"
"Q50_Dur","232","168","173","155","218","169","185"
"Q75_Dur","118","36","150","62","147","43","92"
"Q90_Dur",NA,NA,"149","10","54","9","55"
"Q10_Mag_Lng_Evt","511.5","506","24530.8","569.5","559.8","544","4536"
"Q25_Mag_Lng_Evt","511.5","506","24530.8","569.5","559.8","474.2","4525"
"Q50_Mag_Lng_Evt","511.5","506","24530.8","569.5","559.8","474.2","4525"
"Q75_Mag_Lng_Evt","511.5","506","24530.8","569.5","559.8","544","4536"
"Q90_Mag_Lng_Evt",NA,NA,"24530.8","563.7","559.8","544","6549"
"Q10_Strt_Tim_Lng_Evt","1","43","34","20","44","1","23"
"Q25_Strt_Tim_Lng_Evt","25","46","35","90","78","49","53"
"Q50_Strt_Tim_Lng_Evt","31","75","36","111","97","52","67"
"Q75_Strt_Tim_Lng_Evt","36","116","39","129","101","328","124"
"Q90_Strt_Tim_Lng_Evt",NA,NA,"40","72","101","334","136"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","spr","spr","win","win"
"Q50_Strt_Sea_Lng_Evt","win","spr","win","spr","spr","win","spr"
"Q75_Strt_Sea_Lng_Evt","win","spr","win","spr","spr","aut","spr"
"Q90_Strt_Sea_Lng_Evt",NA,NA,"win","spr","spr","aut","spr"
"Q10_Dur_Lng_Evt","348","308","308","319","311","366","326"
"Q25_Dur_Lng_Evt","230","127","162","209","250","247","204"
"Q50_Dur_Lng_Evt","185","69","159","86","173","112","130"
"Q75_Dur_Lng_Evt","70","25","150","50","147","18","76"
"Q90_Dur_Lng_Evt",NA,NA,"149","7","20","9","46"
"Init_Mag","460.729","348.199","1431.78","223.186","328.061","107.282","483.206"
"Init_Tim","39","51","53","-109","58","13","17.5"
"Init_Dur","31","15","27","12","24","8","19.5"
"Wet_BFL_Mag_10","213.26","243.3","1242.9","30.38","223.7","179.92","355.577"
"Wet_BFL_Mag_50","389.1","411.5","6758.6","205.2","475.95","396.2","1439.425"
"Wet_Tim","11","38","77","-168","39","27","4"
"Wet_BFL_Dur","317","94","41","325","196","103","179.333"
"Peak_Mag_Ann","511.5","506","24530.8","569.5","559.8","544","4536.933"
"Peak_Mag_Tim","71","131","117","156","110","339","154"
"Peak_Mag_95",NA,NA,"13014",NA,NA,NA,"13014"
"Peak_Mag_90",NA,NA,"24530.8","566.6","541.3","544","6545.675"
"Peak_Mag_80","478.5","484.5","24530.8","563.7","510.65","474.2","4507.058"
"Peak_Dur_95",NA,NA,"114",NA,NA,NA,"114"
"Peak_Dur_90",NA,NA,"149","10","54","9","55.5"
"Peak_Dur_80","87","21","150","36","126","29","74.833"
"Peak_Fre_95",NA,NA,"2",NA,NA,NA,"2"
"Peak_Fre_90",NA,NA,"1","2","5","1","2.25"
"Peak_Fre_80","3","2","1","3","4","3","2.667"
"Peak_Tim_95",NA,NA,"63.5",NA,NA,NA,"63.5"
"Peak_Tim_90",NA,NA,"40","114","150","334","159.5"
"Peak_Tim_80","164","103","39","131","198","94","121.5"
"Rec_Mag","348.5","506","24530.8","569.5","521.9","390.5","4477.867"
"Rec_Tim","327","131","117","156","234","129","182.333"
"Rec_Dur","39","236","80","204","124","48","121.833"
"Rec_ROC","0.116","0.022","0.067","0.042","0.02","0.01","0.046"
"Dry_Mag_90","3","1275.45","122.8","4.6","109.62","409.76","320.872"
"Dry_Mag_50","1","496.1","122.8","0.4","39.3","242.3","150.317"
"Dry_Mag_10","0","2.6","122.8","0","22.5","211.09","59.832"
"Dry_Tim","366","367","197","360","358","177","304.167"
"Dry_Dur","37","76","1","45","35","190","64"
"Dry_NoFL_Days","6","0","0","8","0","0","2.333"
"No_Peaks_Avg",NA,NA,"1.2",NA,NA,NA,"1.2"
"No_Peaks_Max",NA,NA,"1",NA,NA,NA,"1"
"Frac_V_Cent_Avg",NA,NA,"0.651",NA,NA,NA,"0.651"
"Frac_V_Cent_Max",NA,NA,"0.394",NA,NA,NA,"0.394"
