"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","323.922","278.762","2347.254","323.94","349.3","298.835","653.336"
"SD_Ann","137.392","148.67","4816.911","141.685","177.413","96.774","2108.479"
"CV_Ann","0.424","0.533","2.052","0.437","0.508","0.324","3.227"
"Q10_Mag","157.06","3","209.12","112.86","2.12","200.35","149"
"Q25_Mag","219.3","232","317.1","250.4","239.6","220.1","235.45"
"Q50_Mag","338.5","291","424.3","314.5","399.4","252.3","329.5"
"Q75_Mag","451.3","410.75","1447.6","448.8","509.2","385.75","456.1"
"Q90_Mag","477.52","436","7796.82","494.18","527.92","446.2","523.85"
"Q10_Tim","1","45","35","1","46","1","21"
"Q25_Tim","87","110","36","79","47","153","85"
"Q50_Tim","80","105","81","106","58","103","88"
"Q75_Tim","87","113","59","119","113","208","116"
"Q90_Tim",NA,NA,"48","100","108","335","147"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","4","2","1","2","1","6","2"
"Q50_Fre","4","5","4","3","1","2","3"
"Q75_Fre","4","2","2","3","4","3","3"
"Q90_Fre",NA,NA,"2","2","5","1","2"
"Q10_Dur","336","295","331","326","320","366","329"
"Q25_Dur","242","276","305","309","288","237","276"
"Q50_Dur","190","156","258","165","193","135","182"
"Q75_Dur","89","24","174","88","154","31","93"
"Q90_Dur",NA,NA,"157","15","41","8","55"
"Q10_Mag_Lng_Evt","511.5","506","24530.8","591.5","652.3","544","4556"
"Q25_Mag_Lng_Evt","511.5","506","24530.8","591.5","652.3","474.2","4544"
"Q50_Mag_Lng_Evt","511.5","506","24530.8","591.5","652.3","474.2","4544"
"Q75_Mag_Lng_Evt","511.5","506","24530.8","591.5","652.3","544","4556"
"Q90_Mag_Lng_Evt",NA,NA,"24530.8","563.7","559.8","544","6549"
"Q10_Strt_Tim_Lng_Evt","1","45","35","1","46","1","21"
"Q25_Strt_Tim_Lng_Evt","30","46","36","12","47","50","36"
"Q50_Strt_Tim_Lng_Evt","33","78","37","62","58","55","53"
"Q75_Strt_Tim_Lng_Evt","37","118","39","129","73","329","120"
"Q90_Strt_Tim_Lng_Evt",NA,NA,"41","72","103","335","137"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","spr","win","win","win","win","win"
"Q75_Strt_Sea_Lng_Evt","win","spr","win","spr","spr","aut","spr"
"Q90_Strt_Sea_Lng_Evt",NA,NA,"win","spr","spr","aut","spr"
"Q10_Dur_Lng_Evt","336","295","331","326","320","366","329"
"Q25_Dur_Lng_Evt","187","189","305","215","288","127","218"
"Q50_Dur_Lng_Evt","152","125","212","133","193","111","154"
"Q75_Dur_Lng_Evt","67","20","154","51","110","16","69"
"Q90_Dur_Lng_Evt",NA,NA,"151","10","14","8","45"
"Init_Mag","460.729","348.199","1431.78","556.968","630.859","462.77","648.551"
"Init_Tim","39","51","53","77","82","66","61.333"
"Init_Dur","31","15","27","33","4","24","22.333"
"Wet_BFL_Mag_10","213.26","243.3","1242.9","254.07","274.16","241.2","411.482"
"Wet_BFL_Mag_50","389.1","411.5","6758.6","380","505.7","408","1475.483"
"Wet_Tim","11","38","77","41","39","44","41.667"
"Wet_BFL_Dur","317","94","41","278","93","54","146.167"
"Peak_Mag_Ann","511.5","506","24530.8","591.5","652.3","544","4556.017"
"Peak_Mag_Tim","71","131","117","156","82","339","149.333"
"Peak_Mag_95",NA,NA,"13014",NA,NA,NA,"13014"
"Peak_Mag_90",NA,NA,"12532.85","577.6","545.8","544","3550.062"
"Peak_Mag_80","496.55","506","12532.85","563.7","521.9","509.1","2521.683"
"Peak_Dur_95",NA,NA,"110",NA,NA,NA,"110"
"Peak_Dur_90",NA,NA,"157","15","41","8","55.25"
"Peak_Dur_80","46","8","165","69","141","18","74.5"
"Peak_Fre_95",NA,NA,"2",NA,NA,NA,"2"
"Peak_Fre_90",NA,NA,"2","2","5","1","2.5"
"Peak_Fre_80","4","1","2","3","3","2","2.5"
"Peak_Tim_95",NA,NA,"66",NA,NA,NA,"66"
"Peak_Tim_90",NA,NA,"130.5","113.5","130","335","177.25"
"Peak_Tim_80","74","128","128","130","205","213","146.333"
"Rec_Mag","348.5","506","24530.8","344.6","541.3","474.2","4457.567"
"Rec_Tim","327","131","117","318","131","97","186.833"
"Rec_Dur","39","235","218","39","227","93","141.833"
"Rec_ROC","0.116","0.017","0.031","0.097","0.011","0.008","0.047"
"Dry_Mag_90","3","1262.47","253.37","5.13","204.75","431.76","360.08"
"Dry_Mag_50","1","440.8","235.2","0.45","197.85","244.4","186.617"
"Dry_Mag_10","0","2.64","205.7","0","188.45","212.9","101.615"
"Dry_Tim","366","366","335","357","358","190","328.667"
"Dry_Dur","37","78","72","48","52","177","77.333"
"Dry_NoFL_Days","6","0","0","8","0","0","2.333"
"No_Peaks_Avg",NA,NA,"1.667",NA,NA,NA,"1.667"
"No_Peaks_Max",NA,NA,"4",NA,NA,NA,"4"
"Frac_V_Cent_Avg",NA,NA,"0.519",NA,NA,NA,"0.519"
"Frac_V_Cent_Max",NA,NA,"0.3",NA,NA,NA,"0.3"
