"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","3195.792","2538.106","10264.627","2518.038","2617.71","2557.015","3947.27"
"SD_Ann","1217.088","870.418","18910.045","1228.675","1210.679","955.4","8273.964"
"CV_Ann","0.381","0.343","1.842","0.488","0.462","0.374","2.096"
"Q10_Mag","1541.22","1286.25","553.8","1070.26","654.96","1278.1","1197.15"
"Q25_Mag","2001.3","1743.125","2040","1818.6","1795.1","1619","1820.15"
"Q50_Mag","3671.1","2617.95","3031.8","2278.4","2696.9","2721.55","2718.95"
"Q75_Mag","4062.3","3268.725","8588.4","3050.7","3758.5","3149.375","3817.3"
"Q90_Mag","4247.28","3477.7","28936.8","4370.62","3955.04","4036.8","4355.75"
"Q10_Tim","1","21","1","34","31","40","21"
"Q25_Tim","89","60","1","36","91","37","52"
"Q50_Tim","96","111","30","96","73","115","86"
"Q75_Tim","140","105","9","99","112","106","95"
"Q90_Tim","18",NA,"23","109",NA,"322","117"
"Q10_Fre","1","3","1","2","2","3","2"
"Q25_Fre","4","4","1","1","2","2","2"
"Q50_Fre","4","3","4","4","3","5","3"
"Q75_Fre","6","1","1","2","6","2","3"
"Q90_Fre","2",NA,"2","4",NA,"1","2"
"Q10_Dur","346","351","308","323","303","348","329"
"Q25_Dur","302","264","299","278","268","245","276"
"Q50_Dur","244","179","201","130","184","183","186"
"Q75_Dur","174","21","173","78","81","42","94"
"Q90_Dur","26",NA,"155","43",NA,"1","56"
"Q10_Mag_Lng_Evt","6106.1","4310.9","108300","6485.6","4163.5","4322.8","22281"
"Q25_Mag_Lng_Evt","4406.5","4310.9","108300","6485.6","4163.5","4322.8","21998"
"Q50_Mag_Lng_Evt","4406.5","3678.7","108300","4797","4163.5","4322.8","21611"
"Q75_Mag_Lng_Evt","4406.5","4310.9","108300","4797","4163.5","4322.8","21716"
"Q90_Mag_Lng_Evt","6106.1",NA,"108300","4606.9",NA,"4356.3","30842"
"Q10_Strt_Tim_Lng_Evt","1","1","1","29","24","1","9"
"Q25_Strt_Tim_Lng_Evt","90","39","1","36","42","14","37"
"Q50_Strt_Tim_Lng_Evt","107","146","6","99","72","64","82"
"Q75_Strt_Tim_Lng_Evt","115","105","9","106","92","77","84"
"Q90_Strt_Tim_Lng_Evt","13",NA,"23","108",NA,"322","116"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","spr","spr","spr","spr"
"Q75_Strt_Sea_Lng_Evt","spr","spr","win","spr","spr","spr","spr"
"Q90_Strt_Sea_Lng_Evt","win",NA,"win","spr",NA,"aut","win"
"Q10_Dur_Lng_Evt","346","331","308","318","297","305","317"
"Q25_Dur_Lng_Evt","220","246","299","278","207","226","246"
"Q50_Dur_Lng_Evt","192","101","179","109","173","90","140"
"Q75_Dur_Lng_Evt","82","21","173","66","64","37","73"
"Q90_Dur_Lng_Evt","25",NA,"150","22",NA,"1","49"
"Init_Mag","5915.605","1488.698","14171.892","607.032","2869.94","1377.154","4405.054"
"Init_Tim","31","6","45","-41","50","1","15.333"
"Init_Dur","13","12","26","6","35","29","20.167"
"Wet_BFL_Mag_10","1698.68","1427.05","7360.1","1259.85","1418.19","1439.94","2433.968"
"Wet_BFL_Mag_50","3751.3","3148.1","31593","3136.35","3428.05","3078.3","8022.517"
"Wet_Tim","1","-5","68","14","16","-13","13.5"
"Wet_BFL_Dur","165","246","41","146","134","219","158.5"
"Peak_Mag_Ann","6106.1","4310.9","108300","6485.6","4163.5","4356.3","22287.067"
"Peak_Mag_Tim","31","112","108","64","124","322","126.833"
"Peak_Mag_95",NA,NA,"61610.1","6485.6",NA,NA,"34047.85"
"Peak_Mag_90","5256.3",NA,"56375.05","4701.95",NA,"4356.3","17672.4"
"Peak_Mag_80","4189","4310.9","108300","4797","4054.7","4339.55","21665.192"
"Peak_Dur_95",NA,NA,"109","1",NA,NA,"55"
"Peak_Dur_90","26",NA,"155","43",NA,"1","56.25"
"Peak_Dur_80","137","20","171","70","35","39","78.667"
"Peak_Fre_95",NA,NA,"2","1",NA,NA,"1.5"
"Peak_Fre_90","2",NA,"2","4",NA,"1","2.25"
"Peak_Fre_80","10","1","1","3","6","2","3.833"
"Peak_Tim_95",NA,NA,"53","64",NA,NA,"58.5"
"Peak_Tim_90","78",NA,"17.5","122",NA,"322","134.875"
"Peak_Tim_80","193","106","10","107","141.5","199.5","126.167"
"Rec_Mag","4332.4","3164.4","108300","4797","4070.1","3250","21318.983"
"Rec_Tim","165","240","108","159","149","205","171"
"Rec_Dur","192","71","210","194","186","97","158.333"
"Rec_ROC","0.036","0.045","0.051","0.032","0.023","0.017","0.034"
"Dry_Mag_90","660.94","10422.61","616.64","1165.44","655.79","3603.38","2854.133"
"Dry_Mag_50","597.7","3111.95","377.2","946.3","490.2","1446.9","1161.708"
"Dry_Mag_10","445.21","1148.64","278.93","586.92","469.75","1019.44","658.148"
"Dry_Tim","357","311","318","353","335","302","329.333"
"Dry_Dur","4","124","62","29","18","65","50.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"2.333","1",NA,NA,"1.667"
"No_Peaks_Max",NA,NA,"6","1",NA,NA,"3.5"
"Frac_V_Cent_Avg",NA,NA,"0.502","1",NA,NA,"0.751"
"Frac_V_Cent_Max",NA,NA,"0.284","1",NA,NA,"0.642"
