"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","3303.717","2620.753","10400.092","2641.951","2704.121","2599.202","4043.663"
"SD_Ann","1212.225","942.53","18848.423","1188.614","1163.232","955.623","8255.923"
"CV_Ann","0.367","0.36","1.812","0.45","0.43","0.368","2.042"
"Q10_Mag","1625.38","1286.25","795.06","1146.84","889.84","1292.6","1225.08"
"Q25_Mag","2195.9","1743.125","2278.1","1885.5","1806.1","1637.05","1864"
"Q50_Mag","3696.8","2705.25","3304.8","2458.6","2933.2","2737.2","2874.3"
"Q75_Mag","4141.6","3515.3","8588.4","3190.2","3785.2","3242.925","3875.375"
"Q90_Mag","4467.6","3763.5","28936.8","4403.82","3961.68","4038.3","4449.9"
"Q10_Tim","1","19","2","32","34","40","21"
"Q25_Tim","86","53","1","36","90","36","50"
"Q50_Tim","95","114","37","106","51","119","86"
"Q75_Tim","133","123","11","98","105","107","96"
"Q90_Tim","65",NA,"24","110",NA,NA,"66"
"Q10_Fre","1","3","2","2","2","3","2"
"Q25_Fre","4","4","1","1","2","2","2"
"Q50_Fre","4","3","4","5","2","5","3"
"Q75_Fre","7","3","2","2","6","2","3"
"Q90_Fre","6",NA,"2","3",NA,NA,"3"
"Q10_Dur","345","349","311","324","306","347","330"
"Q25_Dur","308","251","299","278","263","247","274"
"Q50_Dur","242","167","210","125","199","173","186"
"Q75_Dur","171","26","175","79","82","41","95"
"Q90_Dur","42",NA,"148","39",NA,NA,"76"
"Q10_Mag_Lng_Evt","6106.1","4341.9","108300","6485.6","4168.2","4372","22295"
"Q25_Mag_Lng_Evt","4668.2","4341.9","108300","6485.6","4168.2","4372","22055"
"Q50_Mag_Lng_Evt","4668.2","3939.8","108300","4801.1","4168.2","4372","21708"
"Q75_Mag_Lng_Evt","4668.2","4341.9","108300","4801.1","4168.2","4372","21775"
"Q90_Mag_Lng_Evt","6106.1",NA,"108300","4760.3",NA,NA,"39722"
"Q10_Strt_Tim_Lng_Evt","1","1","1","27","24","1","9"
"Q25_Strt_Tim_Lng_Evt","88","39","1","36","42","13","36"
"Q50_Strt_Tim_Lng_Evt","107","143","6","99","48","67","78"
"Q75_Strt_Tim_Lng_Evt","114","106","9","105","91","77","83"
"Q90_Strt_Tim_Lng_Evt","13",NA,"24","108",NA,NA,"48"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","spr","win","spr","spr"
"Q75_Strt_Sea_Lng_Evt","spr","spr","win","spr","spr","spr","spr"
"Q90_Strt_Sea_Lng_Evt","win",NA,"win","spr",NA,NA,"win"
"Q10_Dur_Lng_Evt","345","331","310","319","297","305","317"
"Q25_Dur_Lng_Evt","221","239","299","278","206","228","245"
"Q50_Dur_Lng_Evt","191","99","179","84","197","87","139"
"Q75_Dur_Lng_Evt","84","20","173","67","63","36","73"
"Q90_Dur_Lng_Evt","25",NA,"147","20",NA,NA,"64"
"Init_Mag","5915.605","1488.698","14171.892","6043.271","2980.901","1603.941","5367.385"
"Init_Tim","31","6","45","64","57","0","33.833"
"Init_Dur","13","12","26","20","4","26","16.833"
"Wet_BFL_Mag_10","1861.6","1350.25","7360.1","1886.5","1418.19","1516.3","2565.49"
"Wet_BFL_Mag_50","3888.9","3193.9","31593","3639","3739.65","2759.1","8135.592"
"Wet_Tim","1","-5","68","23","16","-13","15"
"Wet_BFL_Dur","161","216","41","137","134","119","134.667"
"Peak_Mag_Ann","6106.1","4341.9","108300","6485.6","4168.2","4372","22295.633"
"Peak_Mag_Tim","31","112","108","64","124","89","88"
"Peak_Mag_95",NA,NA,"61610.1","6485.6",NA,NA,"34047.85"
"Peak_Mag_90","4518.2",NA,"56375.05","4801.1",NA,NA,"21898.117"
"Peak_Mag_80","4178.4","4341.9","108300","4801.1","4073.05","4366.2","21676.775"
"Peak_Dur_95",NA,NA,"109","1",NA,NA,"55"
"Peak_Dur_90","42",NA,"148","39",NA,NA,"76.333"
"Peak_Dur_80","146","20","171","70","24","38","78.167"
"Peak_Fre_95",NA,NA,"2","1",NA,NA,"1.5"
"Peak_Fre_90","6",NA,"2","3",NA,NA,"3.667"
"Peak_Fre_80","6","1","1","3","6","2","3.167"
"Peak_Tim_95",NA,NA,"53","64",NA,NA,"58.5"
"Peak_Tim_90","131",NA,"19","108",NA,NA,"86"
"Peak_Tim_80","223.5","106","10","106","132","199.5","129.5"
"Rec_Mag","4524","3816.6","108300","4801.1","4072.9","4324.5","21639.85"
"Rec_Tim","161","210","108","159","149","105","148.667"
"Rec_Dur","196","101","210","194","186","197","180.667"
"Rec_ROC","0.033","0.033","0.043","0.032","0.022","0.014","0.029"
"Dry_Mag_90","660.94","10422.61","1100","1165.44","1001.67","3608.36","2993.17"
"Dry_Mag_50","597.7","3111.95","773.2","946.3","843","1464.3","1289.408"
"Dry_Mag_10","445.21","1148.64","636.1","586.92","823.62","1019.44","776.655"
"Dry_Tim","357","311","318","353","335","302","329.333"
"Dry_Dur","4","124","71","29","18","65","51.833"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"2.333","1",NA,NA,"1.667"
"No_Peaks_Max",NA,NA,"6","1",NA,NA,"3.5"
"Frac_V_Cent_Avg",NA,NA,"0.502","1",NA,NA,"0.751"
"Frac_V_Cent_Max",NA,NA,"0.284","1",NA,NA,"0.642"
