"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","329.644","207.527","2764.456","323.866","312.244","297.74","705.499"
"SD_Ann","402.491","138.681","4910.141","394.733","272.496","326.469","2222.722"
"CV_Ann","1.221","0.668","1.776","1.219","0.873","1.096","3.151"
"Q10_Mag","121.3","19","94.88","69.04","4.46","118.2","56.12"
"Q25_Mag","145.7","118.25","143.2","123.3","121.2","135.625","129.8"
"Q50_Mag","178.4","171","228.5","152.8","204.7","154.85","172.75"
"Q75_Mag","298.9","288","3309.9","298.5","585.9","283.925","406.25"
"Q90_Mag","530.8","427.5","9822.72","858.64","767.9","895.5","1123.18"
"Q10_Tim","1","43","15","31","41","30","26"
"Q25_Tim","133","159","108","141","67","101","118"
"Q50_Tim","137","167","69","128","54","110","110"
"Q75_Tim","34","134","17","106","98","125","85"
"Q90_Tim","19",NA,"20","113",NA,"94","61"
"Q10_Fre","1","1","1","2","1","3","1"
"Q25_Fre","4","5","4","9","3","3","4"
"Q50_Fre","8","5","9","5","1","2","5"
"Q75_Fre","3","3","1","2","1","2","2"
"Q90_Fre","1",NA,"1","2",NA,"1","1"
"Q10_Dur","360","313","330","332","293","345","328"
"Q25_Dur","311","240","301","255","249","318","279"
"Q50_Dur","208","183","220","153","203","142","184"
"Q75_Dur","68","55","172","77","111","65","91"
"Q90_Dur","25",NA,"147","24",NA,"24","55"
"Q10_Mag_Lng_Evt","1976.1","480","27820.1","2039.9","808.2","1311.1","5739"
"Q25_Mag_Lng_Evt","1976.1","480","27820.1","1507.7","808.2","1311.1","5650"
"Q50_Mag_Lng_Evt","1976.1","480","27820.1","1507.7","808.2","1311.1","5650"
"Q75_Mag_Lng_Evt","1976.1","479","27820.1","1507.7","808.2","1311.1","5650"
"Q90_Mag_Lng_Evt","1976.1",NA,"27820.1","2039.9",NA,"1311.1","8286"
"Q10_Strt_Tim_Lng_Evt","1","43","15","32","41","30","27"
"Q25_Strt_Tim_Lng_Evt","1","45","16","106","46","34","41"
"Q50_Strt_Tim_Lng_Evt","1","74","16","111","54","53","51"
"Q75_Strt_Tim_Lng_Evt","1","107","17","125","98","79","71"
"Q90_Strt_Tim_Lng_Evt","19",NA,"20","66",NA,"94","49"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","spr","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","spr","win","spr","win","win","win"
"Q75_Strt_Sea_Lng_Evt","win","spr","win","spr","spr","spr","spr"
"Q90_Strt_Sea_Lng_Evt","win",NA,"win","spr",NA,"spr","spr"
"Q10_Dur_Lng_Evt","360","313","330","321","293","337","325"
"Q25_Dur_Lng_Evt","106","99","183","100","229","230","157"
"Q50_Dur_Lng_Evt","65","70","179","78","203","112","117"
"Q75_Dur_Lng_Evt","55","35","172","55","111","53","80"
"Q90_Dur_Lng_Evt","25",NA,"147","12",NA,"24","52"
"Init_Mag","1927.376","242.375","4544.215","1614.741","262.082","152.415","1457.201"
"Init_Tim","35","-33","53","73","-44","41","20.833"
"Init_Dur","33","15","26","32","22","16","24"
"Wet_BFL_Mag_10","123.58","8.9","2363.6","117.13","9.7","187.18","468.348"
"Wet_BFL_Mag_50","233.9","172.75","7103.3","331.9","201.9","525.2","1428.158"
"Wet_Tim","9","-110","70","29","-65","49","-3"
"Wet_BFL_Dur","197","240","45","138","221","63","150.667"
"Peak_Mag_Ann","1976.1","480","27820.1","2039.9","808.2","1311.1","5739.233"
"Peak_Mag_Tim","36","82","114","70","116","111","88.167"
"Peak_Mag_95",NA,NA,"16262.2",NA,NA,NA,"16262.2"
"Peak_Mag_90","1976.1",NA,"27820.1","1773.8",NA,"1311.1","8220.275"
"Peak_Mag_80","1976.1",NA,"27820.1","1773.8","808.2","976.25","6670.89"
"Peak_Dur_95",NA,NA,"110",NA,NA,NA,"110"
"Peak_Dur_90","25",NA,"147","24",NA,"24","55"
"Peak_Dur_80","39",NA,"166","72","103","59","87.8"
"Peak_Fre_95",NA,NA,"2",NA,NA,NA,"2"
"Peak_Fre_90","1",NA,"1","2",NA,"1","1.25"
"Peak_Fre_80","1",NA,"1","2","1","2","1.4"
"Peak_Tim_95",NA,NA,"56",NA,NA,NA,"56"
"Peak_Tim_90","19",NA,"20","113",NA,"94","61.5"
"Peak_Tim_80","13",NA,"18","93.5","102","204","86.1"
"Rec_Mag","475.2","479","27820.1","1507.7","779.8","1311.1","5395.483"
"Rec_Tim","205","129","114","166","155","111","146.667"
"Rec_Dur","50","237","85","46","189","66","112.167"
"Rec_ROC","0.036","0.025","0.055","0.071","0.018","0.033","0.04"
"Dry_Mag_90","120.8","4151.6","197.75","152","145.1","274.58","840.305"
"Dry_Mag_50","120.8","1694.5","144.3","129.9","51.5","148.55","381.592"
"Dry_Mag_10","120.8","8.7","0.05","118.52","0.6","129.7","63.062"
"Dry_Tim","255","366","199","212","344","177","258.833"
"Dry_Dur","1","71","196","89","71","190","103"
"Dry_NoFL_Days","0","0","20","0","2","0","3.667"
"No_Peaks_Avg",NA,NA,"1",NA,NA,NA,"1"
"No_Peaks_Max",NA,NA,"2",NA,NA,NA,"2"
"Frac_V_Cent_Avg",NA,NA,"0.54",NA,NA,NA,"0.54"
"Frac_V_Cent_Max",NA,NA,"0.397",NA,NA,NA,"0.397"
