"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","329.644","250.533","2824.991","378.427","340.725","311.189","738.833"
"SD_Ann","402.491","138.608","4881.621","382.123","260.134","319.638","2216.524"
"CV_Ann","1.221","0.553","1.728","1.01","0.763","1.027","3"
"Q10_Mag","121.3","19","212.34","125.22","20.68","131.5","123.01"
"Q25_Mag","145.7","154.25","234","161.8","132.3","137.55","147.975"
"Q50_Mag","178.4","268","322.1","245.1","295.6","155.9","237.7"
"Q75_Mag","298.9","374.75","3332.9","386.8","589.9","294.425","417.85"
"Q90_Mag","530.8","427.5","9822.72","876.98","767.9","895.5","1129.77"
"Q10_Tim","134","45","16","64","100","70","71"
"Q25_Tim","146","83","16","85","65","146","90"
"Q50_Tim","91","113","95","147","62","104","102"
"Q75_Tim","29","131","17","103","94","121","82"
"Q90_Tim","19",NA,"20","109",NA,"94","60"
"Q10_Fre","4","1","1","2","2","2","2"
"Q25_Fre","6","2","1","3","2","8","3"
"Q50_Fre","5","3","4","4","1","2","3"
"Q75_Fre","3","3","1","3","2","2","2"
"Q90_Fre","1",NA,"1","2",NA,"1","1"
"Q10_Dur","324","306","350","335","305","355","329"
"Q25_Dur","271","282","350","287","230","227","274"
"Q50_Dur","129","198","262","197","190","126","183"
"Q75_Dur","64","48","172","84","115","65","91"
"Q90_Dur","25",NA,"147","24",NA,"24","55"
"Q10_Mag_Lng_Evt","1976.1","480","27820.1","2039.9","808.2","1311.1","5739"
"Q25_Mag_Lng_Evt","247.6","480","27820.1","2039.9","808.2","1311.1","5451"
"Q50_Mag_Lng_Evt","1976.1","480","27820.1","1507.7","808.2","1311.1","5650"
"Q75_Mag_Lng_Evt","1976.1","479","27820.1","1507.7","808.2","1311.1","5650"
"Q90_Mag_Lng_Evt","1976.1",NA,"27820.1","2039.9",NA,"1311.1","8286"
"Q10_Strt_Tim_Lng_Evt","1","45","16","1","45","1","18"
"Q25_Strt_Tim_Lng_Evt","267","45","16","1","50","51","71"
"Q50_Strt_Tim_Lng_Evt","1","75","16","111","62","57","53"
"Q75_Strt_Tim_Lng_Evt","1","110","17","125","94","79","71"
"Q90_Strt_Tim_Lng_Evt","19",NA,"20","65",NA,"94","49"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","aut","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","spr","win","spr","win","win","win"
"Q75_Strt_Sea_Lng_Evt","win","spr","win","spr","spr","spr","spr"
"Q90_Strt_Sea_Lng_Evt","win",NA,"win","spr",NA,"spr","spr"
"Q10_Dur_Lng_Evt","107","306","350","253","239","266","253"
"Q25_Dur_Lng_Evt","80","241","350","191","218","123","200"
"Q50_Dur_Lng_Evt","60","154","178","74","190","104","126"
"Q75_Dur_Lng_Evt","54","31","172","55","114","54","80"
"Q90_Dur_Lng_Evt","25",NA,"147","13",NA,"24","52"
"Init_Mag","1927.376","242.375","4544.215","1692.783","403.531","276.5","1514.463"
"Init_Tim","35","-33","53","72","78","74","46.5"
"Init_Dur","33","15","26","32","3","42","25.167"
"Wet_BFL_Mag_10","123.58","8.9","2363.6","242.12","138.4","313.18","531.63"
"Wet_BFL_Mag_50","233.9","172.75","7103.3","586.3","465.2","1090.7","1608.692"
"Wet_Tim","9","-110","70","49","35","74","21.167"
"Wet_BFL_Dur","197","240","45","118","121","38","126.5"
"Peak_Mag_Ann","1976.1","480","27820.1","2039.9","808.2","1311.1","5739.233"
"Peak_Mag_Tim","36","82","114","70","116","111","88.167"
"Peak_Mag_95",NA,NA,"16262.2",NA,NA,NA,"16262.2"
"Peak_Mag_90","1976.1",NA,"27820.1","1773.8",NA,"1311.1","8220.275"
"Peak_Mag_80","1976.1",NA,"27820.1","1773.8","808.2","976.25","6670.89"
"Peak_Dur_95",NA,NA,"110",NA,NA,NA,"110"
"Peak_Dur_90","25",NA,"147","24",NA,"24","55"
"Peak_Dur_80","37",NA,"165","75","106","56","87.8"
"Peak_Fre_95",NA,NA,"2",NA,NA,NA,"2"
"Peak_Fre_90","1",NA,"1","2",NA,"1","1.25"
"Peak_Fre_80","1",NA,"1","2","1","2","1.4"
"Peak_Tim_95",NA,NA,"56",NA,NA,NA,"56"
"Peak_Tim_90","19",NA,"20","113",NA,"94","61.5"
"Peak_Tim_80","14",NA,"18","93","98","204.5","85.5"
"Rec_Mag","475.2","479","27820.1","1507.7","779.8","1311.1","5395.483"
"Rec_Tim","205","129","114","166","155","111","146.667"
"Rec_Dur","50","160","83","197","132","69","115.167"
"Rec_ROC","0.036","0.011","0.052","0.046","0.018","0.03","0.032"
"Dry_Mag_90","120.8","3197.66","297.43","20.51","276.2","282.02","699.103"
"Dry_Mag_50","120.8","327.5","229.85","8.55","139.2","148.7","162.433"
"Dry_Mag_10","120.8","16.4","186.67","2.14","125.76","129.7","96.912"
"Dry_Tim","255","289","197","363","287","180","261.833"
"Dry_Dur","1","148","218","38","153","187","124.167"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"1",NA,NA,NA,"1"
"No_Peaks_Max",NA,NA,"2",NA,NA,NA,"2"
"Frac_V_Cent_Avg",NA,NA,"0.54",NA,NA,NA,"0.54"
"Frac_V_Cent_Max",NA,NA,"0.397",NA,NA,NA,"0.397"
