"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","47.838","42.303","639.564","36.612","35.527","32.863","139.025"
"SD_Ann","29.045","26.986","1378.59","29.431","22.665","19.09","605.302"
"CV_Ann","0.607","0.638","2.156","0.804","0.638","0.581","4.354"
"Q10_Mag","0","0","0","0","0","1.8","0"
"Q25_Mag","33.4","36.25","30","23.4","19","23.5","25.875"
"Q50_Mag","51.6","49","43.1","34.8","40.5","33.8","41.5"
"Q75_Mag","65","51","328.4","50.6","55.2","44.275","57.4"
"Q90_Mag","81.56","69.5","2715.28","63.4","60.36","57.85","91.09"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","38","38","24","37","86","137","59"
"Q50_Tim","125","113","46","160","109","142","115"
"Q75_Tim","122","94","32","164","126","123","110"
"Q90_Tim","86","102","29","78",NA,NA,"73"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","2","1","1","1","2","6","2"
"Q50_Fre","7","4","6","9","5","8","6"
"Q75_Fre","11","4","4","8","9","3","6"
"Q90_Fre","3","1","2","2",NA,NA,"2"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","299","285","292","276","265","251","278"
"Q50_Dur","247","264","199","155","188","121","195"
"Q75_Dur","159","71","169","72","85","40","99"
"Q90_Dur","23","25","162","13",NA,NA,"55"
"Q10_Mag_Lng_Evt","132.1","115","6800","162.9","72.8","83.8","1227"
"Q25_Mag_Lng_Evt","132.1","115","6800","162.9","72.8","76.7","1226"
"Q50_Mag_Lng_Evt","132.1","115","6800","73.2","72.8","76.7","1211"
"Q75_Mag_Lng_Evt","113.6","115","6800","73.2","68.9","76.7","1207"
"Q90_Mag_Lng_Evt","132.1","115","6800","162.9",NA,NA,"1802"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","18","38","24","37","39","45","33"
"Q50_Strt_Tim_Lng_Evt","18","68","25","214","87","49","76"
"Q75_Strt_Tim_Lng_Evt","89","71","26","221","87","74","94"
"Q90_Strt_Tim_Lng_Evt","27","102","28","61",NA,NA,"54"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","spr","win","sum","spr","win","win"
"Q75_Strt_Sea_Lng_Evt","spr","spr","win","sum","spr","spr","spr"
"Q90_Strt_Sea_Lng_Evt","win","spr","win","win",NA,NA,"win"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","278","285","292","276","206","109","241"
"Q50_Dur_Lng_Evt","105","172","181","62","150","55","120"
"Q75_Dur_Lng_Evt","32","62","163","18","52","19","57"
"Q90_Dur_Lng_Evt","10","25","161","8",NA,NA,"51"
"Init_Mag","123.707","45.179","893.559","145.429","49.394","64.05","220.22"
"Init_Tim","31","41","46","64","49","55","47.667"
"Init_Dur","29","4","28","10","10","20","16.833"
"Wet_BFL_Mag_10","34.7","38","300.63","29.86","30.37","23.05","76.102"
"Wet_BFL_Mag_50","57.4","51","3090.15","42.9","53.6","40.75","555.967"
"Wet_Tim","12","31","69","30","31","36","34.833"
"Wet_BFL_Dur","271","81","42","229","198","182","167.167"
"Peak_Mag_Ann","132.1","115","6800","162.9","72.8","83.8","1227.767"
"Peak_Mag_Tim","32","111","110","64","203","322","140.333"
"Peak_Mag_95",NA,NA,"1004.8",NA,NA,NA,"1004.8"
"Peak_Mag_90","113.6","115","3445.55","155.65",NA,NA,"957.45"
"Peak_Mag_80","79.1","74","80.4","73.2","64.7","76.7","74.683"
"Peak_Dur_95",NA,NA,"110",NA,NA,NA,"110"
"Peak_Dur_90","23","25","162","13",NA,NA,"55.75"
"Peak_Dur_80","117","53","169","58","31","32","76.667"
"Peak_Fre_95",NA,NA,"3",NA,NA,NA,"3"
"Peak_Fre_90","3","1","2","2",NA,NA,"2"
"Peak_Fre_80","11","3","4","9","7","3","6.167"
"Peak_Tim_95",NA,NA,"73",NA,NA,NA,"73"
"Peak_Tim_90","105","102","114.5","82.5",NA,NA,"101"
"Peak_Tim_80","136","90","197.5","215","130","75","140.583"
"Rec_Mag","65.7","115","6800","66.4","61.6","54.5","1193.867"
"Rec_Tim","282","111","110","258","228","217","201"
"Rec_Dur","53","225","216","68","103","140","134.167"
"Rec_ROC","0.107","0.057","0.074","0.088","0.083","0.056","0.078"
"Dry_Mag_90","0","548.35","0","0","2.3","4.51","92.527"
"Dry_Mag_50","0","11.45","0","0","0","2.8","2.375"
"Dry_Mag_10","0","0","0","0","0","1.8","0.3"
"Dry_Tim","335","336","326","326","331","357","335.167"
"Dry_Dur","62","100","70","71","71","10","64"
"Dry_NoFL_Days","62","40","70","71","58","0","50.167"
"No_Peaks_Avg",NA,NA,"1.75",NA,NA,NA,"1.75"
"No_Peaks_Max",NA,NA,"5",NA,NA,NA,"5"
"Frac_V_Cent_Avg",NA,NA,"0.647",NA,NA,NA,"0.647"
"Frac_V_Cent_Max",NA,NA,"0.271",NA,NA,NA,"0.271"
