"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","47.838","46.27","647.145","47.045","37.758","32.863","143.059"
"SD_Ann","29.045","29.016","1375.332","34.39","23.923","19.09","604.731"
"CV_Ann","0.607","0.627","2.125","0.731","0.634","0.581","4.227"
"Q10_Mag","0","0","0","0","0","1.8","0"
"Q25_Mag","33.4","36.25","35.1","23.4","19","23.5","25.875"
"Q50_Mag","51.6","49.5","72.9","51.8","45.8","33.8","47.3"
"Q75_Mag","65","66","328.4","65.8","56.5","44.275","65"
"Q90_Mag","81.56","74","2715.28","79.52","61.56","57.85","96.98"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","38","38","24","37","86","137","59"
"Q50_Tim","130","102","69","138","87","141","111"
"Q75_Tim","126","125","69","120","109","158","117"
"Q90_Tim","73","103","34","85",NA,NA,"73"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","2","1","1","1","2","6","2"
"Q50_Fre","10","7","2","4","3","6","5"
"Q75_Fre","12","4","5","9","5","3","6"
"Q90_Fre","3","1","3","3",NA,NA,"2"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","299","285","292","276","265","251","278"
"Q50_Dur","201","200","256","219","187","73","189"
"Q75_Dur","97","112","230","109","24","20","98"
"Q90_Dur","19","23","161","23",NA,NA,"56"
"Q10_Mag_Lng_Evt","132.1","115","6800","170.4","83.9","83.8","1230"
"Q25_Mag_Lng_Evt","132.1","115","6800","170.4","83.9","76.7","1229"
"Q50_Mag_Lng_Evt","113.6","115","6800","170.4","83.9","76.7","1226"
"Q75_Mag_Lng_Evt","132.1","77","6800","170.4","83.9","76.7","1223"
"Q90_Mag_Lng_Evt","132.1","115","6800","162.9",NA,NA,"1802"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","18","38","24","37","39","45","33"
"Q50_Strt_Tim_Lng_Evt","56","70","26","57","47","72","54"
"Q75_Strt_Tim_Lng_Evt","25","144","26","87","72","77","71"
"Q90_Strt_Tim_Lng_Evt","27","103","31","61",NA,NA,"55"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","spr","win","win","win","spr","win"
"Q75_Strt_Sea_Lng_Evt","win","spr","win","spr","spr","spr","spr"
"Q90_Strt_Sea_Lng_Evt","win","spr","win","win",NA,NA,"win"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","278","285","292","276","206","109","241"
"Q50_Dur_Lng_Evt","66","156","206","94","133","30","114"
"Q75_Dur_Lng_Evt","25","69","188","27","8","10","54"
"Q90_Dur_Lng_Evt","9","23","158","11",NA,NA,"50"
"Init_Mag","123.707","45.179","893.559","146.152","52.134","64.05","220.797"
"Init_Tim","31","41","46","65","51","55","48.167"
"Init_Dur","29","4","28","22","6","20","18.167"
"Wet_BFL_Mag_10","34.7","38","300.63","28.2","43.04","23.05","77.937"
"Wet_BFL_Mag_50","57.4","51","3090.15","68.5","55.6","40.75","560.567"
"Wet_Tim","12","31","69","30","31","36","34.833"
"Wet_BFL_Dur","271","81","42","101","198","182","145.833"
"Peak_Mag_Ann","132.1","115","6800","170.4","83.9","83.8","1230.867"
"Peak_Mag_Tim","32","111","110","108","76","322","126.5"
"Peak_Mag_95",NA,NA,"1004.8",NA,NA,NA,"1004.8"
"Peak_Mag_90","113.6","115","124.1","162.9",NA,NA,"128.9"
"Peak_Mag_80","83.8","74","72.9","91.7","71.1","80.25","78.958"
"Peak_Dur_95",NA,NA,"110",NA,NA,NA,"110"
"Peak_Dur_90","19","23","161","23",NA,NA,"56.5"
"Peak_Dur_80","75","79","207","88","12","15","79.333"
"Peak_Fre_95",NA,NA,"3",NA,NA,NA,"3"
"Peak_Fre_90","3","1","3","3",NA,NA,"2.5"
"Peak_Fre_80","9","7","7","7","4","2","6"
"Peak_Tim_95",NA,NA,"73",NA,NA,NA,"73"
"Peak_Tim_90","105","103","200","101",NA,NA,"127.25"
"Peak_Tim_80","151","144","256","137","125","199","168.667"
"Rec_Mag","65.7","115","6800","104.6","61.6","54.5","1200.233"
"Rec_Tim","282","111","110","130","228","217","179.667"
"Rec_Dur","53","225","216","196","102","140","155.333"
"Rec_ROC","0.107","0.045","0.074","0.066","0.083","0.056","0.072"
"Dry_Mag_90","0","548.35","0","0","2.23","4.51","92.515"
"Dry_Mag_50","0","11.45","0","0","0","2.8","2.375"
"Dry_Mag_10","0","0","0","0","0","1.8","0.3"
"Dry_Tim","335","336","326","326","330","357","335"
"Dry_Dur","62","100","70","71","72","10","64.167"
"Dry_NoFL_Days","62","40","70","71","59","0","50.333"
"No_Peaks_Avg",NA,NA,"1.75",NA,NA,NA,"1.75"
"No_Peaks_Max",NA,NA,"5",NA,NA,NA,"5"
"Frac_V_Cent_Avg",NA,NA,"0.647",NA,NA,NA,"0.647"
"Frac_V_Cent_Max",NA,NA,"0.271",NA,NA,NA,"0.271"
