"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","324.195","286.708","1023.264","314.021","306.9","281.687","422.669"
"SD_Ann","165.149","161.256","1627.958","157.021","137.206","100.404","728.27"
"CV_Ann","0.509","0.562","1.591","0.5","0.447","0.356","1.723"
"Q10_Mag","47.66","0","193.22","0","157.28","174.15","136.96"
"Q25_Mag","211.7","221.25","258.1","218.1","197.2","198.625","212.475"
"Q50_Mag","320.2","307","401.7","335.9","383.4","235.9","332.3"
"Q75_Mag","489.7","429.75","693.9","438","415.3","382.775","438"
"Q90_Mag","510.72","455.5","3704.7","496.78","437.46","424.2","504.09"
"Q10_Tim","1","34","25","1","34","1","16"
"Q25_Tim","45","88","26","27","39","132","59"
"Q50_Tim","41","80","93","97","43","87","73"
"Q75_Tim","27","90","62","130","88","91","81"
"Q90_Tim","89","82","73","132",NA,NA,"94"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","3","3","1","2","3","10","3"
"Q50_Fre","4","4","5","5","2","2","3"
"Q75_Fre","1","2","5","6","3","3","3"
"Q90_Fre","7","3","4","5",NA,NA,"4"
"Q10_Dur","325","295","341","316","332","366","329"
"Q25_Dur","285","282","303","296","263","251","280"
"Q50_Dur","180","166","239","190","204","138","186"
"Q75_Dur","151","91","177","94","36","23","95"
"Q90_Dur","72","3","140","32",NA,NA,"61"
"Q10_Mag_Lng_Evt","549.3","526","7045.7","550","488.6","479.2","1606"
"Q25_Mag_Lng_Evt","549.3","526","7045.7","550","488.6","479.2","1606"
"Q50_Mag_Lng_Evt","549.3","526","7045.7","550","488.6","479.2","1606"
"Q75_Mag_Lng_Evt","549.3","486","7045.7","520.5","488.6","470.7","1593"
"Q90_Mag_Lng_Evt","529.2","511","7045.7","549.1",NA,NA,"2158"
"Q10_Strt_Tim_Lng_Evt","1","34","25","1","34","1","16"
"Q25_Strt_Tim_Lng_Evt","22","67","26","28","37","41","36"
"Q50_Strt_Tim_Lng_Evt","25","70","27","55","41","45","43"
"Q75_Strt_Tim_Lng_Evt","27","93","33","62","61","53","54"
"Q90_Strt_Tim_Lng_Evt","78","77","72","158",NA,NA,"96"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","spr","win","win","win","win","win"
"Q75_Strt_Sea_Lng_Evt","win","spr","win","win","win","win","win"
"Q90_Strt_Sea_Lng_Evt","spr","spr","spr","sum",NA,NA,"spr"
"Q10_Dur_Lng_Evt","325","295","341","316","332","366","329"
"Q25_Dur_Lng_Evt","261","226","303","287","261","144","247"
"Q50_Dur_Lng_Evt","166","144","156","153","202","117","156"
"Q75_Dur_Lng_Evt","151","76","148","33","28","11","74"
"Q90_Dur_Lng_Evt","43","1","108","15",NA,NA,"41"
"Init_Mag","446.622","417.156","1138.531","507.686","471.889","465.282","574.528"
"Init_Tim","31","41","46","71","65","58","52"
"Init_Dur","15","36","33","30","5","24","23.833"
"Wet_BFL_Mag_10","350.56","206.8","690.88","271.83","52.03","239.54","301.94"
"Wet_BFL_Mag_50","493.85","439","4402.05","397.05","345.75","392.3","1078.333"
"Wet_Tim","17","27","71","49","25","36","37.5"
"Wet_BFL_Dur","82","122","40","262","54","55","102.5"
"Peak_Mag_Ann","549.3","526","7045.7","550","488.6","479.2","1606.467"
"Peak_Mag_Tim","57","87","110","125","78","90","91.167"
"Peak_Mag_95",NA,NA,"1276.8",NA,NA,NA,"1276.8"
"Peak_Mag_90","522.5","511","926.55","535.1",NA,NA,"623.788"
"Peak_Mag_80","513.2","472","576.3","527.8","466","474.95","505.042"
"Peak_Dur_95",NA,NA,"113",NA,NA,NA,"113"
"Peak_Dur_90","72","3","140","32",NA,NA,"61.75"
"Peak_Dur_80","132","34","169","77","22","18","75.333"
"Peak_Fre_95",NA,NA,"3",NA,NA,NA,"3"
"Peak_Fre_90","7","3","4","5",NA,NA,"4.75"
"Peak_Fre_80","2","5","3","6","3","2","3.5"
"Peak_Tim_95",NA,NA,"75",NA,NA,NA,"75"
"Peak_Tim_90","78","82","64.5","123",NA,NA,"86.875"
"Peak_Tim_80","107.5","110","197","131","87","70","117.083"
"Rec_Mag","525.6","462","7045.7","348.4","488.6","479.2","1558.25"
"Rec_Tim","98","148","110","310","78","90","139"
"Rec_Dur","243","195","219","21","234","175","181.167"
"Rec_ROC","0.043","0.029","0.051","0.375","0.017","0.019","0.089"
"Dry_Mag_90","0","761.72","218.4","0","189.92","423.39","265.572"
"Dry_Mag_50","0","97","206.5","0","175.9","210.9","115.05"
"Dry_Mag_10","0","0","189.4","0","169.68","160.51","86.598"
"Dry_Tim","341","343","329","331","312","265","320.167"
"Dry_Dur","52","95","86","60","90","102","80.833"
"Dry_NoFL_Days","52","45","0","60","0","0","26.167"
"No_Peaks_Avg",NA,NA,"1.6",NA,NA,NA,"1.6"
"No_Peaks_Max",NA,NA,"2",NA,NA,NA,"2"
"Frac_V_Cent_Avg",NA,NA,"0.555",NA,NA,NA,"0.555"
"Frac_V_Cent_Max",NA,NA,"0.396",NA,NA,NA,"0.396"
