"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","2994.385","2783.333","1476.025","2850.82","3332.676","1554.592","2498.338"
"SD_Ann","2596.85","2210.882","1681.361","2460.755","2277.567","1336","2254.672"
"CV_Ann","0.867","0.794","1.139","0.863","0.683","0.859","0.902"
"Q10_Mag","125","127","120","394.18","155.66","147.6","126"
"Q25_Mag","466.4","178","155","786.1","1444.5","225.55","326.15"
"Q50_Mag","2451.5","3059.5","509","2005.4","3298.2","1374.45","2119.5"
"Q75_Mag","4982.7","4799.25","2852","4196.4","4852.8","2500.9","4012.35"
"Q90_Mag","7279.56","5524","3332","7056.98","6410.02","3500.7","5623.35"
"Q10_Tim","52","41","43","1","4","55","32"
"Q25_Tim","60","58","146","103","1","90","76"
"Q50_Tim","138","126","188","163","58","148","136"
"Q75_Tim","183","162","235","194","185","186","190"
"Q90_Tim","211","202","280","244","183",NA,"223"
"Q10_Fre","4","3","2","1","2","4","2"
"Q25_Fre","3","1","4","3","1","7","3"
"Q50_Fre","3","2","4","8","3","7","4"
"Q75_Fre","4","4","4","5","5","3","4"
"Q90_Fre","6","6","3","3","3",NA,"4"
"Q10_Dur","320","347","300","365","331","337","333"
"Q25_Dur","292","255","193","353","328","240","276"
"Q50_Dur","197","214","131","186","263","142","188"
"Q75_Dur","125","149","21","114","132","20","93"
"Q90_Dur","73","29","8","45","71",NA,"45"
"Q10_Mag_Lng_Evt","8761.3","7060","7766","9678.2","9091.6","5009.9","7894"
"Q25_Mag_Lng_Evt","8761.3","7060","7766","9678.2","9091.6","5009.9","7894"
"Q50_Mag_Lng_Evt","8761.3","7060","7766","9678.2","9091.6","5009.9","7894"
"Q75_Mag_Lng_Evt","8761.3","7060","4865","9678.2","9091.6","4509.1","7327"
"Q90_Mag_Lng_Evt","7825.1","7060","7766","9678.2","9091.6",NA,"8284"
"Q10_Strt_Tim_Lng_Evt","47","44","30","1","1","1","20"
"Q25_Strt_Tim_Lng_Evt","57","58","127","161","1","77","80"
"Q50_Strt_Tim_Lng_Evt","163","141","186","178","60","142","145"
"Q75_Strt_Tim_Lng_Evt","201","231","187","203","179","183","197"
"Q90_Strt_Tim_Lng_Evt","207","245","224","249","182",NA,"221"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","spr","sum","win","spr","win"
"Q50_Strt_Sea_Lng_Evt","sum","spr","sum","sum","win","spr","sum"
"Q75_Strt_Sea_Lng_Evt","sum","sum","sum","sum","sum","sum","sum"
"Q90_Strt_Sea_Lng_Evt","sum","aut","sum","aut","sum",NA,"sum"
"Q10_Dur_Lng_Evt","282","323","288","365","328","279","310"
"Q25_Dur_Lng_Evt","260","255","173","174","328","202","232"
"Q50_Dur_Lng_Evt","127","163","109","131","245","106","146"
"Q75_Dur_Lng_Evt","82","56","7","102","62","11","53"
"Q90_Dur_Lng_Evt","31","11","3","42","46",NA,"26"
"Init_Mag","1471.565","910.421","467.454","5098.875","1842.128","1166.705","1826.191"
"Init_Tim","10","-12","56","-1","-5","5","8.833"
"Init_Dur","8","11","8","8","21","37","15.5"
"Wet_BFL_Mag_10","2015.92","1433","1601.6","402.5","2213.05","1200.68","1477.792"
"Wet_BFL_Mag_50","4057.7","4488.5","2893","2322","3945.75","2498.8","3367.625"
"Wet_Tim","72","63","149","-8","44","72","65.333"
"Wet_BFL_Dur","189","216","94","291","216","153","193.167"
"Peak_Mag_Ann","8761.3","7060","8779","9678.2","9091.6","5009.9","8063.333"
"Peak_Mag_Tim","260","253","363","263","209","163","251.833"
"Peak_Mag_95","7858.9","7060","8272.5","9678.2","9045",NA,"8382.92"
"Peak_Mag_90","7455.15","5978.5","7766","5969.8","6901.5",NA,"6814.19"
"Peak_Mag_80","7825.1","5978.5","7182.5","5501","6901.5","4602.4","6331.833"
"Peak_Dur_95","46","1","5","39","21",NA,"22.4"
"Peak_Dur_90","73","29","8","45","71",NA,"45.2"
"Peak_Dur_80","105","132","19","76","109","12","75.5"
"Peak_Fre_95","4","1","2","1","2",NA,"2"
"Peak_Fre_90","6","6","3","3","3",NA,"4.2"
"Peak_Fre_80","5","4","4","7","3","3","4.333"
"Peak_Tim_95","199","253","294","251","198.5",NA,"239.1"
"Peak_Tim_90","163","186","241","223","182",NA,"199"
"Peak_Tim_80","183","172.5","231","207","180","184","192.917"
"Rec_Mag","8761.3","5535","6599","8547.2","6411.5","4602.4","6742.733"
"Rec_Tim","260","278","242","282","259","224","257.5"
"Rec_Dur","70","58","87","44","74","96","71.5"
"Rec_ROC","0.034","0.026","0.06","0.079","0.038","0.068","0.051"
"Dry_Mag_90","534","645.9","132","2159.4","834.3","285.92","765.253"
"Dry_Mag_50","125","178.5","120","743.3","171.7","268.2","267.783"
"Dry_Mag_10","118","120","120","322.84","120","120","153.473"
"Dry_Tim","330","336","329","326","333","320","329"
"Dry_Dur","99","180","29","84","105","47","90.667"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","2.75","1","1","2.333","2",NA,"1.817"
"No_Peaks_Max","5","1","1","3","2",NA,"2.4"
"Frac_V_Cent_Avg","0.643","1","0.583","0.704","0.523",NA,"0.691"
"Frac_V_Cent_Max","0.5","1","0.667","0.55","0.5",NA,"0.643"
