"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","3576.481","3206.62","1891.515","3446.664","3731.463","2177.383","3004.735"
"SD_Ann","2882.371","2755.407","2138.256","2606.31","2394.609","1851.259","2561.116"
"CV_Ann","0.806","0.859","1.13","0.756","0.642","0.85","0.852"
"Q10_Mag","175.1","127.5","139","396.26","406.54","405.05","180.01"
"Q25_Mag","983.3","209","181","1176.6","2123","420.925","428.175"
"Q50_Mag","3020.6","3242.5","798","3181.7","3482.8","1976.8","2555.5"
"Q75_Mag","6046.2","5045.75","3109","4882.2","5355.8","3006.025","4501.175"
"Q90_Mag","8045.18","7051","4864.6","7674.84","7299.58","4502.15","7055.9"
"Q10_Tim","82","57","104","1","1","1","40"
"Q25_Tim","71","58","142","135","1","85","81"
"Q50_Tim","150","158","203","154","126","134","154"
"Q75_Tim","205","163","260","197","166","73","177"
"Q90_Tim","208","116","307","243","137","37","174"
"Q10_Fre","3","2","5","1","1","1","2"
"Q25_Fre","3","2","3","7","1","6","3"
"Q50_Fre","4","3","4","8","5","6","5"
"Q75_Fre","6","5","4","10","4","5","5"
"Q90_Fre","6","2","3","4","4","2","3"
"Q10_Dur","325","276","277","365","365","366","329"
"Q25_Dur","304","257","206","298","319","275","276"
"Q50_Dur","207","207","132","208","238","125","186"
"Q75_Dur","124","127","42","105","119","42","93"
"Q90_Dur","69","38","14","53","42","10","37"
"Q10_Mag_Lng_Evt","9040.2","9050","7766","9678.2","9091.6","8485.9","8851"
"Q25_Mag_Lng_Evt","9040.2","9050","7766","9678.2","9091.6","7321","8657"
"Q50_Mag_Lng_Evt","9040.2","7060","7766","9678.2","9091.6","5009.9","7940"
"Q75_Mag_Lng_Evt","8001.8","7060","7303","9678.2","9091.6","7321","8075"
"Q90_Mag_Lng_Evt","9040.2","9050","8781","9678.2","8733.6","8485.9","8961"
"Q10_Strt_Tim_Lng_Evt","56","57","89","1","1","1","34"
"Q25_Strt_Tim_Lng_Evt","56","58","128","160","1","77","80"
"Q50_Strt_Tim_Lng_Evt","163","220","186","179","172","152","178"
"Q75_Strt_Tim_Lng_Evt","201","238","239","245","180","80","197"
"Q90_Strt_Tim_Lng_Evt","254","79","358","251","89","5","172"
"Q10_Strt_Sea_Lng_Evt","win","win","spr","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","spr","sum","win","spr","win"
"Q50_Strt_Sea_Lng_Evt","sum","sum","sum","sum","sum","spr","sum"
"Q75_Strt_Sea_Lng_Evt","sum","sum","sum","aut","sum","spr","sum"
"Q90_Strt_Sea_Lng_Evt","aut","spr","win","aut","spr","win","aut"
"Q10_Dur_Lng_Evt","265","274","231","365","365","366","311"
"Q25_Dur_Lng_Evt","260","256","191","156","319","202","230"
"Q50_Dur_Lng_Evt","129","84","110","130","132","53","106"
"Q75_Dur_Lng_Evt","41","49","24","46","58","20","39"
"Q90_Dur_Lng_Evt","21","30","8","39","18","6","20"
"Init_Mag","1471.565","7296.809","467.454","8641.324","689.999","7788.153","4392.551"
"Init_Tim","10","-13","56","-2","-33","8","4.333"
"Init_Dur","8","14","8","24","6","14","12.333"
"Wet_BFL_Mag_10","2423.7","126","2008.9","402.5","1574.6","413.78","1158.247"
"Wet_BFL_Mag_50","4442.65","3518","3061.5","3418.35","3703.8","2501.7","3441"
"Wet_Tim","76","-24","149","-17","-19","-4","26.833"
"Wet_BFL_Dur","184","285","100","300","279","229","229.5"
"Peak_Mag_Ann","9040.2","9050","8781","9678.2","9091.6","8485.9","9021.15"
"Peak_Mag_Tim","259","105","361","263","209","9","201"
"Peak_Mag_95","8850.2","8096","8781","8772.8","8998.4","8485.9","8664.05"
"Peak_Mag_90","8339.15","8055","7766","8634","8866","7903.45","8260.6"
"Peak_Mag_80","8339.15","5978.5","7766","6995.85","8137.7","7903.45","7520.108"
"Peak_Dur_95","31","21","7","24","26","4","18.833"
"Peak_Dur_90","69","38","14","53","42","10","37.667"
"Peak_Dur_80","107","90","35","82","100","30","74"
"Peak_Fre_95","3","3","1","4","3","1","2.5"
"Peak_Fre_90","6","2","3","4","4","2","3.5"
"Peak_Fre_80","6","6","3","8","4","2","4.833"
"Peak_Tim_95","141","85","359","267.5","195","6","175.583"
"Peak_Tim_90","199","166","245","167","140","45.5","160.417"
"Peak_Tim_80","194.5","164.5","240","189.5","134","41","160.583"
"Rec_Mag","9040.2","7057","7303","8547.2","6411.5","4602.4","7160.217"
"Rec_Tim","259","260","248","282","259","224","255.333"
"Rec_Dur","66","76","83","44","66","60","65.833"
"Rec_ROC","0.053","0.007","0.046","0.079","0.039","0.05","0.046"
"Dry_Mag_90","195.06","645.9","140.3","675.1","407.02","1184.62","541.333"
"Dry_Mag_50","189.1","178.5","138","332.6","402.9","414","275.85"
"Dry_Mag_10","174.42","138","136.7","320.5","391.16","398.34","259.853"
"Dry_Tim","325","336","331","326","325","284","321.167"
"Dry_Dur","17","180","18","21","37","83","59.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","2.333","1.25","2","1.333","1.75","1","1.611"
"No_Peaks_Max","4","3","2","1","2","1","2.167"
"Frac_V_Cent_Avg","0.682","0.883","0.5","0.567","0.661","1","0.716"
"Frac_V_Cent_Max","0.5","0.533","0.5","0.5","0.571","1","0.601"
