"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","1949.502","706.38","4381.431","1882.647","1619.855","1641.636","2029.46"
"SD_Ann","1767.851","447.796","7111.702","1742.017","953.176","1735.078","3373.927"
"CV_Ann","0.907","0.634","1.623","0.925","0.588","1.057","1.662"
"Q10_Mag","456.42","350","370.96","576","515.36","629.3","424.98"
"Q25_Mag","903.1","445.5","742.2","976","951.6","808.475","731.3"
"Q50_Mag","1143.1","612.5","1517.7","1481","1157.2","1029.2","1068.4"
"Q75_Mag","2664.7","825.25","4860","2361","2475.5","1760.025","2159.45"
"Q90_Mag","3503.08","1058","11896.8","2826","2904.3","2736.85","3400"
"Q10_Tim","52","115","97","94","70","53","80"
"Q25_Tim","35","147","83","128","69","121","97"
"Q50_Tim","113","179","72","140","144","187","139"
"Q75_Tim","91","324","49","195","157","274","181"
"Q90_Tim","37","262","33","149","95","333","151"
"Q10_Fre","3","5","6","2","3","2","3"
"Q25_Fre","4","6","4","5","2","6","4"
"Q50_Fre","7","6","4","6","8","11","7"
"Q75_Fre","8","2","6","7","7","6","6"
"Q90_Fre","6","1","4","5","1","2","3"
"Q10_Dur","337","294","314","359","334","357","332"
"Q25_Dur","313","129","294","306","323","304","278"
"Q50_Dur","198","32","243","263","200","174","185"
"Q75_Dur","118","8","132","114","118","61","91"
"Q90_Dur","46","1","109","25","11","34","37"
"Q10_Mag_Lng_Evt","9176.6","3891","48729","3926","4651.2","2904.1","12212"
"Q25_Mag_Lng_Evt","9176.6","1860","48729","3926","4651.2","2904.1","11874"
"Q50_Mag_Lng_Evt","3507.4","1134","48729","2938","2982.9","2757.9","10341"
"Q75_Mag_Lng_Evt","9176.6","3243","48729","2882","2982.9","8270.7","12547"
"Q90_Mag_Lng_Evt","9176.6","3891","48729","15559","4651.2","8270.7","15046"
"Q10_Strt_Tim_Lng_Evt","1","123","1","185","88","1","66"
"Q25_Strt_Tim_Lng_Evt","1","39","1","185","90","83","66"
"Q50_Strt_Tim_Lng_Evt","76","64","1","194","169","148","108"
"Q75_Strt_Tim_Lng_Evt","1","362","25","243","186","342","193"
"Q90_Strt_Tim_Lng_Evt","14","262","26","157","95","342","149"
"Q10_Strt_Sea_Lng_Evt","win","spr","win","sum","spr","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","sum","spr","spr","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","sum","sum","spr","spr"
"Q75_Strt_Sea_Lng_Evt","win","win","win","sum","sum","win","win"
"Q90_Strt_Sea_Lng_Evt","win","aut","win","sum","spr","win","win"
"Q10_Dur_Lng_Evt","281","152","180","181","248","296","223"
"Q25_Dur_Lng_Evt","279","64","179","181","246","205","192"
"Q50_Dur_Lng_Evt","58","7","161","127","81","94","88"
"Q75_Dur_Lng_Evt","53","5","104","56","54","25","49"
"Q90_Dur_Lng_Evt","29","1","100","9","11","25","29"
"Init_Mag","8326.548","1007.054","2656.848","1689.454","2779.248","1879.368","3056.42"
"Init_Tim","23","-49","-2","-69","-2","95","-0.667"
"Init_Dur","14","21","8","22","8","29","17"
"Wet_BFL_Mag_10","846.18","718","4471.6","553","840.8",NA,"1485.916"
"Wet_BFL_Mag_50","1593.5","940.5","8454.5","1655.1","1505.5",NA,"2829.82"
"Wet_Tim","1","251","22","33","-15","301","98.833"
"Wet_BFL_Dur","263","12","80","261","279",NA,"179"
"Peak_Mag_Ann","9176.6","3891","48729","15559","4651.2","12268.2","15712.5"
"Peak_Mag_Tim","22","262","101","160","96","310","158.5"
"Peak_Mag_95","9176.6",NA,"17162","15559",NA,"8270.7","12542.075"
"Peak_Mag_90","3968.85","3891","4944","4630","4651.2","10269.45","5392.417"
"Peak_Mag_80","3502","3567","3845.55","2938","2944.1","2831","3271.275"
"Peak_Dur_95","20",NA,"74","7",NA,"13","28.5"
"Peak_Dur_90","46","1","109","25","11","34","37.667"
"Peak_Dur_80","100","7","123","77","87","49","73.833"
"Peak_Fre_95","1",NA,"3","1",NA,"3","2"
"Peak_Fre_90","6","1","4","5","1","2","3.167"
"Peak_Fre_80","6","2","6","9","6","6","5.833"
"Peak_Tim_95","20",NA,"65","158",NA,"343","146.5"
"Peak_Tim_90","104.5","262","106.5","145","95","325","173"
"Peak_Tim_80","130","311.5","105.5","214","145","256.5","193.75"
"Rec_Mag","3496.6","3891","48729","2652","2657.6","2674.7","10683.483"
"Rec_Tim","263","262","101","293","263","231","235.5"
"Rec_Dur","26","22","174","33","83","64","67"
"Rec_ROC","0.118","0.505","0.038","0.037","0.014","0.039","0.125"
"Dry_Mag_90","1029.21","2573.6","1519.5","1606.6","1937.3","7905.67","2761.98"
"Dry_Mag_50","638","463","457.6","1042","951.8","1764.05","886.075"
"Dry_Mag_10","400","350","350.03","911","469.4","377.06","476.248"
"Dry_Tim","289","284","275","326","346","295","302.5"
"Dry_Dur","328","105","124","25","321","72","162.5"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1",NA,"1","1",NA,"0.667","0.917"
"No_Peaks_Max","1",NA,"1","1",NA,"1","1"
"Frac_V_Cent_Avg","0.531",NA,"0.474","0.571",NA,"0.422","0.5"
"Frac_V_Cent_Max","0.462",NA,"0.379","0.571",NA,"0.6","0.503"
