"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","2536.851","1202.497","4771.685","2501.008","2168.239","2477.377","2608.907"
"SD_Ann","2004.996","1172.532","6971.244","2198.298","1710.924","2256.972","3500.885"
"CV_Ann","0.79","0.975","1.461","0.879","0.789","0.911","1.342"
"Q10_Mag","949.68","571","954","893.2","907.98","902.3","792"
"Q25_Mag","1017.2","675","1149","1199","995.4","1092.4","973.525"
"Q50_Mag","1574","825.5","1783","2010","1586.7","1393.3","1414.6"
"Q75_Mag","3123.7","1060","5198","2744","2809.6","2658.175","2811.5"
"Q90_Mag","6168.54","2309.5","11896.8","5176.8","3712.24","6475.4","6044.75"
"Q10_Tim","1","164","1","95","74","53","64"
"Q25_Tim","113","151","105","137","150","134","131"
"Q50_Tim","125","170","91","146","128","177","139"
"Q75_Tim","113","173","75","114","113","175","127"
"Q90_Tim","103","102","62","82","45","161","92"
"Q10_Fre","1","9","1","3","3","2","3"
"Q25_Fre","6","8","6","4","6","5","5"
"Q50_Fre","8","4","8","7","5","9","6"
"Q75_Fre","8","3","7","12","6","5","6"
"Q90_Fre","4","1","4","4","2","5","3"
"Q10_Dur","365","205","365","339","350","356","330"
"Q25_Dur","313","121","317","307","306","299","277"
"Q50_Dur","196","55","237","235","198","184","184"
"Q75_Dur","126","31","141","82","91","83","92"
"Q90_Dur","39","7","83","29","24","41","37"
"Q10_Mag_Lng_Evt","9176.6","1134","48729","15559","7040.5","8503.4","15023"
"Q25_Mag_Lng_Evt","9176.6","1134","48729","2938","2982.9","8503.4","12243"
"Q50_Mag_Lng_Evt","9176.6","6608","48729","2938","2982.9","8405.7","13140"
"Q75_Mag_Lng_Evt","9176.6","6608","48729","8539","7040.5","8405.7","14749"
"Q90_Mag_Lng_Evt","9176.6","6608","48729","8539","8872.4","8503.4","15071"
"Q10_Strt_Tim_Lng_Evt","1","31","1","143","88","1","44"
"Q25_Strt_Tim_Lng_Evt","1","39","1","194","168","1","67"
"Q50_Strt_Tim_Lng_Evt","1","95","1","208","169","330","134"
"Q75_Strt_Tim_Lng_Evt","1","96","25","1","94","342","93"
"Q90_Strt_Tim_Lng_Evt","20","102","65","1","1","11","33"
"Q10_Strt_Sea_Lng_Evt","win","win","win","spr","spr","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","sum","sum","win","win"
"Q50_Strt_Sea_Lng_Evt","win","spr","win","sum","sum","aut","sum"
"Q75_Strt_Sea_Lng_Evt","win","spr","win","win","spr","win","win"
"Q90_Strt_Sea_Lng_Evt","win","spr","spr","win","win","win","win"
"Q10_Dur_Lng_Evt","365","59","365","223","278","295","264"
"Q25_Dur_Lng_Evt","171","35","171","129","125","115","124"
"Q50_Dur_Lng_Evt","59","24","146","109","76","37","75"
"Q75_Dur_Lng_Evt","50","19","102","19","26","25","40"
"Q90_Dur_Lng_Evt","21","7","58","14","13","13","21"
"Init_Mag","8326.548","6581.519","2926.612","1735.974","2614.784","8237.769","5070.534"
"Init_Tim","23","-7","-98","-68","-141","15","-46"
"Init_Dur","14","13","22","15","37","18","19.833"
"Wet_BFL_Mag_10","1343.45","709.5","2476.4","717","922.15","1082.39","1208.482"
"Wet_BFL_Mag_50","3036.5","1029.5","7243","1696","2072.5","1764.1","2806.933"
"Wet_Tim","1","-19","5","-10","-164","0","-31.167"
"Wet_BFL_Dur","146","126","97","171","266","94","150"
"Peak_Mag_Ann","9176.6","6608","48729","15559","8872.4","12403.2","16891.367"
"Peak_Mag_Tim","22","106","101","160","3","310","117"
"Peak_Mag_95","9176.6",NA,"13661.5","12049","8872.4","8454.55","10442.81"
"Peak_Mag_90","7325.2","6608","12161.5","8095.5","7956.45","8405.7","8425.392"
"Peak_Mag_80","5872.15","4070","6087","7137","7040.5","8405.7","6435.392"
"Peak_Dur_95","4",NA,"61","16","9","21","22.2"
"Peak_Dur_90","39","7","83","29","24","41","37.167"
"Peak_Dur_80","96","27","131","65","47","77","73.833"
"Peak_Fre_95","1",NA,"4","2","1","4","2.4"
"Peak_Fre_90","4","1","4","4","2","5","3.333"
"Peak_Fre_80","8","3","5","7","3","5","5.167"
"Peak_Tim_95","21",NA,"50.5","79.5","1","200.5","70.5"
"Peak_Tim_90","129.5","102","46","123","49.5","309","126.5"
"Peak_Tim_80","104.5","261","186","83","57","284","162.583"
"Rec_Mag","6342.7","6608","48729","15559","6792.9","7909.3","15323.483"
"Rec_Tim","146","106","101","160","101","93","117.833"
"Rec_Dur","159","42","181","26","196","170","129"
"Rec_ROC","0.042","0.068","0.044","0.067","0.029","0.035","0.048"
"Dry_Mag_90","1025.86","1855.6","1548","1212","1069.32","7391.33","2350.352"
"Dry_Mag_50","968.4","764.5","986.5","1015","1009.2","1663.6","1067.867"
"Dry_Mag_10","926.47","547.6","909.3","880.5","974.6","791.73","838.367"
"Dry_Tim","305","148","282","186","297","263","246.833"
"Dry_Dur","42","224","74","16","69","104","88.167"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1",NA,"1","1","1","1.25","1.05"
"No_Peaks_Max","1",NA,"1","1","1","1","1"
"Frac_V_Cent_Avg","0.5",NA,"0.516","0.5","0.556","0.581","0.531"
"Frac_V_Cent_Max","0.5",NA,"0.385","0.5","0.556","0.6","0.508"
