"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","1470.288","591.847","2533.501","1446.845","1572.602","1455.424","1511.306"
"SD_Ann","1235.148","379.281","4474.296","1249.662","1014.51","1379.518","2160.6"
"CV_Ann","0.84","0.641","1.766","0.864","0.645","0.948","1.43"
"Q10_Mag","250","250","250","523.5","390.82","343.35","261"
"Q25_Mag","828.5","285.25","284","835.9","893.6","526.45","535.35"
"Q50_Mag","944","592.5","832","1111.1","1029.8","1023.75","924.5"
"Q75_Mag","2096","788","2572","2052.3","2492.4","1663.625","1835.125"
"Q90_Mag","3558.1","831","5997.2","2629.44","3010.48","2896","2980.17"
"Q10_Tim","102","64","60","115","1","59","66"
"Q25_Tim","99","100","102","123","67","108","99"
"Q50_Tim","129","204","108","177","129","152","149"
"Q75_Tim","125","244","61","213","160","233","172"
"Q90_Tim","94","257","58","150","157","323","173"
"Q10_Fre","7","9","9","3","1","3","5"
"Q25_Fre","4","3","3","4","3","6","3"
"Q50_Fre","8","4","3","8","7","6","6"
"Q75_Fre","8","2","4","4","6","7","5"
"Q90_Fre","7","1","3","2","7","4","4"
"Q10_Dur","319","298","311","354","365","351","333"
"Q25_Dur","293","211","243","329","317","275","278"
"Q50_Dur","227","29","164","200","266","230","186"
"Q75_Dur","109","6","104","117","132","85","92"
"Q90_Dur","52","2","82","7","49","37","38"
"Q10_Mag_Lng_Evt","4108.2","3880","25118","2929","4545","3615.1","7365"
"Q25_Mag_Lng_Evt","4108.2","3880","25118","2929","4545","3615.1","7365"
"Q50_Mag_Lng_Evt","4108.2","3880","25118","2929","3152.2","3040.5","7037"
"Q75_Mag_Lng_Evt","6315.1","3880","25118","2929","3152.2","8315.9","8285"
"Q90_Mag_Lng_Evt","6315.1","3880","25118","12503.9","3145.7","8315.9","9879"
"Q10_Strt_Tim_Lng_Evt","77","43","33","177","1","1","55"
"Q25_Strt_Tim_Lng_Evt","77","121","33","181","86","79","96"
"Q50_Strt_Tim_Lng_Evt","113","252","33","189","162","122","145"
"Q75_Strt_Tim_Lng_Evt","12","255","33","208","180","339","171"
"Q90_Strt_Tim_Lng_Evt","19","257","55","156","191","339","169"
"Q10_Strt_Sea_Lng_Evt","spr","win","win","sum","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","spr","win","sum","spr","spr","spr"
"Q50_Strt_Sea_Lng_Evt","spr","aut","win","sum","sum","spr","spr"
"Q75_Strt_Sea_Lng_Evt","win","aut","win","sum","sum","win","win"
"Q90_Strt_Sea_Lng_Evt","win","aut","win","sum","sum","win","win"
"Q10_Dur_Lng_Evt","211","266","273","189","365","286","265"
"Q25_Dur_Lng_Evt","199","150","143","185","246","206","188"
"Q50_Dur_Lng_Evt","68","19","93","128","170","130","101"
"Q75_Dur_Lng_Evt","26","5","88","99","60","28","51"
"Q90_Dur_Lng_Evt","19","2","65","4","17","28","22"
"Init_Mag","4738.534","929.914","8400.761","1275.082","1471.653","1126.677","2990.437"
"Init_Tim","26","-55","36","13","-33","11","-0.333"
"Init_Dur","10","23","10","23","12","9","14.5"
"Wet_BFL_Mag_10","310.94","250","2118","550.2","775.18","911.12","819.24"
"Wet_BFL_Mag_50","1164.1","676","4721","2033.35","1428.4","1342.15","1894.167"
"Wet_Tim","6","-70","27","133","-14","74","26"
"Wet_BFL_Dur","257","329","71","172","274","154","209.5"
"Peak_Mag_Ann","6315.1","3880","25118","12503.9","4545","8315.9","10112.983"
"Peak_Mag_Tim","35","258","78","157","97","341","161"
"Peak_Mag_95","6315.1",NA,"11065","8847.1","4545","6865.6","7527.56"
"Peak_Mag_90","3898.1","3880","11065","8847.1","3145.7","5237","6012.15"
"Peak_Mag_80","3356.3","3062","4155","2929","3129.85","3040.5","3278.775"
"Peak_Dur_95","17",NA,"66","6","4","25","23.6"
"Peak_Dur_90","52","2","82","7","49","37","38.167"
"Peak_Dur_80","88","5","98","77","109","72","74.833"
"Peak_Fre_95","1",NA,"3","2","1","3","2"
"Peak_Fre_90","7","1","3","2","7","4","4"
"Peak_Fre_80","9","2","5","5","6","7","5.667"
"Peak_Tim_95","21",NA,"59","149","95","339","132.6"
"Peak_Tim_90","95","257","55","148.5","191","293","173.25"
"Peak_Tim_80","140","222","190","210","141","225","188"
"Rec_Mag","3898.1","3880","24716","1999.2","2791.7","2906.7","6698.617"
"Rec_Tim","262","258","97","304","259","227","234.5"
"Rec_Dur","26","51","210","17","87","65","76"
"Rec_ROC","0.123","0.05","0.047","0.051","0.013","0.054","0.056"
"Dry_Mag_90","260.89","298.6","1228.53","1486.8","1043.44","6090.2","1734.743"
"Dry_Mag_50","250","250","547.05","845.6","398.9","811.9","517.242"
"Dry_Mag_10","250","248","250","833.7","273.1","253.66","351.41"
"Dry_Tim","288","309","307","321","346","292","310.5"
"Dry_Dur","8","85","192","31","94","75","80.833"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1.667",NA,"2.4","1","1","1","1.413"
"No_Peaks_Max","2",NA,"3","1","1","1","1.6"
"Frac_V_Cent_Avg","0.722",NA,"0.521","0.75","0.75","0.673","0.683"
"Frac_V_Cent_Max","0.667",NA,"0.421","0.5","0.75","0.6","0.588"
