"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","5072.007","4017.877","4072.666","4735.499","4712.855","4092.094","4450.139"
"SD_Ann","2520.58","2471.506","2536.712","2444.531","2182.4","1875.663","2382.885"
"CV_Ann","0.497","0.615","0.623","0.516","0.463","0.458","0.535"
"Q10_Mag","1844.24","1247","1100.4","1789.4","1300.06","2179","1589.4"
"Q25_Mag","3149.7","1934","2731","3052","3489.2","2878.875","2817.8"
"Q50_Mag","4558.3","3739.5","3699","4409","4594.5","3639.7","4121.35"
"Q75_Mag","7252.6","5681","4780","5929","5922.2","4690.975","5637.1"
"Q90_Mag","8497.98","7198","6736.2","8330.8","7812.28","7184.65","8134.6"
"Q10_Tim","19","72","17","21","7","1","22"
"Q25_Tim","78","129","117","115","32","133","100"
"Q50_Tim","128","164","144","153","109","146","140"
"Q75_Tim","167","159","172","182","140","104","153"
"Q90_Tim","177","80","145","210","120","93","137"
"Q10_Fre","2","6","3","4","4","1","3"
"Q25_Fre","5","5","8","8","2","10","6"
"Q50_Fre","8","4","10","11","5","12","8"
"Q75_Fre","8","5","9","12","9","8","8"
"Q90_Fre","6","1","4","6","4","4","4"
"Q10_Dur","339","305","319","338","314","366","330"
"Q25_Dur","295","218","272","295","300","293","278"
"Q50_Dur","234","158","136","218","258","147","191"
"Q75_Dur","140","92","63","99","111","49","92"
"Q90_Dur","69","30","21","44","31","31","37"
"Q10_Mag_Lng_Evt","10184.3","10201","17691","18633","9828.3","12588.8","13187"
"Q25_Mag_Lng_Evt","10184.3","7649","7791","18633","9828.3","5688.7","9962"
"Q50_Mag_Lng_Evt","9392.5","7649","17691","9778","9828.3","9461.5","10633"
"Q75_Mag_Lng_Evt","8856.5","10201","7427","9778","9828.3","9461.5","9258"
"Q90_Mag_Lng_Evt","9392.5","10201","17691","9778","9513.1","9461.5","11006"
"Q10_Strt_Tim_Lng_Evt","1","59","1","1","1","1","10"
"Q25_Strt_Tim_Lng_Evt","82","143","154","133","36","133","113"
"Q50_Strt_Tim_Lng_Evt","170","232","72","181","178","70","150"
"Q75_Strt_Tim_Lng_Evt","206","79","242","251","183","80","173"
"Q90_Strt_Tim_Lng_Evt","256","80","92","257","91","82","143"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","spr","sum","spr","win","spr","spr"
"Q50_Strt_Sea_Lng_Evt","sum","sum","spr","sum","sum","spr","sum"
"Q75_Strt_Sea_Lng_Evt","sum","spr","sum","aut","sum","spr","sum"
"Q90_Strt_Sea_Lng_Evt","aut","spr","spr","aut","spr","spr","spr"
"Q10_Dur_Lng_Evt","321","253","304","318","309","366","311"
"Q25_Dur_Lng_Evt","213","162","144","178","269","111","179"
"Q50_Dur_Lng_Evt","117","60","46","126","120","37","84"
"Q75_Dur_Lng_Evt","36","42","17","41","47","22","34"
"Q90_Dur_Lng_Evt","20","30","9","15","16","15","17"
"Init_Mag","7252.6","7741.053","2626.728","8700.467","9054.806","8516.872","7315.421"
"Init_Tim","1","-12","-5","0","-1","11","-1"
"Init_Dur","5","10","7","17","24","17","13.333"
"Wet_BFL_Mag_10","3044.62","1587.4","2688","2676","3152.92","1985.68","2522.437"
"Wet_BFL_Mag_50","5088","4063","3939.5","4636","4717.4","4199.25","4440.525"
"Wet_Tim","1","-22","8","-15","-23","-5","-9.333"
"Wet_BFL_Dur","272","287","242","299","235","94","238.167"
"Peak_Mag_Ann","10184.3","10201","17691","18633","9828.3","12588.8","13187.733"
"Peak_Mag_Tim","111","105","93","156","202","306","162.167"
"Peak_Mag_95","9463.2","10201","12875","9881","9513.1","11025.15","10493.075"
"Peak_Mag_90","9427.85","10201","12219.5","9626","9364.6","9211.7","10008.442"
"Peak_Mag_80","8856.5","7649","8322","8812","8655.3","8961.9","8542.783"
"Peak_Dur_95","26","28","13","22","15","9","18.833"
"Peak_Dur_90","69","30","21","44","31","31","37.667"
"Peak_Dur_80","125","60","51","86","78","43","73.833"
"Peak_Fre_95","5","1","3","4","3","2","3"
"Peak_Fre_90","6","1","4","6","4","4","4.167"
"Peak_Fre_80","9","3","8","9","5","5","6.5"
"Peak_Tim_95","108","82","77","207.5","202","195.5","145.333"
"Peak_Tim_90","179","80","84.5","206","145.5","194","148.167"
"Peak_Tim_80","138","174","82.5","155","52","81","113.75"
"Rec_Mag","8623.4","7649","7427","8657","9216.1","9461.5","8505.667"
"Rec_Tim","272","264","249","283","211","88","227.833"
"Rec_Dur","60","64","79","42","114","167","87.667"
"Rec_ROC","0.048","0.029","0.03","0.046","0.024","0.035","0.035"
"Dry_Mag_90","1122.72","2754.6","1060","1621.7","1603.5","5446.42","2268.157"
"Dry_Mag_50","910.95","1415","726","1255","1212.6","2966.65","1414.367"
"Dry_Mag_10","823.54","729.4","645.8","893.8","739.3","1957.45","964.882"
"Dry_Tim","332","328","328","325","325","255","315.5"
"Dry_Dur","12","47","23","18","36","112","41.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1.2","1.333","1.333","1.25","1","1","1.186"
"No_Peaks_Max","2","2","2","1","1","1","1.5"
"Frac_V_Cent_Avg","0.655","0.732","0.746","0.525","0.848","0.536","0.674"
"Frac_V_Cent_Max","0.538","0.529","0.571","0.5","1","0.5","0.606"
