"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","76.173","55.689","172.304","67.548","60.205","39.883","78.605"
"SD_Ann","86.295","121.399","307.428","92.026","90.867","93.853","159.746"
"CV_Ann","1.133","2.18","1.784","1.362","1.509","2.353","2.032"
"Q10_Mag","5.9","0","10.14","0","0","0","0"
"Q25_Mag","20.8","0","27.7","3.6","0","0","0"
"Q50_Mag","46.6","12.9","83.5","28.9","0.6","0","26.6"
"Q75_Mag","120.8","47.7","235.6","100.3","111","37.75","102.925"
"Q90_Mag","163.16","134.85","326.1","187.4","219.22","109.55","219.1"
"Q10_Tim","1","1","1","1","81","1","14"
"Q25_Tim","1","1","1","1","81","1","14"
"Q50_Tim","164","90","123","112","92","234","135"
"Q75_Tim","174","124","102","116","59","254","138"
"Q90_Tim","275","124","102","73","42","246","143"
"Q10_Fre","1","1","1","1","5","1","1"
"Q25_Fre","1","1","1","1","5","1","1"
"Q50_Fre","8","8","10","10","7","6","8"
"Q75_Fre","9","8","9","8","6","6","7"
"Q90_Fre","5","5","10","5","3","5","5"
"Q10_Dur","365","366","365","365","200","366","337"
"Q25_Dur","365","366","365","365","200","366","337"
"Q50_Dur","244","154","298","213","135","117","193"
"Q75_Dur","121","52","175","97","94","48","97"
"Q90_Dur","19","25","116","21","42","21","40"
"Q10_Mag_Lng_Evt","919.9","794.1","3022.3","941.7","249.8","811","1123"
"Q25_Mag_Lng_Evt","919.9","794.1","3022.3","941.7","249.8","811","1123"
"Q50_Mag_Lng_Evt","341.9","705.6","3022.3","941.7","249.8","811","1012"
"Q75_Mag_Lng_Evt","300","652.4","3022.3","427.7","249.8","249.7","816"
"Q90_Mag_Lng_Evt","919.9","705.6","3022.3","941.7","241","811","1106"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","18","1","3"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","18","1","3"
"Q50_Strt_Tim_Lng_Evt","128","1","1","106","18","229","80"
"Q75_Strt_Tim_Lng_Evt","142","58","58","66","19","247","98"
"Q90_Strt_Tim_Lng_Evt","282","28","58","107","21","229","120"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","spr","win","sum","win"
"Q75_Strt_Sea_Lng_Evt","spr","win","win","spr","win","aut","win"
"Q90_Strt_Sea_Lng_Evt","aut","win","win","spr","win","sum","win"
"Q10_Dur_Lng_Evt","365","366","365","365","100","366","321"
"Q25_Dur_Lng_Evt","365","366","365","365","100","366","321"
"Q50_Dur_Lng_Evt","114","88","151","60","70","93","96"
"Q75_Dur_Lng_Evt","57","15","50","27","69","18","39"
"Q90_Dur_Lng_Evt","8","7","48","7","22","13","17"
"Init_Mag","113.823","294.164","591.307","71.378","24.518","43.919","189.851"
"Init_Tim","65","-7","0","-55","-15","2","-1.667"
"Init_Dur","12","10","8","6","19","14","11.5"
"Wet_BFL_Mag_10","22.78","0","64.7","19","0","25.1","21.93"
"Wet_BFL_Mag_50","89.1","35.7","239.3","67.95","47.5","103.4","97.158"
"Wet_Tim","74","23","-9","-2","13","222","53.5"
"Wet_BFL_Dur","209","172","91","230","205","73","163.333"
"Peak_Mag_Ann","919.9","794.1","3022.3","941.7","249.8","811","1123.133"
"Peak_Mag_Tim","282","132","81","108","81","229","152.167"
"Peak_Mag_95","475.25","705.6","358.3","427.7",NA,"608.85","515.14"
"Peak_Mag_90","341.9","705.6","358.3","403.2","242.4","263.5","385.817"
"Peak_Mag_80","231.25","509.1","390.95","234.9","215.75","256.6","306.425"
"Peak_Dur_95","13","21","62","12",NA,"17","25"
"Peak_Dur_90","19","25","116","21","42","21","40.667"
"Peak_Dur_80","88","38","150","74","88","38","79.333"
"Peak_Fre_95","4","5","12","3",NA,"2","5.2"
"Peak_Fre_90","5","5","10","5","3","5","5.5"
"Peak_Fre_80","10","8","8","9","4","6","7.5"
"Peak_Tim_95","245.5","132","121","66",NA,"260.5","165"
"Peak_Tim_90","216","131","88","107","54","248","140.667"
"Peak_Tim_80","170.5","162.5","148.5","164","81","265.5","165.333"
"Rec_Mag","919.9","365.8","3022.3","211.6","125.9","406.7","842.033"
"Rec_Tim","282","194","81","227","217","294","215.833"
"Rec_Dur","48","48","217","103","24","56","82.667"
"Rec_ROC","0.082","0.244","0.178","0.438","0.271","0.119","0.222"
"Dry_Mag_90","181.58","9.25","52.1","24.84","0","84.5","58.712"
"Dry_Mag_50","47.3","0","27.5","10.2","0","11.4","16.067"
"Dry_Mag_10","17.88","0","5.55","0","0","5.42","4.808"
"Dry_Tim","330","242","298","330","241","350","298.5"
"Dry_Dur","59","116","66","49","347","17","109"
"Dry_NoFL_Days","0","101","0","15","324","0","73.333"
"No_Peaks_Avg","1","1.167","1.062","1",NA,"1.333","1.112"
"No_Peaks_Max","1","1","3","1",NA,"1","1.4"
"Frac_V_Cent_Avg","0.787","0.667","0.729","0.556",NA,"0.663","0.68"
"Frac_V_Cent_Max","1","1","0.636","0.667",NA,"0.667","0.794"
