"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","113.781","57.529","187.397","73.024","84.66","42.868","93.171"
"SD_Ann","115.383","122.933","305.671","97.231","102.247","100.688","165.87"
"CV_Ann","1.014","2.137","1.631","1.331","1.208","2.349","1.78"
"Q10_Mag","5.94","0","14.64","0","0","0","0"
"Q25_Mag","21.9","0","30.3","3.6","0","0","0"
"Q50_Mag","64.2","13.5","112.4","29.5","4","0","29.85"
"Q75_Mag","203.5","48.325","249.9","117.6","213.2","37.75","162.45"
"Q90_Mag","267.56","143.5","326.58","197.98","226.12","111.9","249.99"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","137","84","108","116","83","235","126"
"Q75_Tim","152","126","108","113","56","249","133"
"Q90_Tim","179","137","120","84","133","248","150"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","5","8","10","9","5","7","7"
"Q75_Fre","7","7","8","9","3","5","6"
"Q90_Fre","9","6","11","5","2","4","6"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","234","149","282","200","172","111","191"
"Q75_Dur","138","35","166","77","128","35","96"
"Q90_Dur","72","27","108","18","8","20","42"
"Q10_Mag_Lng_Evt","919.9","794.1","3022.3","941.7","316.6","811","1134"
"Q25_Mag_Lng_Evt","919.9","794.1","3022.3","941.7","316.6","811","1134"
"Q50_Mag_Lng_Evt","451","705.6","3022.3","396.9","316.6","811","950"
"Q75_Mag_Lng_Evt","451","705.6","424.8","427.7","316.6","811","522"
"Q90_Mag_Lng_Evt","451","705.6","3022.3","403.2","265.4","811","943"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","79","1","1","171","18","229","83"
"Q75_Strt_Tim_Lng_Evt","130","27","180","66","19","229","108"
"Q90_Strt_Tim_Lng_Evt","160","28","58","1","161","229","106"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","sum","win","sum","win"
"Q75_Strt_Sea_Lng_Evt","spr","win","sum","spr","win","sum","spr"
"Q90_Strt_Sea_Lng_Evt","sum","win","win","win","sum","sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","164","87","150","49","94","86","105"
"Q75_Dur_Lng_Evt","96","9","59","27","91","14","49"
"Q90_Dur_Lng_Evt","22","7","39","5","5","13","15"
"Init_Mag","113.823","294.164","591.307","71.378","19.508","43.919","189.017"
"Init_Tim","65","-7","0","-55","-107","2","-17"
"Init_Dur","12","10","8","6","8","14","9.667"
"Wet_BFL_Mag_10","25.1","0","64.7","19.38","0","25.1","22.38"
"Wet_BFL_Mag_50","173.5","37.2","239.3","72.55","212.9","106.3","140.292"
"Wet_Tim","74","23","-9","-2","13","222","53.5"
"Wet_BFL_Dur","209","110","91","230","184","73","149.5"
"Peak_Mag_Ann","919.9","794.1","3022.3","941.7","316.6","811","1134.267"
"Peak_Mag_Tim","282","132","81","108","87","229","153.167"
"Peak_Mag_95","387.9","705.6","419.7","415.45","316.6","406.7","441.992"
"Peak_Mag_90","321.7","679","354.4","403.2","291","357.55","401.142"
"Peak_Mag_80","321.7","679","362.2","272.3","250.1","285.95","361.875"
"Peak_Dur_95","21","18","53","13","1","18","20.667"
"Peak_Dur_90","72","27","108","18","8","20","42.167"
"Peak_Dur_80","113","29","150","41","119","29","80.167"
"Peak_Fre_95","7","5","11","4","1","3","5.167"
"Peak_Fre_90","9","6","11","5","2","4","6.167"
"Peak_Fre_80","9","6","9","9","4","6","7.167"
"Peak_Tim_95","181","132","75","87","87","254","136"
"Peak_Tim_90","208","162.5","180","107","124","269.5","175.167"
"Peak_Tim_80","142","162.5","118","164","148.5","253.5","164.75"
"Rec_Mag","919.9","794.1","3022.3","211.6","214.4","406.7","928.167"
"Rec_Tim","282","132","81","227","196","294","202"
"Rec_Dur","48","110","217","22","45","56","83"
"Rec_ROC","0.082","0.293","0.137","0.416","0.379","0.119","0.238"
"Dry_Mag_90","181.58","9.25","52.1","25.81","0","84.5","58.873"
"Dry_Mag_50","47.3","0","27.5","0","0","11.4","14.367"
"Dry_Mag_10","17.88","0","5.55","0","0","5.42","4.808"
"Dry_Tim","330","242","298","249","241","350","285"
"Dry_Dur","59","116","66","130","347","17","122.5"
"Dry_NoFL_Days","0","101","0","74","324","0","83.167"
"No_Peaks_Avg","1","1.2","1","1","1","2","1.2"
"No_Peaks_Max","1","1","2","1","1","4","1.667"
"Frac_V_Cent_Avg","0.796","0.6","0.756","0.5","1","0.712","0.727"
"Frac_V_Cent_Max","1","1","0.429","0.5","1","0.385","0.719"
