"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","336.928","188.657","751.414","257.333","238.243","148.497","320.04"
"SD_Ann","363.841","437.481","2505.081","340.794","231.638","464.778","1096.016"
"CV_Ann","1.08","2.319","3.334","1.324","0.972","3.13","3.425"
"Q10_Mag","26","0","61.48","14.44","0.5","0.5","0.6"
"Q25_Mag","33","14.825","122.3","33.1","1.4","0.5","25.65"
"Q50_Mag","172","59.55","304","142.3","198.6","24.85","119.5"
"Q75_Mag","577.9","174.3","621.2","363.8","451.9","135.075","392.05"
"Q90_Mag","890.26","390.65","1021.94","678.48","568.32","348.45","698.84"
"Q10_Tim","1","68","1","65","52","155","56"
"Q25_Tim","105","134","1","45","100","200","97"
"Q50_Tim","115","126","99","92","92","232","125"
"Q75_Tim","163","150","118","137","89","248","150"
"Q90_Tim","165","160","150","151","213","257","182"
"Q10_Fre","1","3","1","2","6","7","3"
"Q25_Fre","4","9","1","6","6","6","5"
"Q50_Fre","5","10","10","5","4","6","6"
"Q75_Fre","7","7","7","7","6","5","6"
"Q90_Fre","6","5","7","7","2","2","4"
"Q10_Dur","365","318","365","351","320","263","330"
"Q25_Dur","343","257","365","299","237","190","281"
"Q50_Dur","212","120","284","191","205","118","188"
"Q75_Dur","127","36","151","92","121","42","94"
"Q90_Dur","64","23","84","36","3","21","38"
"Q10_Mag_Lng_Evt","2180.1","4579.2","32116.8","3112.4","741.6","6404","8189"
"Q25_Mag_Lng_Evt","1399.8","4579.2","32116.8","3112.4","741.6","6404","8058"
"Q50_Mag_Lng_Evt","1399.8","2017.2","32116.8","3112.4","673.8","6404","7620"
"Q75_Mag_Lng_Evt","1399.8","3570.1","32116.8","1377.6","673.8","6404","7590"
"Q90_Mag_Lng_Evt","1399.8","3570.1","1302.6","1377.6","741.6","1333.4","1620"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","191","32"
"Q25_Strt_Tim_Lng_Evt","46","1","1","1","120","191","60"
"Q50_Strt_Tim_Lng_Evt","78","170","1","62","16","227","92"
"Q75_Strt_Tim_Lng_Evt","140","57","57","172","17","227","111"
"Q90_Strt_Tim_Lng_Evt","154","57","178","175","219","283","177"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","sum","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","spr","sum","win"
"Q50_Strt_Sea_Lng_Evt","spr","sum","win","win","win","sum","win"
"Q75_Strt_Sea_Lng_Evt","spr","win","win","sum","win","sum","win"
"Q90_Strt_Sea_Lng_Evt","sum","win","sum","sum","sum","aut","sum"
"Q10_Dur_Lng_Evt","365","250","365","273","267","176","282"
"Q25_Dur_Lng_Evt","209","102","365","258","106","149","198"
"Q50_Dur_Lng_Evt","169","29","150","102","100","69","103"
"Q75_Dur_Lng_Evt","81","10","72","44","53","14","45"
"Q90_Dur_Lng_Evt","56","7","41","24","2","11","23"
"Init_Mag","312.044","633.717","1121.947","183.686","65.096","172.728","414.87"
"Init_Tim","64","-8","-5","-57","-58","-42","-17.667"
"Init_Dur","13","9","8","10","13","22","12.5"
"Wet_BFL_Mag_10","126.6","13.7","170.21","72.04","33.2","26.6","73.725"
"Wet_BFL_Mag_50","523.2","113.35","450.95","228.1","430","39.65","297.542"
"Wet_Tim","73","-17","52","-7","10","221","55.333"
"Wet_BFL_Dur","115","210","28","193","211","10","127.833"
"Peak_Mag_Ann","2180.1","4579.2","32116.8","3112.4","741.6","6404","8189.017"
"Peak_Mag_Tim","281","27","79","107","220","230","157.333"
"Peak_Mag_95","1202.1","2022.6","2828.8","1194.4",NA,"3868.7","2223.32"
"Peak_Mag_90","980.55","2022.6","2828.8","860.8","720.25","3868.7","1880.283"
"Peak_Mag_80","706","2022.6","2828.8","936","673.8","586.65","1292.308"
"Peak_Dur_95","37","12","47","18",NA,"6","24"
"Peak_Dur_90","64","23","84","36","3","21","38.5"
"Peak_Dur_80","117","29","132","60","86","35","76.5"
"Peak_Fre_95","5","5","7","4",NA,"2","4.6"
"Peak_Fre_90","6","5","7","7","2","2","4.833"
"Peak_Fre_80","7","5","7","6","3","6","5.667"
"Peak_Tim_95","207","130","117","142.5",NA,"258","170.9"
"Peak_Tim_90","184","130","117","124","210","255.5","170.083"
"Peak_Tim_80","227","130","74","114.5","94","237","146.083"
"Rec_Mag","1399.8","2017.2","32116.8","1377.6","741.6","6404","7342.833"
"Rec_Tim","187","192","79","185","220","230","182.167"
"Rec_Dur","149","64","218","87","42","106","111"
"Rec_ROC","0.076","0.376","0.096","0.166","0.286","0.157","0.193"
"Dry_Mag_90","28.58","387.04","149.27","47","132.5","197.9","157.048"
"Dry_Mag_50","28.1","52.5","95.8","18.75","0.6","58.6","42.392"
"Dry_Mag_10","26.84","0","40.78","0","0.5","13.5","13.603"
"Dry_Tim","336","256","297","272","262","336","293.167"
"Dry_Dur","13","163","62","104","325","31","116.333"
"Dry_NoFL_Days","0","37","0","12","0","0","8.167"
"No_Peaks_Avg","1.714","1","1.5","1.5",NA,"1","1.343"
"No_Peaks_Max","1","1","5","1",NA,"1","1.8"
"Frac_V_Cent_Avg","0.874","0.667","0.638","0.886",NA,"0.625","0.738"
"Frac_V_Cent_Max","1","0.667","0.333","1",NA,"0.75","0.75"
