"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","110.055","73.072","224.643","108.261","67.811","52.92","106.088"
"SD_Ann","126.808","142.59","492.642","123.869","101.707","109.64","236.415"
"CV_Ann","1.152","1.951","2.193","1.144","1.5","2.072","2.228"
"Q10_Mag","9","0","17.98","0","0","0","0"
"Q25_Mag","22.4","0","33.3","12.2","0","0","2.5"
"Q50_Mag","52.1","18.2","113.3","44.9","2.5","4","32.7"
"Q75_Mag","152.6","59.425","251","190.4","134.3","49.025","147.1"
"Q90_Mag","320.06","204.3","491.12","297.04","244.32","162.15","277.19"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","88","1","42","123","180","72"
"Q50_Tim","157","90","113","105","96","232","132"
"Q75_Tim","195","123","103","124","50","249","140"
"Q90_Tim","214","132","118","129","84","245","153"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","5","1","3","10","4","4"
"Q50_Fre","7","8","9","6","9","7","7"
"Q75_Fre","9","6","10","7","4","6","7"
"Q90_Fre","7","5","11","9","2","5","6"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","261","365","297","191","192","278"
"Q50_Dur","230","161","289","209","129","122","190"
"Q75_Dur","109","50","158","122","88","44","95"
"Q90_Dur","46","28","77","57","2","23","38"
"Q10_Mag_Lng_Evt","972.2","937.7","5803.2","718.3","298.2","955.8","1614"
"Q25_Mag_Lng_Evt","972.2","937.7","5803.2","718.3","298.2","955.8","1614"
"Q50_Mag_Lng_Evt","502.4","738.7","5803.2","404.8","298.2","955.8","1450"
"Q75_Mag_Lng_Evt","437.5","602.4","5803.2","404.8","298.2","955.8","1416"
"Q90_Mag_Lng_Evt","502.4","602.4","5803.2","388.4","285.2","955.8","1422"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","17","198","36"
"Q50_Strt_Tim_Lng_Evt","128","1","1","171","18","228","91"
"Q75_Strt_Tim_Lng_Evt","181","58","58","181","18","228","120"
"Q90_Strt_Tim_Lng_Evt","156","58","68","139","81","228","121"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","sum","win"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","sum","win","sum","win"
"Q75_Strt_Sea_Lng_Evt","sum","win","win","sum","win","sum","sum"
"Q90_Strt_Sea_Lng_Evt","sum","win","spr","spr","spr","sum","spr"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","153","365","260","70","169","230"
"Q50_Dur_Lng_Evt","114","91","150","68","69","87","96"
"Q75_Dur_Lng_Evt","30","17","49","35","69","14","35"
"Q90_Dur_Lng_Evt","14","8","28","19","1","14","14"
"Init_Mag","134.481","323.223","4.74","75.203","260.325","14.294","135.378"
"Init_Tim","65","-7","-57","-56","23","-45","-12.833"
"Init_Dur","14","10","3","6","12","4","8.167"
"Wet_BFL_Mag_10","14.58","9.29","23.7","28.34","0","24.86","16.795"
"Wet_BFL_Mag_50","118.9","56.5","226.2","138.7","38.3","97.75","112.725"
"Wet_Tim","74","-16","53","-2","12","201","53.667"
"Wet_BFL_Dur","209","210","158","228","205","94","184"
"Peak_Mag_Ann","972.2","937.7","5803.2","718.3","298.2","955.8","1614.233"
"Peak_Mag_Tim","282","131","81","108","86","229","152.833"
"Peak_Mag_95","510.9","660.3","531.3","424.6",NA,"686.2","562.66"
"Peak_Mag_90","437.5","660.3","510.6","402.4","291.7","354.4","442.817"
"Peak_Mag_80","437.5","660.3","366.05","403.6","243.4","385.5","416.058"
"Peak_Dur_95","20","22","51","12",NA,"14","23.8"
"Peak_Dur_90","46","28","77","57","2","23","38.833"
"Peak_Dur_80","76","41","132","95","83","40","77.833"
"Peak_Fre_95","4","5","9","6",NA,"2","5.2"
"Peak_Fre_90","7","5","11","9","2","5","6.5"
"Peak_Fre_80","7","5","10","8","3","4","6.167"
"Peak_Tim_95","232","131","118","115.5",NA,"260.5","171.4"
"Peak_Tim_90","209","131","118","139","83.5","247","154.583"
"Peak_Tim_80","215","131","139","128","142","237.5","165.417"
"Rec_Mag","972.2","522.5","561","216","151.8","416.6","473.35"
"Rec_Tim","282","193","210","225","216","294","236.667"
"Rec_Dur","47","47","87","101","36","56","62.333"
"Rec_ROC","0.058","0.279","0.128","0.4","0.194","0.041","0.183"
"Dry_Mag_90","31.8","231.73","59.2","14.97","3.8","120.4","76.983"
"Dry_Mag_50","23.3","0.1","31.8","9.55","0","18.6","13.892"
"Dry_Mag_10","20.9","0","8.56","0","0","17.22","7.78"
"Dry_Tim","329","240","297","326","252","350","299"
"Dry_Dur","21","180","67","52","315","17","108.667"
"Dry_NoFL_Days","0","90","0","9","194","0","48.833"
"No_Peaks_Avg","1.4","1.167","1.4","1",NA,"1.333","1.26"
"No_Peaks_Max","1","1","3","1",NA,"1","1.4"
"Frac_V_Cent_Avg","0.731","0.628","0.77","0.944",NA,"0.644","0.743"
"Frac_V_Cent_Max","1","0.5","0.7","1",NA,"0.667","0.773"
