"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","150.604","53.431","286.199","480.575","73.8","56.482","183.398"
"SD_Ann","312.854","142.784","683.138","685.218","118.792","252.92","460.824"
"CV_Ann","2.077","2.672","2.387","1.426","1.61","4.478","2.513"
"Q10_Mag","1","0","0.8","5.38","0","0","0"
"Q25_Mag","7","0.3","9.8","14.6","0","0","0.3"
"Q50_Mag","33.5","1.25","38.7","153.7","5.1","0.05","16.7"
"Q75_Mag","122","20.125","339","655.9","96.6","9.45","133.15"
"Q90_Mag","436.48","208.35","761.74","1753.22","283.54","81.45","491.97"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","88","97","25","1","166","242","103"
"Q50_Tim","185","125","158","99","189","227","164"
"Q75_Tim","186","161","138","108","256","210","176"
"Q90_Tim","212","103","144","146",NA,"228","166"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","2","4","2","1","7","8","4"
"Q50_Fre","7","6","6","6","4","5","5"
"Q75_Fre","6","4","5","4","4","5","4"
"Q90_Fre","4","3","5","6",NA,"3","4"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","360","283","359","365","219","158","290"
"Q50_Dur","253","108","248","266","171","82","188"
"Q75_Dur","89","49","127","194","75","29","93"
"Q90_Dur","40","6","70","106",NA,"9","46"
"Q10_Mag_Lng_Evt","3154.7","1327.9","7037.5","3096.7","427.5","2769.8","2969"
"Q25_Mag_Lng_Evt","3154.7","1327.9","7037.5","3096.7","253.9","23.1","2482"
"Q50_Mag_Lng_Evt","3154.7","510.8","1010.9","3096.7","253.9","2769.8","1799"
"Q75_Mag_Lng_Evt","3154.7","510.8","1010.9","3096.7","427.5","2769.8","1828"
"Q90_Mag_Lng_Evt","1538.5","1272.5","1010.9","2385.3",NA,"2769.8","1795"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","140","97","26","1","138","282","114"
"Q50_Strt_Tim_Lng_Evt","154","171","168","86","156","227","160"
"Q75_Strt_Tim_Lng_Evt","174","173","188","90","311","228","194"
"Q90_Strt_Tim_Lng_Evt","208","58","193","167",NA,"230","171"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","spr","win","win","spr","aut","spr"
"Q50_Strt_Sea_Lng_Evt","sum","sum","sum","spr","sum","sum","sum"
"Q75_Strt_Sea_Lng_Evt","sum","sum","sum","spr","aut","sum","sum"
"Q90_Strt_Sea_Lng_Evt","sum","win","sum","sum",NA,"sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","226","161","340","365","93","50","205"
"Q50_Dur_Lng_Evt","117","55","121","177","65","35","95"
"Q75_Dur_Lng_Evt","58","17","64","165","45","11","60"
"Q90_Dur_Lng_Evt","21","3","25","65",NA,"6","24"
"Init_Mag","15.497","44.806","3.31","56.147","58.106","280.165","76.338"
"Init_Tim","31","-51","2","-83","99","139","22.833"
"Init_Dur","9","13","9","4","24","36","15.833"
"Wet_BFL_Mag_10","24.6","0.3","9.74","173.98","36.62","0","40.873"
"Wet_BFL_Mag_50","297.9","4.3","231.9","608","172.2","0","219.05"
"Wet_Tim","150","42","61","85","181","-66","75.5"
"Wet_BFL_Dur","133","167","169","117","23","299","151.333"
"Peak_Mag_Ann","3154.7","1327.9","7037.5","3096.7","427.5","2769.8","2969.017"
"Peak_Mag_Tim","188","132","80","107","345","232","180.667"
"Peak_Mag_95","2623.2","1300.2","1662.5","1214",NA,"2769.8","1913.94"
"Peak_Mag_90","2080.85","1272.5","910.7","1165.95",NA,"825.7","1251.14"
"Peak_Mag_80","595.7","891.65","603.25","1117.9","253.9","630.2","682.1"
"Peak_Dur_95","9","2","25","71",NA,"6","22.6"
"Peak_Dur_90","40","6","70","106",NA,"9","46.2"
"Peak_Dur_80","78","39","103","176","40","20","76"
"Peak_Fre_95","3","2","4","5",NA,"1","3"
"Peak_Fre_90","4","3","5","6",NA,"3","4.2"
"Peak_Fre_80","5","4","6","5","3","5","4.667"
"Peak_Tim_95","214","95.5","138.5","105",NA,"230","156.6"
"Peak_Tim_90","237.5","131","119","154.5",NA,"230","174.4"
"Peak_Tim_80","174","151","180","129","203","229","177.667"
"Rec_Mag","2623.2","320.7","910.7","2322.1","253.9","2769.8","1533.4"
"Rec_Tim","282","208","229","201","203","232","225.833"
"Rec_Dur","20","43","49","145","30","46","55.5"
"Rec_ROC","0.111","0.172","0.154","0.121","0.25","0.579","0.231"
"Dry_Mag_90","45.9","1.9","76.24","94","0","39.36","42.9"
"Dry_Mag_50","21.9","0.3","20","0.3","0","4.4","7.817"
"Dry_Mag_10","8.15","0","9.34","0","0","0","2.915"
"Dry_Tim","302","251","278","346","233","278","281.333"
"Dry_Dur","106","177","173","201","67","89","135.5"
"Dry_NoFL_Days","0","47","0","56","66","14","30.5"
"No_Peaks_Avg","1.333","1","2","2.8",NA,"1","1.627"
"No_Peaks_Max","1","1","3","2",NA,"1","1.6"
"Frac_V_Cent_Avg","0.633","1","0.667","0.666",NA,"0.875","0.768"
"Frac_V_Cent_Max","0.5","1","0.429","0.571",NA,"0.75","0.65"
