"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","53.414","42.854","119.567","159.69","16.285","54.863","74.422"
"SD_Ann","133.126","112.084","225.102","226.277","45.591","226.434","182.39"
"CV_Ann","2.492","2.615","1.883","1.417","2.8","4.127","2.451"
"Q10_Mag","0","0","0.2","1.04","0","0","0"
"Q25_Mag","0","0","2.2","5.1","0","0","0"
"Q50_Mag","5.9","1.7","12.1","53.4","0","0","4.5"
"Q75_Mag","40","19.1","148.4","233","4.8","16.975","53.025"
"Q90_Mag","168.6","149.85","339.06","493.4","60.46","81.5","234.54"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","166","149","145","123","158","194","155"
"Q75_Tim","181","170","143","137","155","234","170"
"Q90_Tim","198","167","122","176","200","231","182"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","7","8","7","6","6","5","6"
"Q75_Fre","9","9","9","8","3","8","7"
"Q90_Fre","8","6","8","8","1","5","6"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","191","156","236","289","94","146","185"
"Q75_Dur","90","66","132","195","44","53","96"
"Q90_Dur","25","28","72","95","6","23","41"
"Q10_Mag_Lng_Evt","1490.5","1130.1","1455.7","1264.9","298.2","2222.6","1310"
"Q25_Mag_Lng_Evt","1490.5","1130.1","1455.7","1264.9","298.2","2222.6","1310"
"Q50_Mag_Lng_Evt","562.7","394","983.1","1264.9","233.5","2222.6","943"
"Q75_Mag_Lng_Evt","393.8","394","983.1","1264.9","298.2","2222.6","926"
"Q90_Mag_Lng_Evt","393.8","360.6","1455.7","1264.9","298.2","2222.6","999"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","153","172","168","85","113","199","148"
"Q75_Strt_Tim_Lng_Evt","96","172","169","130","191","229","164"
"Q90_Strt_Tim_Lng_Evt","96","201","59","166","200","229","158"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","sum","sum","spr","spr","sum","spr"
"Q75_Strt_Sea_Lng_Evt","spr","sum","sum","spr","sum","sum","sum"
"Q90_Strt_Sea_Lng_Evt","spr","sum","win","sum","sum","sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","96","59","110","187","34","101","97"
"Q75_Dur_Lng_Evt","25","23","47","124","20","15","42"
"Q90_Dur_Lng_Evt","8","9","35","63","6","9","21"
"Init_Mag","52.297","292.578","56.831","19.078","1.068","10.323","72.029"
"Init_Tim","36","-7","-29","-49","-87","-71","-34.5"
"Init_Dur","16","11","5","7","3","10","8.667"
"Wet_BFL_Mag_10","0","0","0.1","42.06","0","10.3","8.743"
"Wet_BFL_Mag_50","18.3","137.5","48.2","197.4","2.4","16.6","70.067"
"Wet_Tim","89","167","-8","81","-73","222","79.667"
"Wet_BFL_Dur","194","35","244","123","279","11","147.667"
"Peak_Mag_Ann","1490.5","1130.1","1455.7","1264.9","298.2","2222.6","1310.333"
"Peak_Mag_Tim","282","365","82","182","205","232","224.667"
"Peak_Mag_95","541.75","493.9","983.1","862.95",NA,"498.2","675.98"
"Peak_Mag_90","371.95","424.45","368.1","322","298.2","440","370.783"
"Peak_Mag_80","371.95","377.3","368.1","337.7","190.8","330.7","329.425"
"Peak_Dur_95","9","7","37","48",NA,"12","22.6"
"Peak_Dur_90","25","28","72","95","6","23","41.5"
"Peak_Dur_80","64","49","119","177","23","36","78"
"Peak_Fre_95","4","4","5","2",NA,"3","3.6"
"Peak_Fre_90","8","6","8","8","1","5","6"
"Peak_Fre_80","8","8","8","6","4","7","6.833"
"Peak_Tim_95","248.5","117.5","69","141",NA,"257","166.6"
"Peak_Tim_90","212","183","191","134","200","229","191.5"
"Peak_Tim_80","216","183","150.5","108","148","229","172.417"
"Rec_Mag","1490.5","360.6","735.9","848.9","298.2","2222.6","992.783"
"Rec_Tim","282","201","235","203","205","232","226.333"
"Rec_Dur","52","39","73","75","29","74","57"
"Rec_ROC","0.191","0.282","0.132","0.228","0.333","0.198","0.227"
"Dry_Mag_90","109.12","17.94","25.54","0.64","15.61","18.9","31.292"
"Dry_Mag_50","2","0","3.6","0","0","0","0.933"
"Dry_Mag_10","0","0","0.38","0","0","0","0.063"
"Dry_Tim","334","240","308","278","234","306","283.333"
"Dry_Dur","199","119","139","15","354","61","147.833"
"Dry_NoFL_Days","55","87","6","11","278","38","79.167"
"No_Peaks_Avg","1","1","1.2","4",NA,"1.333","1.707"
"No_Peaks_Max","1","1","2","10",NA,"2","3.2"
"Frac_V_Cent_Avg","0.667","0.75","0.611","0.652",NA,"0.815","0.699"
"Frac_V_Cent_Max","0.5","0.5","0.438","0.455",NA,"0.444","0.467"
