"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","134.911","93.32","461.342","59.572","49.752","67.13","144.279"
"SD_Ann","276.435","356.759","2091.708","128.776","105.709","218.915","891.204"
"CV_Ann","2.049","3.823","4.534","2.162","2.125","3.261","6.177"
"Q10_Mag","5","0","10.04","0","0","0","0"
"Q25_Mag","12","7.35","32.7","5","0","0","1.5"
"Q50_Mag","41.6","24.7","109.9","29.2","2","0","25.6"
"Q75_Mag","123.1","68.25","209.3","75.5","3.5","66.55","107.75"
"Q90_Mag","313.16","163.9","363.56","140.7","296.92","183.3","239.26"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","74","111","92","19","40","202","89"
"Q50_Tim","157","120","131","93","105","218","137"
"Q75_Tim","187","129","72","105","57","244","132"
"Q90_Tim","202","159","132","73","18","250","138"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","2","4","2","4","7","4","3"
"Q50_Fre","6","10","6","9","6","5","7"
"Q75_Fre","8","8","9","10","3","7","7"
"Q90_Fre","9","6","8","5","1","6","5"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","342","315","360","281","209","168","279"
"Q50_Dur","225","199","320","216","75","156","198"
"Q75_Dur","123","60","196","68","59","78","97"
"Q90_Dur","60","23","72","11","50","28","40"
"Q10_Mag_Lng_Evt","2827","5385.2","25905.3","2086.3","319.2","3135.6","6609"
"Q25_Mag_Lng_Evt","1971.2","5385.2","1342.5","2086.3","319.2","3135.6","2373"
"Q50_Mag_Lng_Evt","1971.2","5385.2","25905.3","290.9","319.2","3135.6","6167"
"Q75_Mag_Lng_Evt","1971.2","2835.4","25905.3","265.5","319.2","3135.6","5738"
"Q90_Mag_Lng_Evt","1971.2","5385.2","25905.3","522.9","319.2","3135.6","6206"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","164","1","1","195","60"
"Q50_Strt_Tim_Lng_Evt","126","1","1","123","17","196","77"
"Q75_Strt_Tim_Lng_Evt","162","57","1","173","18","227","106"
"Q90_Strt_Tim_Lng_Evt","163","26","64","1","18","228","83"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","sum","win","win","sum","win"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","spr","win","sum","win"
"Q75_Strt_Sea_Lng_Evt","sum","win","win","sum","win","sum","sum"
"Q90_Strt_Sea_Lng_Evt","sum","win","spr","win","win","sum","win"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","250","156","202","266","181","140","199"
"Q50_Dur_Lng_Evt","122","88","150","93","52","116","103"
"Q75_Dur_Lng_Evt","38","21","133","18","51","36","49"
"Q90_Dur_Lng_Evt","28","7","24","4","50","13","21"
"Init_Mag","152.147","294.834","69.39","64.966","17.52","198.091","132.825"
"Init_Tim","64","-8","-55","-73","-31","-42","-24.167"
"Init_Dur","14","9","23","4","7","5","10.333"
"Wet_BFL_Mag_10","79","30.4","107.45","14","2","14.63","41.247"
"Wet_BFL_Mag_50","358.1","65.1","287.4","50.5","301.4","35.5","183"
"Wet_Tim","155","18","52","-3","11","221","75.667"
"Wet_BFL_Dur","17","41","28","191","48","10","55.833"
"Peak_Mag_Ann","2827","5385.2","25905.3","2086.3","319.2","3135.6","6609.767"
"Peak_Mag_Tim","281","27","79","107","58","230","130.333"
"Peak_Mag_95","630.55","1173.8","648.7","1304.6","319.2","353.5","738.392"
"Peak_Mag_90","553.7","1062.95","567.15","308.5","319.2","323.55","522.508"
"Peak_Mag_80","552.4","916.9","445.9","290.9","237","342.3","464.233"
"Peak_Dur_95","43","15","49","5","1","12","20.833"
"Peak_Dur_90","60","23","72","11","50","28","40.667"
"Peak_Dur_80","87","50","169","43","59","72","80"
"Peak_Fre_95","8","5","7","2","1","3","4.333"
"Peak_Fre_90","9","6","8","5","1","6","5.833"
"Peak_Fre_80","10","8","8","7","3","5","6.833"
"Peak_Tim_95","211.5","130","118","53.5","58","228","133.167"
"Peak_Tim_90","207","96.5","90.5","106","18","251.5","128.25"
"Peak_Tim_80","183","167","145.5","106","222","228","175.25"
"Rec_Mag","1971.2","2835.4","25905.3","265.5","319.2","3135.6","5738.7"
"Rec_Tim","171","58","79","187","58","230","130.5"
"Rec_Dur","169","205","209","86","177","89","155.833"
"Rec_ROC","0.099","0.185","0.185","0.259","0.071","0.208","0.168"
"Dry_Mag_90","271.92","227.7","84.34","5.73","38.94","91.07","119.95"
"Dry_Mag_50","53.85","43.1","38.7","0","0","25.1","26.792"
"Dry_Mag_10","21.73","0","3.12","0","0","0","4.142"
"Dry_Tim","340","263","288","273","235","319","286.333"
"Dry_Dur","44","156","75","104","352","48","129.833"
"Dry_NoFL_Days","0","46","6","77","295","18","73.667"
"No_Peaks_Avg","1.3","1","1.556","1","1","1","1.143"
"No_Peaks_Max","1","1","3","1","1","1","1.333"
"Frac_V_Cent_Avg","0.687","0.833","0.683","1","1","0.767","0.828"
"Frac_V_Cent_Max","1","0.667","0.5","1","1","0.333","0.75"
