"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","177.569","95.163","478.709","65.05","104.539","73.59","165.696"
"SD_Ann","320.571","356.853","2089.053","137.142","124.814","259.407","895.069"
"CV_Ann","1.805","3.75","4.364","2.108","1.194","3.525","5.402"
"Q10_Mag","5","0","10.12","0","0","0","0"
"Q25_Mag","12","7.35","53.6","5","0","0","2"
"Q50_Mag","47.4","26.15","136.8","29.2","2","0","37.2"
"Q75_Mag","218.1","68.95","228.2","75.5","234.3","67.3","152.325"
"Q90_Mag","471.92","168.25","363.56","146.32","299.62","196.35","284.61"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","74","110","92","19","27","202","87"
"Q50_Tim","157","138","121","108","99","227","141"
"Q75_Tim","170","135","114","109","104","238","144"
"Q90_Tim","187","211","142","132","42","242","159"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","2","4","2","4","3","4","3"
"Q50_Fre","6","10","7","10","4","8","7"
"Q75_Fre","7","8","9","5","5","7","6"
"Q90_Fre","9","5","7","5","3","5","5"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","342","314","360","281","244","167","284"
"Q50_Dur","204","171","311","176","174","137","195"
"Q75_Dur","131","53","171","36","130","68","98"
"Q90_Dur","62","15","73","19","51","19","39"
"Q10_Mag_Lng_Evt","2827","5385.2","25905.3","2086.3","446.2","3703.7","6725"
"Q25_Mag_Lng_Evt","2235.2","5385.2","1342.5","2086.3","446.2","3703.7","2533"
"Q50_Mag_Lng_Evt","2235.2","2835.4","25905.3","386.2","319.2","3703.7","5897"
"Q75_Mag_Lng_Evt","2235.2","2835.4","25905.3","386.2","319.2","3703.7","5897"
"Q90_Mag_Lng_Evt","2235.2","881.7","648.7","386.2","319.2","3703.7","1362"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","164","1","1","195","60"
"Q50_Strt_Tim_Lng_Evt","126","56","1","159","18","224","97"
"Q75_Strt_Tim_Lng_Evt","141","57","57","173","18","228","112"
"Q90_Strt_Tim_Lng_Evt","163","360","178","176","19","228","187"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","sum","win","win","sum","win"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","sum","win","sum","win"
"Q75_Strt_Sea_Lng_Evt","spr","win","win","sum","win","sum","win"
"Q90_Strt_Sea_Lng_Evt","sum","win","sum","sum","win","sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","250","156","202","266","225","139","206"
"Q50_Dur_Lng_Evt","123","31","149","57","100","88","91"
"Q75_Dur_Lng_Evt","80","17","52","18","59","34","43"
"Q90_Dur_Lng_Evt","29","7","39","12","45","12","24"
"Init_Mag","152.147","294.834","69.39","64.966","17.52","198.091","132.825"
"Init_Tim","64","-8","-55","-73","-31","-42","-24.167"
"Init_Dur","14","9","23","4","7","5","10.333"
"Wet_BFL_Mag_10","47.85","30.4","107.45","13.88","2","14.63","36.035"
"Wet_BFL_Mag_50","329.25","65.1","287.4","50.3","210.55","35.5","163.017"
"Wet_Tim","136","18","52","-3","11","221","72.5"
"Wet_BFL_Dur","36","41","28","187","210","10","85.333"
"Peak_Mag_Ann","2827","5385.2","25905.3","2086.3","446.2","3703.7","6725.617"
"Peak_Mag_Tim","281","27","79","107","220","230","157.333"
"Peak_Mag_95","761.55","1173.8","995.6","522.9","425.35","3703.7","1263.817"
"Peak_Mag_90","761.4","1173.8","648.7","386.2","404.5","342.3","619.483"
"Peak_Mag_80","619.45","1062.95","283.75","386.2","271.3","304.8","488.075"
"Peak_Dur_95","52","11","39","12","4","7","20.833"
"Peak_Dur_90","62","15","73","19","51","19","39.833"
"Peak_Dur_80","114","33","135","30","119","42","78.833"
"Peak_Fre_95","8","5","8","3","2","1","4.5"
"Peak_Fre_90","9","5","7","5","3","5","5.667"
"Peak_Fre_80","6","6","12","5","5","7","6.833"
"Peak_Tim_95","211.5","130","96","106","214","228","164.25"
"Peak_Tim_90","207","130","118","106","208","258","171.167"
"Peak_Tim_80","190.5","160.5","107","106","113","252","154.833"
"Rec_Mag","2235.2","2835.4","25905.3","386.2","446.2","3703.7","5918.667"
"Rec_Tim","171","58","79","183","220","230","156.833"
"Rec_Dur","169","205","209","90","18","89","130"
"Rec_ROC","0.084","0.185","0.195","0.248","0.807","0.206","0.288"
"Dry_Mag_90","271.92","227.7","84.34","5.73","55.64","91.07","122.733"
"Dry_Mag_50","53.85","43.1","38.7","0","0","25.1","26.792"
"Dry_Mag_10","21.73","0","3.12","0","0","0","4.142"
"Dry_Tim","340","263","288","273","238","319","286.833"
"Dry_Dur","44","156","75","104","349","48","129.333"
"Dry_NoFL_Days","0","46","6","77","292","18","73.167"
"No_Peaks_Avg","1.273","1","1.3","1","1","1","1.095"
"No_Peaks_Max","1","1","2","1","1","1","1.167"
"Frac_V_Cent_Avg","0.677","0.867","0.723","0.9","0.75","0.8","0.786"
"Frac_V_Cent_Max","1","0.667","0.429","1","0.5","0.6","0.699"
