"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","661.055","501.916","1614.249","1208.953","502.689","286.157","795.47"
"SD_Ann","892.197","982.078","3543.222","1630.718","428.608","887.375","1788.101"
"CV_Ann","1.35","1.957","2.195","1.349","0.853","3.101","2.248"
"Q10_Mag","50.04","47.75","147.74","24.52","48.4","8","38.01"
"Q25_Mag","71.2","91.875","226.7","109.1","189.3","24.125","106.65"
"Q50_Mag","235.2","163.8","514.8","442.1","432.1","132.85","270.6"
"Q75_Mag","995.5","440.525","2081.5","1487.3","655.3","287.175","782.575"
"Q90_Mag","1817.22","1592.7","3274.46","4383.26","898.88","547.9","1989.75"
"Q10_Tim","43","122","1","43","60","161","71"
"Q25_Tim","147","139","56","90","85","179","116"
"Q50_Tim","153","152","108","93","131","203","140"
"Q75_Tim","157","183","128","90","166","212","155"
"Q90_Tim","211","222","137","157","192","227","190"
"Q10_Fre","2","4","1","3","2","5","2"
"Q25_Fre","6","9","2","6","4","4","5"
"Q50_Fre","6","7","8","4","6","6","6"
"Q75_Fre","5","7","7","4","4","7","5"
"Q90_Fre","5","6","5","3","1","1","3"
"Q10_Dur","357","348","365","318","348","255","331"
"Q25_Dur","250","264","360","276","310","197","276"
"Q50_Dur","182","134","253","200","246","113","188"
"Q75_Dur","115","64","134","168","60","23","94"
"Q90_Dur","31","23","98","65","10","7","39"
"Q10_Mag_Lng_Evt","8770.6","4874.8","44395.2","7302.4","2241.3","11942.2","13254"
"Q25_Mag_Lng_Evt","5164.3","2071.3","44395.2","7302.4","2241.3","11942.2","12186"
"Q50_Mag_Lng_Evt","5164.3","2071.3","44395.2","7302.4","2241.3","11942.2","12186"
"Q75_Mag_Lng_Evt","5164.3","1990.3","3728.2","7302.4","2241.3","11942.2","5394"
"Q90_Mag_Lng_Evt","5164.3","4673.2","3728.2","5987.7","2241.3","11942.2","5622"
"Q10_Strt_Tim_Lng_Evt","48","109","1","1","1","183","57"
"Q25_Strt_Tim_Lng_Evt","122","150","1","76","13","184","91"
"Q50_Strt_Tim_Lng_Evt","138","160","37","84","156","220","132"
"Q75_Strt_Tim_Lng_Evt","147","168","176","85","179","226","163"
"Q90_Strt_Tim_Lng_Evt","205","358","178","163","192","227","220"
"Q10_Strt_Sea_Lng_Evt","win","spr","win","win","win","sum","win"
"Q25_Strt_Sea_Lng_Evt","spr","spr","win","spr","win","sum","spr"
"Q50_Strt_Sea_Lng_Evt","spr","sum","win","spr","sum","sum","sum"
"Q75_Strt_Sea_Lng_Evt","spr","sum","sum","spr","sum","sum","sum"
"Q90_Strt_Sea_Lng_Evt","sum","win","sum","sum","sum","sum","sum"
"Q10_Dur_Lng_Evt","318","157","365","273","278","184","262"
"Q25_Dur_Lng_Evt","130","83","294","175","229","136","174"
"Q50_Dur_Lng_Evt","109","65","107","162","76","42","93"
"Q75_Dur_Lng_Evt","81","24","71","159","48","10","65"
"Q90_Dur_Lng_Evt","17","9","60","60","10","7","27"
"Init_Mag","369.557","1609.358","454.266","301.2","104.853","148.101","497.889"
"Init_Tim","62","-10","-46","-61","-26","-113","-32.333"
"Init_Dur","14","9","21","8","10","5","11.167"
"Wet_BFL_Mag_10","187.56","68.34","272.9","911.3","222.36","134.96","299.57"
"Wet_BFL_Mag_50","1227.5","230.1","2770.2","1525.75","614.1","323.6","1115.208"
"Wet_Tim","85","-18","50","80","8","216","70.167"
"Wet_BFL_Dur","129","223","29","126","193","14","119"
"Peak_Mag_Ann","8770.6","10221.9","44395.2","7302.4","2241.3","11942.2","14145.6"
"Peak_Mag_Tim","280","56","78","105","200","229","158"
"Peak_Mag_95","4238.95","5118.45","7041.6","5987.7",NA,"11942.2","6865.78"
"Peak_Mag_90","3278","4774","7041.6","5987.7","2241.3","11942.2","5877.467"
"Peak_Mag_80","3278","4673.2","3357.55","3371.4","1200.9","6692.85","3762.317"
"Peak_Dur_95","6","6","47","53",NA,"5","23.4"
"Peak_Dur_90","31","23","98","65","10","7","39"
"Peak_Dur_80","95","52","124","137","32","11","75.167"
"Peak_Fre_95","4","4","5","3",NA,"1","3.4"
"Peak_Fre_90","5","6","5","3","1","1","3.5"
"Peak_Fre_80","5","7","6","6","3","2","4.833"
"Peak_Tim_95","246.5","92.5","200","105",NA,"229","174.6"
"Peak_Tim_90","205","160","116","105","192","227","167.5"
"Peak_Tim_80","151","170","146","134","185","256.5","173.75"
"Rec_Mag","5164.3","2071.3","44395.2","5374.3","2241.3","11942.2","11864.767"
"Rec_Tim","213","204","78","205","200","229","188.167"
"Rec_Dur","111","34","214","120","47","115","106.833"
"Rec_ROC","0.126","0.125","0.088","0.098","0.118","0.095","0.108"
"Dry_Mag_90","75.5","560.08","384.82","104.48","431.7","187.18","290.627"
"Dry_Mag_50","65.5","132","186.4","25.5","93.6","134.5","106.25"
"Dry_Mag_10","54.78","43.26","105.75","15.6","6.38","42.96","44.788"
"Dry_Tim","324","238","292","325","247","344","295"
"Dry_Dur","24","179","154","49","335","23","127.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1","1","1.714","2",NA,"1","1.343"
"No_Peaks_Max","1","1","4","2",NA,"1","1.8"
"Frac_V_Cent_Avg","0.75","0.875","0.679","0.69",NA,"0.75","0.749"
"Frac_V_Cent_Max","1","0.5","0.467","0.5",NA,"0.5","0.593"
