"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","816.109","525.203","1706.473","1282.061","654.532","299.568","880.231"
"SD_Ann","1009.435","1002.037","3662.458","1647.81","520.877","888.508","1849.291"
"CV_Ann","1.237","1.908","2.146","1.285","0.796","2.966","2.101"
"Q10_Mag","51.74","48.25","153.8","26.48","49.8","8","41.13"
"Q25_Mag","76.8","104.225","231.7","113.5","294.1","31.65","113.425"
"Q50_Mag","318","173.1","522.3","717.7","614","132.85","332.9"
"Q75_Mag","1595.8","475.875","2092.3","1569.6","795.7","310.4","957.775"
"Q90_Mag","2176.34","1620.75","3750.8","4475.22","1299.4","603.6","2146.76"
"Q10_Tim","44","122","1","44","61","159","71"
"Q25_Tim","123","143","116","77","87","179","120"
"Q50_Tim","141","160","107","99","71","197","129"
"Q75_Tim","145","191","129","118","156","241","163"
"Q90_Tim","188","238","138","156","191","227","189"
"Q10_Fre","2","4","1","3","2","6","3"
"Q25_Fre","5","8","3","4","4","4","4"
"Q50_Fre","6","6","8","4","3","9","6"
"Q75_Fre","4","6","6","5","4","2","4"
"Q90_Fre","8","5","5","4","1","1","4"
"Q10_Dur","351","348","365","319","347","260","331"
"Q25_Dur","255","269","354","276","311","196","276"
"Q50_Dur","180","126","243","206","269","97","186"
"Q75_Dur","115","56","128","168","77","12","92"
"Q90_Dur","50","18","97","63","11","7","41"
"Q10_Mag_Lng_Evt","8770.6","4985.8","45595.2","7302.4","2572.7","11942.2","13528"
"Q25_Mag_Lng_Evt","5252.9","2149.5","45595.2","7302.4","2572.7","11942.2","12469"
"Q50_Mag_Lng_Evt","5252.9","2149.5","7197.7","7302.4","2572.7","11942.2","6069"
"Q75_Mag_Lng_Evt","5252.9","1990.3","4199.5","6099.2","2572.7","11942.2","5342"
"Q90_Mag_Lng_Evt","5252.9","4673.2","4199.5","6099.2","2572.7","11942.2","5789"
"Q10_Strt_Tim_Lng_Evt","48","109","1","1","1","183","57"
"Q25_Strt_Tim_Lng_Evt","77","150","1","60","13","184","80"
"Q50_Strt_Tim_Lng_Evt","131","160","161","84","14","220","128"
"Q75_Strt_Tim_Lng_Evt","145","170","176","117","177","226","168"
"Q90_Strt_Tim_Lng_Evt","205","358","178","166","191","227","220"
"Q10_Strt_Sea_Lng_Evt","win","spr","win","win","win","sum","win"
"Q25_Strt_Sea_Lng_Evt","spr","spr","win","win","win","sum","win"
"Q50_Strt_Sea_Lng_Evt","spr","sum","sum","spr","win","sum","sum"
"Q75_Strt_Sea_Lng_Evt","spr","sum","sum","spr","sum","sum","sum"
"Q90_Strt_Sea_Lng_Evt","sum","win","sum","sum","sum","sum","sum"
"Q10_Dur_Lng_Evt","318","157","365","273","277","184","262"
"Q25_Dur_Lng_Evt","175","83","155","191","228","135","161"
"Q50_Dur_Lng_Evt","116","64","120","162","217","27","117"
"Q75_Dur_Lng_Evt","84","22","71","124","48","9","59"
"Q90_Dur_Lng_Evt","18","9","60","56","11","7","26"
"Init_Mag","369.557","1609.358","247.204","1669.167","1248.845","148.101","882.039"
"Init_Tim","62","-10","-76","2","-66","-113","-33.5"
"Init_Dur","14","9","7","8","20","5","10.5"
"Wet_BFL_Mag_10","284.92","68.78","272.9","951.32","25.63","134.96","289.752"
"Wet_BFL_Mag_50","1597.85","235.1","2770.2","1551.9","621.65","323.6","1183.383"
"Wet_Tim","72","-18","50","80","-83","216","52.833"
"Wet_BFL_Dur","142","225","29","117","284","14","135.167"
"Peak_Mag_Ann","8770.6","10221.9","45595.2","7302.4","2572.7","11942.2","14400.833"
"Peak_Mag_Tim","280","56","78","105","200","229","158"
"Peak_Mag_95","5252.9","5173.95","7197.7","6099.2",NA,"11942.2","7133.19"
"Peak_Mag_90","2943.85","4985.8","7197.7","5545.8","2572.7","11942.2","5864.675"
"Peak_Mag_80","4265.45","4673.2","4199.5","3018","1403.65","6692.85","4042.108"
"Peak_Dur_95","4","6","49","52",NA,"5","23.2"
"Peak_Dur_90","50","18","97","63","11","7","41"
"Peak_Dur_80","107","50","119","121","40","9","74.333"
"Peak_Fre_95","3","4","5","3",NA,"1","3.2"
"Peak_Fre_90","8","5","5","4","1","1","4"
"Peak_Fre_80","4","7","5","7","4","2","4.833"
"Peak_Tim_95","213","92.5","199","105",NA,"229","167.7"
"Peak_Tim_90","188.5","129","116","82.5","191","227","155.667"
"Peak_Tim_80","215","170","116","126","148","257","172"
"Rec_Mag","5252.9","2149.5","45595.2","5321.4","2572.7","11942.2","12138.983"
"Rec_Tim","213","206","78","196","200","229","187"
"Rec_Dur","111","31","214","80","47","115","99.667"
"Rec_ROC","0.114","0.156","0.084","0.063","0.106","0.095","0.103"
"Dry_Mag_90","75.5","578.48","460.93","19.54","609.86","187.18","321.915"
"Dry_Mag_50","65.5","141","202.65","15.9","96.7","134.5","109.375"
"Dry_Mag_10","54.78","44.17","109.89","13.62","6.38","42.96","45.3"
"Dry_Tim","324","237","292","276","247","344","286.667"
"Dry_Dur","24","180","154","7","335","23","120.5"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1","1","2","2",NA,"1","1.4"
"No_Peaks_Max","1","1","4","2",NA,"1","1.8"
"Frac_V_Cent_Avg","0.833","0.875","0.611","0.688",NA,"0.75","0.751"
"Frac_V_Cent_Max","1","0.5","0.467","0.5",NA,"0.5","0.593"
