"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","117.763","13.992","104.308","75.413","56.103","42.229","68.265"
"SD_Ann","290.345","30.851","298.468","107.751","99.188","223.172","205.151"
"CV_Ann","2.466","2.205","2.861","1.429","1.768","5.285","3.005"
"Q10_Mag","2.68","0","0","0","0","0","0"
"Q25_Mag","6","0","0.2","4.9","0","0","0"
"Q50_Mag","24.1","0.6","11.7","26.7","0","0","5.25"
"Q75_Mag","81.1","11.975","68.5","102.9","72.9","0.1","50.4"
"Q90_Mag","291.44","43.9","221.78","241.88","202.12","60","178.69"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","133","97","190","125","209","234","164"
"Q75_Tim","180","158","158","178","232","235","190"
"Q90_Tim","178","221","155","199","304","221","212"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","7","6","8","6","4","6","6"
"Q75_Fre","5","7","10","12","6","4","7"
"Q90_Fre","6","1","8","6","2","3","4"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","287","127","218","286","144","71","188"
"Q75_Dur","129","37","112","142","114","48","97"
"Q90_Dur","47","1","59","70","41","13","38"
"Q10_Mag_Lng_Evt","2226.8","211.5","2410.6","658.9","370.1","2338.9","1369"
"Q25_Mag_Lng_Evt","2226.8","211.5","2410.6","658.9","370.1","2338.9","1369"
"Q50_Mag_Lng_Evt","2226.8","211.5","431.3","448.9","370.1","2338.9","1004"
"Q75_Mag_Lng_Evt","2031.8","95.9","431.3","448.9","370.1","2338.9","952"
"Q90_Mag_Lng_Evt","1014.4","211.5","2410.6","448.9","370.1","2338.9","1132"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","159","190","196","130","307","230","202"
"Q75_Strt_Tim_Lng_Evt","160","191","196","176","311","230","210"
"Q90_Strt_Tim_Lng_Evt","97","221","70","179","319","230","186"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","sum","sum","sum","spr","aut","sum","sum"
"Q75_Strt_Sea_Lng_Evt","sum","sum","sum","sum","aut","sum","sum"
"Q90_Strt_Sea_Lng_Evt","spr","sum","spr","sum","aut","sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","207","42","62","140","59","47","92"
"Q75_Dur_Lng_Evt","73","11","26","56","55","34","42"
"Q90_Dur_Lng_Evt","19","1","19","41","38","10","21"
"Init_Mag","929.424","86.993","619.376","25.032","243.541","360.126","377.415"
"Init_Tim","101","-6","71","-53","-61","-22","5"
"Init_Dur","13","13","13","9","12","12","12"
"Wet_BFL_Mag_10","0.93","0","0","3.45","0","0","0.73"
"Wet_BFL_Mag_50","67.85","7.3","465.2","70.75","0.9","0","102"
"Wet_Tim","91","-25","63","83","-72","-62","13"
"Wet_BFL_Dur","194","247","19","134","284","296","195.667"
"Peak_Mag_Ann","2226.8","211.5","2410.6","658.9","370.1","2338.9","1369.467"
"Peak_Mag_Tim","284","221","81","109","346","233","212.333"
"Peak_Mag_95","1039",NA,"431.3","413.6","370.1","1518.3","754.46"
"Peak_Mag_90","1026.7","211.5","257.25","260.45","277.7","697.7","455.217"
"Peak_Mag_80","748.3","139.2","262.7","233.2","173.85","192.75","291.667"
"Peak_Dur_95","35",NA,"28","19","24","9","23"
"Peak_Dur_90","47","1","59","70","41","13","38.5"
"Peak_Dur_80","109","23","93","113","93","29","76.667"
"Peak_Fre_95","5",NA,"3","5","1","2","3.2"
"Peak_Fre_90","6","1","8","6","2","3","4.333"
"Peak_Fre_80","6","7","7","8","4","6","6.333"
"Peak_Tim_95","215",NA,"121","193","330","221.5","216.1"
"Peak_Tim_90","199","221","184.5","169","216","212","200.25"
"Peak_Tim_80","222","192","172","150","178","238.5","192.083"
"Rec_Mag","2226.8","211.5","2410.6","448.9","162.4","2338.9","1299.85"
"Rec_Tim","284","221","81","216","211","233","207.667"
"Rec_Dur","56","33","199","62","17","52","69.833"
"Rec_ROC","0.07","0.256","0.217","0.165","0.5","0.184","0.232"
"Dry_Mag_90","18.2","0","33.82","0","0","32.13","14.025"
"Dry_Mag_50","18.2","0","11.7","0","0","0","4.983"
"Dry_Mag_10","18.2","0","1.28","0","0","0","3.247"
"Dry_Tim","340","254","280","278","228","285","277.5"
"Dry_Dur","1","176","169","16","76","82","86.667"
"Dry_NoFL_Days","0","166","6","16","76","66","55"
"No_Peaks_Avg","1",NA,"1.75","1","2","1","1.35"
"No_Peaks_Max","1",NA,"4","1","2","1","1.8"
"Frac_V_Cent_Avg","0.608",NA,"0.783","0.767","0.542","0.75","0.69"
"Frac_V_Cent_Max","0.5",NA,"0.632","0.667","0.542","0.5","0.568"
