"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","117.763","24.659","104.308","127.034","71.773","42.257","81.255"
"SD_Ann","290.345","56.883","298.468","198.98","138.131","223.169","221.026"
"CV_Ann","2.466","2.307","2.861","1.566","1.925","5.281","2.72"
"Q10_Mag","2.68","0","0","0","0","0","0"
"Q25_Mag","6","0","0.2","7.5","0","0","0"
"Q50_Mag","24.1","2.35","11.7","47","0","0","7"
"Q75_Mag","81.1","27.025","68.5","177.9","78.2","0.1","65.85"
"Q90_Mag","291.44","73.1","221.78","321.76","288.7","60","202.35"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","175","140","186","89","210","234","172"
"Q75_Tim","187","165","156","165","243","238","192"
"Q90_Tim","173","166","154","195","318","221","204"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","7","7","9","3","4","6","6"
"Q75_Fre","6","7","9","8","6","5","6"
"Q90_Fre","6","3","8","8","1","3","4"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","271","142","207","285","143","70","186"
"Q75_Dur","117","49","101","169","102","36","95"
"Q90_Dur","40","4","48","86","40","13","38"
"Q10_Mag_Lng_Evt","2226.8","754.1","2410.6","1687.4","528.6","2338.9","1657"
"Q25_Mag_Lng_Evt","2226.8","754.1","2410.6","1687.4","528.6","2338.9","1657"
"Q50_Mag_Lng_Evt","2226.8","224.7","431.3","1687.4","528.6","2338.9","1239"
"Q75_Mag_Lng_Evt","2031.8","224.7","431.3","448.9","528.6","2338.9","1000"
"Q90_Mag_Lng_Evt","1014.4","754.1","2410.6","787.7","528.6","2338.9","1305"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","247","177","196","62","307","230","203"
"Q75_Strt_Tim_Lng_Evt","176","177","196","178","311","230","211"
"Q90_Strt_Tim_Lng_Evt","97","133","70","300","318","230","191"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","aut","sum","sum","win","aut","sum","sum"
"Q75_Strt_Sea_Lng_Evt","sum","sum","sum","sum","aut","sum","sum"
"Q90_Strt_Sea_Lng_Evt","spr","spr","spr","aut","aut","sum","spr"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","119","55","61","205","59","46","90"
"Q75_Dur_Lng_Evt","56","23","26","54","55","21","39"
"Q90_Dur_Lng_Evt","19","2","19","21","40","10","18"
"Init_Mag","929.424","86.993","75.044","25.032","695.785","513.161","387.573"
"Init_Tim","101","-6","-45","-53","-61","-22","-14.333"
"Init_Dur","13","13","26","9","13","11","14.167"
"Wet_BFL_Mag_10","0.93","0","0","10.28","0","0","1.868"
"Wet_BFL_Mag_50","67.85","5.8","465.2","117.9","0.9","0","109.608"
"Wet_Tim","91","-16","63","57","-72","-63","10"
"Wet_BFL_Dur","194","200","19","160","284","297","192.333"
"Peak_Mag_Ann","2226.8","754.1","2410.6","1687.4","528.6","2338.9","1657.733"
"Peak_Mag_Tim","284","133","81","65","346","233","190.333"
"Peak_Mag_95","1039","754.1","1420.95","723.3","528.6","1518.3","997.375"
"Peak_Mag_90","1026.7","224.7","257.25","386.45","528.6","697.7","520.233"
"Peak_Mag_80","1014.4","182.85","262.7","276.9","162.4","192.75","348.667"
"Peak_Dur_95","28","1","19","27","28","8","18.5"
"Peak_Dur_90","40","4","48","86","40","13","38.5"
"Peak_Dur_80","89","34","90","143","92","24","78.667"
"Peak_Fre_95","5","1","2","4","1","2","2.5"
"Peak_Fre_90","6","3","8","8","1","3","4.833"
"Peak_Fre_80","7","6","7","10","5","6","6.833"
"Peak_Tim_95","216","133","136.5","162.5","327","222","199.5"
"Peak_Tim_90","212.5","179","199.5","169","318","212","215"
"Peak_Tim_80","198","188","172","141.5","194","239","188.75"
"Rec_Mag","2226.8","166.5","2410.6","448.9","162.4","2338.9","1292.35"
"Rec_Tim","284","183","81","216","211","233","201.333"
"Rec_Dur","56","69","199","61","16","52","75.5"
"Rec_ROC","0.07","0.138","0.217","0.165","0.5","0.184","0.212"
"Dry_Mag_90","18.21","41.99","33.88","0","0","32.13","21.035"
"Dry_Mag_50","16","0","11","0","0","0","4.5"
"Dry_Mag_10","15.8","0","1.72","0","0","0","2.92"
"Dry_Tim","340","252","280","277","227","285","276.833"
"Dry_Dur","10","178","143","17","76","82","84.333"
"Dry_NoFL_Days","0","137","1","17","76","66","49.5"
"No_Peaks_Avg","1","1","1.667","1.5","2","1","1.361"
"No_Peaks_Max","1","1","2","1","2","1","1.333"
"Frac_V_Cent_Avg","0.686","1","0.626","0.66","0.536","0.714","0.704"
"Frac_V_Cent_Max","0.5","1","0.545","0.5","0.536","0.429","0.585"
