"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","264.534","154.061","506.191","532.542","151.569","90.541","283.093"
"SD_Ann","448.78","374.702","748.535","763.529","206.68","300.932","547.305"
"CV_Ann","1.696","2.432","1.479","1.434","1.364","3.324","1.933"
"Q10_Mag","11.7","0","16","0","0","0","0"
"Q25_Mag","12.6","3.65","29","10.5","2.8","0","6.7"
"Q50_Mag","23.5","16.5","112.3","91","47.6","8.2","31.1"
"Q75_Mag","376.4","57.9","867.4","730.1","263.5","48.1","301.425"
"Q90_Mag","864.64","541.55","1563.7","2013.94","468.74","268","963.93"
"Q10_Tim","1","1","1","55","1","1","9"
"Q25_Tim","85","152","1","87","169","188","113"
"Q50_Tim","163","156","149","100","178","231","162"
"Q75_Tim","155","183","133","104","217","202","165"
"Q90_Tim","213","176","134","144",NA,"229","179"
"Q10_Fre","1","1","1","2","1","1","1"
"Q25_Fre","2","9","1","4","5","4","4"
"Q50_Fre","6","10","10","5","5","10","7"
"Q75_Fre","6","5","4","3","4","5","4"
"Q90_Fre","4","4","4","3",NA,"1","3"
"Q10_Dur","365","366","365","319","365","366","357"
"Q25_Dur","351","245","365","295","229","200","280"
"Q50_Dur","160","141","266","231","207","119","187"
"Q75_Dur","100","60","125","176","82","32","95"
"Q90_Dur","29","26","90","81",NA,"6","46"
"Q10_Mag_Lng_Evt","3456.2","3435.9","3588.8","3644.8","774.8","3367","3044"
"Q25_Mag_Lng_Evt","2676.3","1272.9","3588.8","3644.8","774.8","3367","2554"
"Q50_Mag_Lng_Evt","2676.3","3435.9","3588.8","3644.8","774.8","461.8","2430"
"Q75_Mag_Lng_Evt","2676.3","1138.2","1856.4","3644.8","774.8","3367","2242"
"Q90_Mag_Lng_Evt","2676.3","1272.9","1856.4","2536.6",NA,"3367","2341"
"Q10_Strt_Tim_Lng_Evt","1","1","1","67","1","1","12"
"Q25_Strt_Tim_Lng_Evt","1","166","1","81","149","188","97"
"Q50_Strt_Tim_Lng_Evt","145","19","57","88","154","116","96"
"Q75_Strt_Tim_Lng_Evt","153","169","184","88","179","222","165"
"Q90_Strt_Tim_Lng_Evt","206","203","193","168",NA,"229","199"
"Q10_Strt_Sea_Lng_Evt","win","win","win","spr","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","sum","win","spr","spr","sum","spr"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","spr","sum","spr","spr"
"Q75_Strt_Sea_Lng_Evt","spr","sum","sum","spr","sum","sum","sum"
"Q90_Strt_Sea_Lng_Evt","sum","sum","sum","sum",NA,"sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","259","365","366","347"
"Q25_Dur_Lng_Evt","229","80","365","202","87","137","183"
"Q50_Dur_Lng_Evt","85","41","91","167","75","25","80"
"Q75_Dur_Lng_Evt","76","18","67","155","32","14","60"
"Q90_Dur_Lng_Evt","18","13","47","58",NA,"6","28"
"Init_Mag","99.632","44.442","46.873","157.268","1.632","411.531","126.896"
"Init_Tim","62","-54","-75","-26","31","-34","-16"
"Init_Dur","6","9","10","10","9","36","13.333"
"Wet_BFL_Mag_10","247.12","0","30.86","244.28","13.3","0","89.26"
"Wet_BFL_Mag_50","734","12.2","555.2","730.1","138.8","3.1","362.233"
"Wet_Tim","140","44","51","83","81","-60","56.5"
"Wet_BFL_Dur","75","161","187","119","121","291","159"
"Peak_Mag_Ann","3456.2","3435.9","3588.8","3644.8","774.8","3367","3044.583"
"Peak_Mag_Tim","281","57","67","106","201","230","157"
"Peak_Mag_95","2676.3","2801.95","1876.6","2536.6",NA,"3367","2651.69"
"Peak_Mag_90","1996.65","1720.45","2346.7","2536.6",NA,"3367","2393.48"
"Peak_Mag_80","466.5","1720.45","1841.35","823","530.8","748.6","1021.783"
"Peak_Dur_95","9","4","47","54",NA,"3","23.4"
"Peak_Dur_90","29","26","90","81",NA,"6","46.4"
"Peak_Dur_80","88","40","118","136","50","17","74.833"
"Peak_Fre_95","3","2","6","3",NA,"1","3"
"Peak_Fre_90","4","4","4","3",NA,"1","3.2"
"Peak_Fre_80","5","4","4","8","4","5","5"
"Peak_Tim_95","213","93.5","147.5","105",NA,"229","157.6"
"Peak_Tim_90","196.5","152.5","129.5","94",NA,"229","160.3"
"Peak_Tim_80","154","149.5","153","142.5","255","228","180.333"
"Rec_Mag","2676.3","1177.1","1230","2536.6","774.8","3367","1960.3"
"Rec_Tim","214","204","237","201","201","230","214.5"
"Rec_Dur","86","43","59","128","39","130","80.833"
"Rec_ROC","0.075","0.092","0.164","0.109","0.167","0.135","0.124"
"Dry_Mag_90","48","75","202.28","12.68","78.3","0","69.377"
"Dry_Mag_50","20.4","18.7","33.9","0","4.3","0","12.883"
"Dry_Mag_10","14.39","0","0.4","0","0.95","0","2.623"
"Dry_Tim","300","247","296","329","240","360","295.333"
"Dry_Dur","110","171","153","118","66","7","104.167"
"Dry_NoFL_Days","0","22","8","74","0","7","18.5"
"No_Peaks_Avg","1","1","1.875","3",NA,"1","1.575"
"No_Peaks_Max","1","1","1","2",NA,"1","1.2"
"Frac_V_Cent_Avg","0.917","0.5","0.621","0.695",NA,"0.667","0.68"
"Frac_V_Cent_Max","1","0.5","0.5","0.6",NA,"0.667","0.653"
