"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","70.061","49.995","130.567","48.862","58.072","35.913","65.558"
"SD_Ann","66.021","84.906","119.446","70.862","92.583","71.22","91.374"
"CV_Ann","0.942","1.698","0.915","1.45","1.594","1.983","1.394"
"Q10_Mag","6.9","0","13.02","0","0","0","0"
"Q25_Mag","13.9","0","28.1","2","0","0","0.9"
"Q50_Mag","50.3","12.45","103.3","26.6","1.7","0.4","23.55"
"Q75_Mag","118.8","55.95","211.2","69.3","91","37","101.825"
"Q90_Mag","142.66","142.45","281.58","128.06","222.26","122.95","215.28"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","77","1","56","70","199","67"
"Q50_Tim","152","90","121","66","84","231","124"
"Q75_Tim","163","104","84","106","52","257","127"
"Q90_Tim","278","104","102","61","36","249","138"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","3","1","4","3","3","2"
"Q50_Fre","6","8","13","6","6","5","7"
"Q75_Fre","8","8","8","9","6","6","7"
"Q90_Fre","5","4","9","3","3","4","4"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","249","365","297","213","166","275"
"Q50_Dur","232","159","292","216","120","122","190"
"Q75_Dur","128","61","191","60","90","53","97"
"Q90_Dur","22","23","110","14","65","21","42"
"Q10_Mag_Lng_Evt","315.9","427.4","596.3","618.5","316.3","381.4","442"
"Q25_Mag_Lng_Evt","315.9","427.4","596.3","618.5","316.3","381.4","442"
"Q50_Mag_Lng_Evt","257.8","427.4","596.3","618.5","316.3","381.4","432"
"Q75_Mag_Lng_Evt","161.2","399.1","596.3","183.3","316.3","240.9","316"
"Q90_Mag_Lng_Evt","315.9","399.1","596.3","618.5","276.8","332.7","423"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","212","36"
"Q50_Strt_Tim_Lng_Evt","129","1","1","86","19","230","77"
"Q75_Strt_Tim_Lng_Evt","131","22","1","124","19","248","90"
"Q90_Strt_Tim_Lng_Evt","282","28","59","108","21","230","121"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","sum","win"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","spr","win","sum","win"
"Q75_Strt_Sea_Lng_Evt","spr","win","win","spr","win","aut","win"
"Q90_Strt_Sea_Lng_Evt","aut","win","win","spr","win","sum","win"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","157","365","243","122","155","234"
"Q50_Dur_Lng_Evt","115","92","152","118","70","93","106"
"Q75_Dur_Lng_Evt","70","17","108","15","70","18","49"
"Q90_Dur_Lng_Evt","8","8","47","6","52","13","22"
"Init_Mag","149.126","234.963","341.514","76.645","19.609","30.707","142.094"
"Init_Tim","66","-5","1","-54","-48","3","-6.167"
"Init_Dur","12","12","16","13","21","12","14.333"
"Wet_BFL_Mag_10","6.64","7.1","16.56","19.06","0.43","25.4","12.532"
"Wet_BFL_Mag_50","93.2","55","139.5","50.6","213.7","107.3","109.883"
"Wet_Tim","52","-14","-14","-2","13","224","43.167"
"Wet_BFL_Dur","237","147","295","219","134","71","183.833"
"Peak_Mag_Ann","315.9","427.4","596.3","618.5","316.3","381.4","442.633"
"Peak_Mag_Tim","282","62","82","108","87","294","152.5"
"Peak_Mag_95","257.8","411.65","380.1","392.6","296.55","316.35","342.508"
"Peak_Mag_90","257.8","411.65","380.1","392.6","276.8","313.35","338.717"
"Peak_Mag_80","205.85","299.55","382.55","192.8","214.15","294","264.817"
"Peak_Dur_95","14","21","65","9","7","13","21.5"
"Peak_Dur_90","22","23","110","14","65","21","42.5"
"Peak_Dur_80","87","49","168","46","84","43","79.5"
"Peak_Fre_95","5","4","11","3","2","4","4.833"
"Peak_Fre_90","5","4","9","3","3","4","4.667"
"Peak_Fre_80","10","8","8","8","4","5","7.167"
"Peak_Tim_95","217","96.5","123","66","70","261.5","139"
"Peak_Tim_90","217","96.5","118","66","79","266.5","140.5"
"Peak_Tim_80","177","96.5","170.5","144","172","248","168"
"Rec_Mag","276.4","424.2","222","144.7","233","381.4","280.283"
"Rec_Tim","288","132","280","216","146","294","226"
"Rec_Dur","43","109","19","57","96","57","63.5"
"Rec_ROC","0.077","0.333","0.198","0.404","0.308","0.101","0.237"
"Dry_Mag_90","22","0","62.94","11.95","0.4","96.7","32.332"
"Dry_Mag_50","14.5","0","28.5","0.35","0","12.55","9.317"
"Dry_Mag_10","12.6","0","7.9","0","0","9.9","5.067"
"Dry_Tim","331","241","299","273","242","351","289.5"
"Dry_Dur","21","112","65","106","348","16","111.333"
"Dry_NoFL_Days","0","103","0","50","299","0","75.333"
"No_Peaks_Avg","1","1","1.133","1","1","1","1.022"
"No_Peaks_Max","1","1","1","1","1","1","1"
"Frac_V_Cent_Avg","0.861","0.609","0.701","0.875","0.833","0.708","0.764"
"Frac_V_Cent_Max","1","0.5","0.5","0.5","1","0.667","0.695"
