"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","109.488","51.837","146.069","54.337","82.866","38.437","80.474"
"SD_Ann","101.449","86.878","119.419","78.128","102.254","76.884","102.354"
"CV_Ann","0.927","1.676","0.818","1.438","1.234","2","1.272"
"Q10_Mag","6.9","0","14.42","0","0","0","0"
"Q25_Mag","13.9","0","35.2","2","0","0","0.9"
"Q50_Mag","72.9","13.35","123.1","27","4","0.4","29.4"
"Q75_Mag","209.2","56","223.3","72.6","213.5","37","135.75"
"Q90_Mag","258.96","158.1","291.98","152.2","223.9","127.8","236.78"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","77","1","56","70","199","67"
"Q50_Tim","125","89","117","80","80","233","120"
"Q75_Tim","146","122","104","117","52","249","131"
"Q90_Tim","177","116","125","118","75","249","143"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","3","1","4","3","3","2"
"Q50_Fre","5","7","10","8","5","6","6"
"Q75_Fre","6","8","8","8","3","5","6"
"Q90_Fre","9","5","11","5","6","5","6"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","249","365","297","213","166","275"
"Q50_Dur","226","151","297","196","163","110","190"
"Q75_Dur","141","49","183","48","122","36","96"
"Q90_Dur","76","24","90","13","26","22","41"
"Q10_Mag_Lng_Evt","315.9","427.4","596.3","618.5","316.3","381.4","442"
"Q25_Mag_Lng_Evt","315.9","427.4","596.3","618.5","316.3","381.4","442"
"Q50_Mag_Lng_Evt","303.2","427.4","596.3","618.5","316.3","381.4","440"
"Q75_Mag_Lng_Evt","303.2","427.4","434","305","316.3","332.7","353"
"Q90_Mag_Lng_Evt","303.2","399.1","596.3","618.5","316.3","332.7","427"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","212","36"
"Q50_Strt_Tim_Lng_Evt","80","1","1","103","19","230","72"
"Q75_Strt_Tim_Lng_Evt","130","61","180","190","20","230","135"
"Q90_Strt_Tim_Lng_Evt","160","28","59","108","81","230","111"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","sum","win"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","spr","win","sum","win"
"Q75_Strt_Sea_Lng_Evt","spr","win","sum","sum","win","sum","sum"
"Q90_Strt_Sea_Lng_Evt","sum","win","win","spr","spr","sum","spr"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","157","365","243","122","155","234"
"Q50_Dur_Lng_Evt","164","88","151","101","93","86","113"
"Q75_Dur_Lng_Evt","96","15","60","12","90","14","47"
"Q90_Dur_Lng_Evt","27","8","27","6","10","13","15"
"Init_Mag","149.126","234.963","341.514","76.645","19.609","30.707","142.094"
"Init_Tim","66","-5","1","-54","-48","3","-6.167"
"Init_Dur","12","12","16","13","21","12","14.333"
"Wet_BFL_Mag_10","6.64","6.1","22.5","23.1","0.51","25.4","14.042"
"Wet_BFL_Mag_50","177.3","44.3","179.3","56.3","220.05","118.8","132.675"
"Wet_Tim","52","-14","-14","-2","13","224","43.167"
"Wet_BFL_Dur","237","239","295","201","142","71","197.5"
"Peak_Mag_Ann","315.9","427.4","596.3","618.5","316.3","381.4","442.633"
"Peak_Mag_Tim","282","62","82","108","87","294","152.5"
"Peak_Mag_95","285.2","411.65","380.1","357.35","296.55","329.25","343.35"
"Peak_Mag_90","282.2","399.1","380.1","322.1","258.5","325.8","327.967"
"Peak_Mag_80","268.4","398.2","331.5","313.55","268","329.25","318.15"
"Peak_Dur_95","20","17","60","11","4","16","21.333"
"Peak_Dur_90","76","24","90","13","26","22","41.833"
"Peak_Dur_80","131","30","147","27","114","32","80.167"
"Peak_Fre_95","7","4","13","4","2","4","5.667"
"Peak_Fre_90","9","5","11","5","6","5","6.833"
"Peak_Fre_80","7","6","9","6","3","4","5.833"
"Peak_Tim_95","209","96.5","124","87","72.5","270","143.167"
"Peak_Tim_90","193","132","123","108","69","254","146.5"
"Peak_Tim_80","130","164","118","136","138","266.5","158.75"
"Rec_Mag","276.4","264.1","222","305","227.1","381.4","279.333"
"Rec_Tim","288","224","280","198","154","294","239.667"
"Rec_Dur","43","18","19","75","88","57","50"
"Rec_ROC","0.077","0.45","0.198","0.404","0.301","0.101","0.255"
"Dry_Mag_90","22","0","62.94","11.95","0.4","96.7","32.332"
"Dry_Mag_50","14.5","0","28.5","0.35","0","12.55","9.317"
"Dry_Mag_10","12.6","0","7.9","0","0","9.9","5.067"
"Dry_Tim","331","242","299","273","242","351","289.667"
"Dry_Dur","21","111","65","106","348","16","111.167"
"Dry_NoFL_Days","0","102","0","50","299","0","75.167"
"No_Peaks_Avg","1","1","1","1","1","1","1"
"No_Peaks_Max","1","1","1","1","1","1","1"
"Frac_V_Cent_Avg","0.833","0.64","0.78","0.933","0.833","0.64","0.776"
"Frac_V_Cent_Max","1","0.6","0.5","0.667","0.667","0.5","0.656"
