"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","650.654","473.283","1576.945","1091.064","419.818","264.876","745.763"
"SD_Ann","856.206","951.638","3715.565","1476.322","427.094","649.898","1798.378"
"CV_Ann","1.316","2.011","2.356","1.353","1.017","2.454","2.411"
"Q10_Mag","33.82","30.35","149.46","45.6","14.68","5.1","21.31"
"Q25_Mag","69","62.05","199.2","110","64.1","12.375","70.1"
"Q50_Mag","210.2","155.65","438.8","466","372.4","91.8","237.8"
"Q75_Mag","1125.2","418.65","2108.1","1234.8","609.2","266.725","722.3"
"Q90_Mag","1801.84","1381.5","3186.52","3819.74","756.82","585.95","1925.17"
"Q10_Tim","43","127","1","1","126","163","76"
"Q25_Tim","155","128","1","42","124","185","105"
"Q50_Tim","155","140","114","98","132","207","141"
"Q75_Tim","154","177","128","94","159","202","152"
"Q90_Tim","210","220","136","156","192","235","191"
"Q10_Fre","2","4","1","1","6","5","3"
"Q25_Fre","4","9","1","4","4","4","4"
"Q50_Fre","7","8","8","5","6","8","7"
"Q75_Fre","5","7","8","3","5","7","5"
"Q90_Fre","6","7","5","4","1","2","4"
"Q10_Dur","360","346","365","365","319","237","332"
"Q25_Dur","278","253","365","301","270","203","278"
"Q50_Dur","182","145","245","210","231","111","187"
"Q75_Dur","122","65","136","169","46","29","94"
"Q90_Dur","33","19","102","61","10","8","38"
"Q10_Mag_Lng_Evt","6634.7","11526.7","45490.6","9453.8","955.9","8188","13708"
"Q25_Mag_Lng_Evt","4508.9","11526.7","45490.6","9453.8","955.9","8188","13353"
"Q50_Mag_Lng_Evt","4508.9","3156.2","3665.2","9453.8","2312.4","8188","5214"
"Q75_Mag_Lng_Evt","4508.9","3156.2","3665.2","9453.8","2312.4","1207.7","4050"
"Q90_Mag_Lng_Evt","2358.6","3430.7","3665.2","5271.9","2312.4","8188","4204"
"Q10_Strt_Tim_Lng_Evt","48","1","1","1","1","185","39"
"Q25_Strt_Tim_Lng_Evt","126","1","1","1","14","185","54"
"Q50_Strt_Tim_Lng_Evt","139","161","163","85","157","221","154"
"Q75_Strt_Tim_Lng_Evt","146","169","177","87","184","128","148"
"Q90_Strt_Tim_Lng_Evt","179","359","179","168","192","227","217"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","sum","win"
"Q25_Strt_Sea_Lng_Evt","spr","win","win","win","win","sum","win"
"Q50_Strt_Sea_Lng_Evt","spr","sum","sum","spr","sum","sum","sum"
"Q75_Strt_Sea_Lng_Evt","spr","sum","sum","spr","sum","spr","spr"
"Q90_Strt_Sea_Lng_Evt","sum","win","sum","sum","sum","sum","sum"
"Q10_Dur_Lng_Evt","318","147","365","365","134","182","251"
"Q25_Dur_Lng_Evt","123","88","365","259","121","161","186"
"Q50_Dur_Lng_Evt","108","65","91","164","72","41","90"
"Q75_Dur_Lng_Evt","83","24","70","158","28","11","62"
"Q90_Dur_Lng_Evt","10","8","59","53","10","7","24"
"Init_Mag","355.236","1609.721","421.336","1620.368","84.444","36.7","687.968"
"Init_Tim","63","-9","-45","2","-94","-102","-30.833"
"Init_Dur","9","9","20","7","7","10","10.333"
"Wet_BFL_Mag_10","111.02","45.35","233.88","733.7","40.8","0","194.125"
"Wet_BFL_Mag_50","1200.55","250.75","2567.2","1326.15","378.5","132.3","975.908"
"Wet_Tim","85","-18","51","81","-77","108","38.333"
"Wet_BFL_Dur","130","226","28","126","276","123","151.5"
"Peak_Mag_Ann","6634.7","11526.7","45490.6","9453.8","2312.4","8188","13934.367"
"Peak_Mag_Tim","280","57","78","106","198","230","158.167"
"Peak_Mag_95","4118.25","5137.2","4399.6","5271.9",NA,"8188","5422.99"
"Peak_Mag_90","3669","3430.7","4399.6","4511.65","2312.4","5082.1","3900.908"
"Peak_Mag_80","2563.05","3430.7","3665.2","2653.3","1634.15","1387.3","2555.617"
"Peak_Dur_95","6","11","49","52",NA,"3","24.2"
"Peak_Dur_90","33","19","102","61","10","8","38.833"
"Peak_Dur_80","103","51","122","124","26","22","74.667"
"Peak_Fre_95","4","5","5","3",NA,"1","3.6"
"Peak_Fre_90","6","7","5","4","1","2","4.167"
"Peak_Fre_80","6","7","5","6","2","5","5.167"
"Peak_Tim_95","246.5","130","201","105",NA,"229","182.3"
"Peak_Tim_90","209","191","117","100.5","192","257.5","177.833"
"Peak_Tim_80","209","171","117","141.5","148.5","227","169"
"Rec_Mag","4508.9","1939.6","45490.6","4891.8","2312.4","8188","11221.883"
"Rec_Tim","214","207","78","206","198","230","188.833"
"Rec_Dur","125","35","209","58","50","115","98.667"
"Rec_ROC","0.115","0.227","0.105","0.074","0.214","0.125","0.143"
"Dry_Mag_90","59.7","549.35","317.74","85.02","416","220.31","274.687"
"Dry_Mag_50","52.1","95.2","188.95","52.4","16.8","111.95","86.233"
"Dry_Mag_10","40.88","19.9","134.13","30.92","5.1","63.68","49.102"
"Dry_Tim","339","242","287","264","248","345","287.5"
"Dry_Dur","9","176","160","25","226","22","103"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1","1","1.375","2.75",NA,"1","1.425"
"No_Peaks_Max","1","1","3","2",NA,"1","1.6"
"Frac_V_Cent_Avg","0.875","0.8","0.659","0.628",NA,"0.667","0.726"
"Frac_V_Cent_Max","0.5","0.5","0.353","0.5",NA,"0.667","0.504"
