"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","805.046","496.321","1669.127","1164.017","567.506","276.756","829.391"
"SD_Ann","980.638","969.861","3817.026","1497.15","514.325","650.451","1854.993"
"CV_Ann","1.218","1.954","2.287","1.286","0.906","2.35","2.237"
"Q10_Mag","38","30.85","154.08","52.28","20.14","5.8","27.91"
"Q25_Mag","74.5","64.85","205.1","132.4","125.1","18.35","85.075"
"Q50_Mag","275.6","178.55","467.3","637.6","573.6","96.2","279.5"
"Q75_Mag","1657.3","451.325","2145.3","1380.6","674.6","272.65","854.05"
"Q90_Mag","2161.18","1447.1","3666.34","3949.58","1158.08","585.95","2138.92"
"Q10_Tim","43","125","1","1","73","159","67"
"Q25_Tim","155","127","92","36","81","181","112"
"Q50_Tim","149","149","113","100","116","201","138"
"Q75_Tim","150","181","129","133","154","196","157"
"Q90_Tim","184","238","139","154","192","228","189"
"Q10_Fre","2","5","1","1","4","6","3"
"Q25_Fre","6","7","2","4","2","4","4"
"Q50_Fre","7","6","7","4","5","8","6"
"Q75_Fre","6","6","5","6","4","6","5"
"Q90_Fre","9","6","5","4","1","1","4"
"Q10_Dur","353","338","365","365","323","251","332"
"Q25_Dur","264","248","361","291","287","207","276"
"Q50_Dur","181","133","237","210","250","102","185"
"Q75_Dur","121","59","129","162","61","26","93"
"Q90_Dur","50","15","99","60","10","4","39"
"Q10_Mag_Lng_Evt","6634.7","11526.7","45690.6","9453.8","2656.5","8188","14025"
"Q25_Mag_Lng_Evt","4597.5","11526.7","4555.7","9453.8","2656.5","8188","6829"
"Q50_Mag_Lng_Evt","4597.5","3156.2","4136.5","9453.8","1388.8","8188","5153"
"Q75_Mag_Lng_Evt","4597.5","3156.2","4136.5","5418.8","2656.5","1207.7","3528"
"Q90_Mag_Lng_Evt","2903.2","3430.7","4136.5","5418.8","2656.5","8188","4455"
"Q10_Strt_Tim_Lng_Evt","48","1","1","1","1","185","39"
"Q25_Strt_Tim_Lng_Evt","124","1","162","1","14","185","81"
"Q50_Strt_Tim_Lng_Evt","139","161","164","85","15","221","130"
"Q75_Strt_Tim_Lng_Evt","145","170","177","123","181","128","154"
"Q90_Strt_Tim_Lng_Evt","179","359","179","169","192","228","217"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","sum","win"
"Q25_Strt_Sea_Lng_Evt","spr","win","sum","win","win","sum","win"
"Q50_Strt_Sea_Lng_Evt","spr","sum","sum","spr","win","sum","sum"
"Q75_Strt_Sea_Lng_Evt","spr","sum","sum","spr","sum","spr","spr"
"Q90_Strt_Sea_Lng_Evt","sum","win","sum","sum","sum","sum","sum"
"Q10_Dur_Lng_Evt","318","147","365","365","244","182","270"
"Q25_Dur_Lng_Evt","125","88","204","257","219","156","174"
"Q50_Dur_Lng_Evt","108","65","91","163","118","40","97"
"Q75_Dur_Lng_Evt","85","23","70","108","33","11","55"
"Q90_Dur_Lng_Evt","15","8","60","51","10","4","24"
"Init_Mag","355.236","1609.721","501.917","1620.368","84.444","46.575","703.044"
"Init_Tim","63","-9","-45","2","-94","-90","-28.833"
"Init_Dur","9","9","19","7","7","6","9.5"
"Wet_BFL_Mag_10","206.8","45.35","233.88","792.84","49.75","6.68","222.55"
"Wet_BFL_Mag_50","1666.6","259.05","2567.2","1342.9","584.35","145.9","1094.333"
"Wet_Tim","74","-18","51","82","-77","106","36.333"
"Wet_BFL_Dur","141","226","28","117","276","125","152.167"
"Peak_Mag_Ann","6634.7","11526.7","45690.6","9453.8","2656.5","8188","14025.05"
"Peak_Mag_Tim","280","57","78","106","198","230","158.167"
"Peak_Mag_95","4275.6","6185.2","7403.4","5418.8",NA,"8188","6294.2"
"Peak_Mag_90","2903.2","4283.95","4555.7","4585.1","2656.5","8188","4528.742"
"Peak_Mag_80","3610.4","3430.7","4136.5","3254.6","1388.8","1387.3","2868.05"
"Peak_Dur_95","6","9","46","51",NA,"3","23"
"Peak_Dur_90","50","15","99","60","10","4","39.667"
"Peak_Dur_80","110","50","117","121","36","13","74.5"
"Peak_Fre_95","4","4","6","3",NA,"1","3.6"
"Peak_Fre_90","9","6","5","4","1","1","4.333"
"Peak_Fre_80","5","7","5","7","3","5","5.333"
"Peak_Tim_95","246.5","93.5","137","105",NA,"229","162.2"
"Peak_Tim_90","200","160.5","117","83","192","228","163.417"
"Peak_Tim_80","266","171","117","127","111","227","169.833"
"Rec_Mag","4597.5","2070.6","45690.6","4826.1","2656.5","8188","11338.217"
"Rec_Tim","214","207","78","198","198","230","187.5"
"Rec_Dur","125","35","209","66","49","115","99.833"
"Rec_ROC","0.111","0.248","0.097","0.07","0.15","0.125","0.134"
"Dry_Mag_90","59.7","555.05","399","85.02","594.26","220.31","318.89"
"Dry_Mag_50","52.1","144.15","191.1","52.4","21.4","111.95","95.517"
"Dry_Mag_10","40.88","19.9","135.2","30.92","5.3","63.68","49.313"
"Dry_Tim","339","242","287","264","247","345","287.333"
"Dry_Dur","9","176","161","25","225","22","103"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1","1","1.833","2.75",NA,"1","1.517"
"No_Peaks_Max","1","1","3","2",NA,"1","1.6"
"Frac_V_Cent_Avg","0.875","0.75","0.576","0.756",NA,"0.667","0.725"
"Frac_V_Cent_Max","0.5","0.5","0.4","0.5",NA,"0.667","0.513"
