"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","388.437","623.654","3929.57","465.282","396.017","177.946","996.274"
"SD_Ann","187.41","863.82","4639.001","287.932","215.575","118.432","2337.995"
"CV_Ann","0.482","1.385","1.181","0.619","0.544","0.666","2.347"
"Q10_Mag","175","209.2","172.54","153.36","138.68","25.75","121.42"
"Q25_Mag","234.1","332.325","480.3","232.4","251.6","74.75","221.275"
"Q50_Mag","352.6","438.1","1049.3","382.4","350","160.15","373.45"
"Q75_Mag","526.3","613.125","6973","701","537.5","267.2","620.85"
"Q90_Mag","665.76","726.7","11450","893.18","687.34","342.45","1007.09"
"Q10_Tim","52","1","42","106","70","92","60"
"Q25_Tim","86","116","44","96","139","62","90"
"Q50_Tim","123","127","51","161","180","28","111"
"Q75_Tim","171","133","65","141","226",NA,"147"
"Q90_Tim",NA,"73","23","164","210",NA,"117"
"Q10_Fre","2","1","2","4","3","10","3"
"Q25_Fre","6","5","3","7","9","3","5"
"Q50_Fre","3","4","2","8","10","7","5"
"Q75_Fre","4","7","4","3","9",NA,"5"
"Q90_Fre",NA,"2","3","3","1",NA,"2"
"Q10_Dur","348","366","359","344","353","224","332"
"Q25_Dur","285","328","320","289","302","155","279"
"Q50_Dur","182","258","296","202","177","28","190"
"Q75_Dur","59","109","241","111","64",NA,"116"
"Q90_Dur",NA,"19","188","15","6",NA,"57"
"Q10_Mag_Lng_Evt","893.9","5391.6","16585","1277.1","1026.7","452.7","4271"
"Q25_Mag_Lng_Evt","893.9","1017.7","16585","1277.1","1026.7","452.7","3542"
"Q50_Mag_Lng_Evt","893.9","1017.7","16585","1249.4","1026.7","452.7","3537"
"Q75_Mag_Lng_Evt","893.9","756.9","16585","1249.4","1026.7",NA,"4102"
"Q90_Mag_Lng_Evt",NA,"5391.6","16585","1249.4","1026.7",NA,"6063"
"Q10_Strt_Tim_Lng_Evt","1","1","1","50","88","1","23"
"Q25_Strt_Tim_Lng_Evt","57","134","1","50","146","1","64"
"Q50_Strt_Tim_Lng_Evt","156","137","8","158","161","1","103"
"Q75_Strt_Tim_Lng_Evt","175","180","9","158","197",NA,"143"
"Q90_Strt_Tim_Lng_Evt",NA,"69","10","207","210",NA,"124"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","spr","win","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","win","spr","win","win"
"Q50_Strt_Sea_Lng_Evt","sum","spr","win","sum","sum","win","sum"
"Q75_Strt_Sea_Lng_Evt","sum","sum","win","sum","sum",NA,"sum"
"Q90_Strt_Sea_Lng_Evt",NA,"spr","win","sum","sum",NA,"sum"
"Q10_Dur_Lng_Evt","289","366","313","214","278","98","259"
"Q25_Dur_Lng_Evt","224","144","277","211","127","98","180"
"Q50_Dur_Lng_Evt","103","123","256","99","97","12","115"
"Q75_Dur_Lng_Evt","55","31","178","85","37",NA,"77"
"Q90_Dur_Lng_Evt",NA,"18","176","9","6",NA,"52"
"Init_Mag","338.677","667.985","6127.299","491.7","268.77","290.857","1364.215"
"Init_Tim","41","28","28","-36","-70","-44","-8.833"
"Init_Dur","17","9","26","13","8","12","14.167"
"Wet_BFL_Mag_10","333.88","389.5","2463","215.36","169.1","128.4","616.54"
"Wet_BFL_Mag_50","500.7","438.6","7073","495.7","355","266.8","1521.633"
"Wet_Tim","62","62","5","-47","-44","-53","-2.5"
"Wet_BFL_Dur","147","11","115","287","276","271","184.5"
"Peak_Mag_Ann","893.9","5391.6","16585","1277.1","1026.7","452.7","4271.167"
"Peak_Mag_Tim","187","72","118","90","211","8","114.333"
"Peak_Mag_95",NA,NA,"11879",NA,NA,NA,"11879"
"Peak_Mag_90",NA,"3204.65","1200.6","1249.4","1026.7",NA,"1670.338"
"Peak_Mag_80","769","743.65","970.95","1263.25","782.55",NA,"905.88"
"Peak_Dur_95",NA,NA,"112",NA,NA,NA,"112"
"Peak_Dur_90",NA,"19","188","15","6",NA,"57"
"Peak_Dur_80","41","55","229","102","36",NA,"92.6"
"Peak_Fre_95",NA,NA,"2",NA,NA,NA,"2"
"Peak_Fre_90",NA,"2","3","3","1",NA,"2.25"
"Peak_Fre_80","3","10","4","2","8",NA,"5.4"
"Peak_Tim_95",NA,NA,"49",NA,NA,NA,"49"
"Peak_Tim_90",NA,"110","202","158","210",NA,"170"
"Peak_Tim_80","183","184.5","223","122.5","204.5",NA,"183.5"
"Rec_Mag","769","5391.6","16585","995.7","717.5","374","4138.8"
"Rec_Tim","208","72","119","239","231","217","181"
"Rec_Dur","86","213","171","29","78","66","107.167"
"Rec_ROC","0.06","0.071","0.043","0.121","0.078","0.134","0.084"
"Dry_Mag_90","635.74","449.52","162.72","251.39","124.43","116.17","289.995"
"Dry_Mag_50","320.95","355.1","137.7","166.45","123.65","34.75","189.767"
"Dry_Mag_10","181.76","154.94","106.38","71.24","122.31","14.83","108.577"
"Dry_Tim","294","285","290","268","309","283","288.167"
"Dry_Dur","134","87","29","54","4","84","65.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"2.25",NA,NA,NA,"2.25"
"No_Peaks_Max",NA,NA,"3",NA,NA,NA,"3"
"Frac_V_Cent_Avg",NA,NA,"0.518",NA,NA,NA,"0.518"
"Frac_V_Cent_Max",NA,NA,"0.474",NA,NA,NA,"0.474"
