"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","402.151","722.059","4006.862","550.109","422.229","225.122","1054.225"
"SD_Ann","210.29","895.431","4619.413","316.612","215.456","187.192","2341.276"
"CV_Ann","0.523","1.24","1.153","0.576","0.51","0.832","2.221"
"Q10_Mag","175.66","214.65","172.54","191.7","194.04","26.25","142.65"
"Q25_Mag","234.8","341.275","495.7","254.3","264.7","101.275","241.2"
"Q50_Mag","352.6","506.2","1082.2","482.7","376.4","221.25","398.65"
"Q75_Mag","543.5","733.25","6973","827.6","577.4","300.3","709.375"
"Q90_Mag","691.38","1011.6","11450","1011.48","703.86","385.4","1112.27"
"Q10_Tim","52","1","40","96","45","69","50"
"Q25_Tim","83","115","44","101","141","86","94"
"Q50_Tim","124","113","51","108","193","61","108"
"Q75_Tim","173","73","17","114","213","101","115"
"Q90_Tim",NA,"97","25","148",NA,"102","92"
"Q10_Fre","2","1","2","4","2","5","2"
"Q25_Fre","5","3","2","7","10","7","5"
"Q50_Fre","3","5","2","5","12","5","5"
"Q75_Fre","3","6","3","2","8","1","3"
"Q90_Fre",NA,"2","3","4",NA,"1","2"
"Q10_Dur","347","366","348","345","347","241","332"
"Q25_Dur","276","326","319","293","307","169","281"
"Q50_Dur","180","243","294","206","174","34","188"
"Q75_Dur","42","102","238","143","36","9","95"
"Q90_Dur",NA,"28","183","9",NA,"7","56"
"Q10_Mag_Lng_Evt","1099.1","5391.6","16585","1277.1","1092.5","1128.7","4429"
"Q25_Mag_Lng_Evt","1099.1","1792.6","16585","1277.1","1026.7","452.7","3705"
"Q50_Mag_Lng_Evt","893.9","1792.6","16585","1277.1","1026.7","1128.7","3784"
"Q75_Mag_Lng_Evt","769","5391.6","16585","1249.4","924.5","1128.7","4341"
"Q90_Mag_Lng_Evt",NA,"5391.6","16585","1114.5",NA,"1128.7","6054"
"Q10_Strt_Tim_Lng_Evt","1","1","1","50","1","1","9"
"Q25_Strt_Tim_Lng_Evt","57","133","1","50","147","1","64"
"Q50_Strt_Tim_Lng_Evt","157","134","8","76","193","100","111"
"Q75_Strt_Tim_Lng_Evt","208","26","9","118","334","101","132"
"Q90_Strt_Tim_Lng_Evt",NA,"69","14","139",NA,"102","81"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","win","spr","win","win"
"Q50_Strt_Sea_Lng_Evt","sum","spr","win","spr","sum","spr","spr"
"Q75_Strt_Sea_Lng_Evt","sum","win","win","spr","aut","spr","spr"
"Q90_Strt_Sea_Lng_Evt",NA,"spr","win","spr",NA,"spr","spr"
"Q10_Dur_Lng_Evt","288","366","306","235","299","158","275"
"Q25_Dur_Lng_Evt","223","145","277","219","126","66","176"
"Q50_Dur_Lng_Evt","102","126","254","179","65","18","124"
"Q75_Dur_Lng_Evt","20","70","232","124","11","9","77"
"Q90_Dur_Lng_Evt",NA,"18","173","4",NA,"7","50"
"Init_Mag","338.677","1048.283","6127.299","491.7","554.594","290.857","1475.235"
"Init_Tim","41","42","28","-36","-20","-44","1.833"
"Init_Dur","17","24","26","13","20","12","18.667"
"Wet_BFL_Mag_10","274","304.2","2463","204.02","228.1","199.88","612.2"
"Wet_BFL_Mag_50","508","627.8","7073","636.1","385.3","291","1586.867"
"Wet_Tim","53","61","5","-47","-37","-44","-1.5"
"Wet_BFL_Dur","156","91","115","255","269","262","191.333"
"Peak_Mag_Ann","1099.1","5391.6","16585","1277.1","1092.5","1128.7","4429"
"Peak_Mag_Tim","68","72","118","90","77","102","87.833"
"Peak_Mag_95",NA,NA,"7173",NA,NA,NA,"7173"
"Peak_Mag_90",NA,"3592.1","1226.9","1187.6",NA,"1128.7","1783.825"
"Peak_Mag_80","996.5","3592.1","16585","1060.75","975.6","1128.7","4056.442"
"Peak_Dur_95",NA,NA,"111",NA,NA,NA,"111"
"Peak_Dur_90",NA,"28","183","9",NA,"7","56.75"
"Peak_Dur_80","9","78","229","98","23","8","74.167"
"Peak_Fre_95",NA,NA,"3",NA,NA,NA,"3"
"Peak_Fre_90",NA,"2","3","4",NA,"1","2.5"
"Peak_Fre_80","2","2","1","6","4","1","2.667"
"Peak_Tim_95",NA,NA,"35",NA,NA,NA,"35"
"Peak_Tim_90",NA,"108.5","201","159",NA,"102","142.625"
"Peak_Tim_80","126.5","89","9","161.5","160.5","101","107.917"
"Rec_Mag","769","1792.6","16585","1080.8","717.5","374","3553.15"
"Rec_Tim","208","151","119","207","231","217","188.833"
"Rec_Dur","86","134","171","79","78","66","102.333"
"Rec_ROC","0.06","0.068","0.038","0.057","0.078","0.134","0.073"
"Dry_Mag_90","980.58","449.52","162.72","354.32","310.56","234.98","415.447"
"Dry_Mag_50","320.5","355.1","137.7","228.3","137.4","37.05","202.675"
"Dry_Mag_10","181.74","154.94","106.38","126.82","123.52","14.83","118.038"
"Dry_Tim","294","285","290","286","309","283","291.167"
"Dry_Dur","133","87","29","43","13","84","64.833"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"1.8",NA,NA,NA,"1.8"
"No_Peaks_Max",NA,NA,"3",NA,NA,NA,"3"
"Frac_V_Cent_Avg",NA,NA,"0.637",NA,NA,NA,"0.637"
"Frac_V_Cent_Max",NA,NA,"0.459",NA,NA,NA,"0.459"
