"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","618.069","913.746","4899.484","651.61","689.197","485.332","1375.622"
"SD_Ann","489.339","1307.1","6727.33","548.568","560.604","422.242","3236.226"
"CV_Ann","0.792","1.43","1.373","0.842","0.813","0.87","2.353"
"Q10_Mag","188.42","208.5","255.64","205.68","148.76","169.35","191.02"
"Q25_Mag","251.8","289.8","325.3","304.2","278.5","231.25","275.475"
"Q50_Mag","406.4","556.05","778.2","555.1","552.2","389.3","511.4"
"Q75_Mag","878.8","911.4","8574.1","804.5","887.4","569","885.925"
"Q90_Mag","1348.24","1386.85","15485.56","1108.76","1493.4","774.85","1963.9"
"Q10_Tim","36","79","94","111","106","127","92"
"Q25_Tim","100","143","106","166","144","125","130"
"Q50_Tim","120","157","76","194","152","181","146"
"Q75_Tim","138","146","31","224","168","290","166"
"Q90_Tim","180","115","19","163","207","297","163"
"Q10_Fre","4","3","2","5","5","6","4"
"Q25_Fre","8","5","7","7","7","8","7"
"Q50_Fre","5","11","4","8","7","10","7"
"Q75_Fre","4","7","2","9","7","5","5"
"Q90_Fre","2","3","2","1","2","2","2"
"Q10_Dur","330","350","358","340","315","312","334"
"Q25_Dur","244","286","311","288","277","264","278"
"Q50_Dur","160","195","233","201","198","122","184"
"Q75_Dur","93","99","175","76","97","27","94"
"Q90_Dur","11","25","153","8","13","13","37"
"Q10_Mag_Lng_Evt","2135.1","7882.5","26728.6","4651.8","3049","1105.8","7592"
"Q25_Mag_Lng_Evt","2135.1","1761.2","26728.6","4651.8","3049","1105.8","6571"
"Q50_Mag_Lng_Evt","1999.7","1761.2","26728.6","4651.8","3049","893.3","6513"
"Q75_Mag_Lng_Evt","2135.1","1761.2","26728.6","4651.8","3049","2680.7","6834"
"Q90_Mag_Lng_Evt","2135.1","7296.4","26728.6","4651.8","3049","2680.7","7756"
"Q10_Strt_Tim_Lng_Evt","11","96","1","144","57","93","67"
"Q25_Strt_Tim_Lng_Evt","80","98","1","147","131","94","91"
"Q50_Strt_Tim_Lng_Evt","89","153","1","148","136","186","118"
"Q75_Strt_Tim_Lng_Evt","181","167","1","149","172","287","159"
"Q90_Strt_Tim_Lng_Evt","196","63","1","163","198","289","151"
"Q10_Strt_Sea_Lng_Evt","win","spr","win","spr","win","spr","spr"
"Q25_Strt_Sea_Lng_Evt","spr","spr","win","spr","spr","spr","spr"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","spr","spr","sum","spr"
"Q75_Strt_Sea_Lng_Evt","sum","sum","win","spr","sum","aut","sum"
"Q90_Strt_Sea_Lng_Evt","sum","spr","win","sum","sum","aut","sum"
"Q10_Dur_Lng_Evt","304","271","181","222","235","174","231"
"Q25_Dur_Lng_Evt","170","133","174","130","160","168","155"
"Q50_Dur_Lng_Evt","81","73","159","107","114","27","93"
"Q75_Dur_Lng_Evt","42","27","155","25","36","13","49"
"Q90_Dur_Lng_Evt","9","15","143","8","9","9","32"
"Init_Mag","1137.633","2420.512","742.966","2172.049","1071.464","1068.582","1435.534"
"Init_Tim","30","27","-117","-94","-6","-22","-30.333"
"Init_Dur","9","18","17","13","21","26","17.333"
"Wet_BFL_Mag_10","244.69","112.1","3266.6","183.38","127.81","294.58","704.86"
"Wet_BFL_Mag_50","783.15","3466.5","8783.5","328.3","652.75","567.8","2430.333"
"Wet_Tim","21","57","-13","-108","-53","-47","-23.833"
"Wet_BFL_Dur","182","13","111","274","284","55","153.167"
"Peak_Mag_Ann","2135.1","7882.5","26728.6","4651.8","3049","2680.7","7854.617"
"Peak_Mag_Tim","202","366","97","165","204","290","220.667"
"Peak_Mag_95",NA,"7589.45","11840.7",NA,NA,NA,"9715.075"
"Peak_Mag_90","2067.4","7296.4","15477.55","4651.8","3005.45","2669.5","5861.35"
"Peak_Mag_80","1443.7","2428.15","15477.55","1424.8","1622.4","2658.3","4175.817"
"Peak_Dur_95",NA,"6","107",NA,NA,NA,"56.5"
"Peak_Dur_90","11","25","153","8","13","13","37.167"
"Peak_Dur_80","66","82","168","40","67","21","74"
"Peak_Fre_95",NA,"2","3",NA,NA,NA,"2.5"
"Peak_Fre_90","2","3","2","1","2","2","2"
"Peak_Fre_80","5","6","2","4","6","3","4.333"
"Peak_Tim_95",NA,"216","13",NA,NA,NA,"114.5"
"Peak_Tim_90","151.5","63","136","163","213","302","171.417"
"Peak_Tim_80","139","145.5","135.5","242","178.5","288","188.083"
"Rec_Mag","2135.1","7296.4","26728.6","4651.8","2961.9","666.5","7406.717"
"Rec_Tim","202","69","97","165","230","7","128.333"
"Rec_Dur","116","164","68","118","69","263","133"
"Rec_ROC","0.051","0.086","0.047","0.113","0.117","0.055","0.078"
"Dry_Mag_90","1358.64","675.5","744.32","558.17","263.6","1981.28","930.252"
"Dry_Mag_50","255.1","402.9","468.9","463.9","212.85","290.1","348.958"
"Dry_Mag_10","174.6","210.5","184.86","346.75","178.45","164.54","209.95"
"Dry_Tim","318","233","165","283","299","270","261.333"
"Dry_Dur","105","121","93","30","20","97","77.667"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,"1","1.75",NA,NA,NA,"1.375"
"No_Peaks_Max",NA,"1","2",NA,NA,NA,"1.5"
"Frac_V_Cent_Avg",NA,"0.528","0.498",NA,NA,NA,"0.513"
"Frac_V_Cent_Max",NA,"0.556","0.359",NA,NA,NA,"0.458"
