"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","631.784","1008.173","4982.956","731.871","720.575","538.903","1435.106"
"SD_Ann","487.834","1318.032","6678.49","544.218","582.412","449.287","3227.159"
"CV_Ann","0.772","1.307","1.34","0.744","0.808","0.834","2.249"
"Q10_Mag","193","237.4","280.28","221.68","148.76","174.25","203.54"
"Q25_Mag","254","380.475","445.6","402.5","299.2","258.8","310.225"
"Q50_Mag","444.5","645.45","838.9","661.7","573.1","439.55","579.55"
"Q75_Mag","896.9","1043.425","8574.1","911.5","949.8","606.375","976.25"
"Q90_Mag","1348.24","1626.3","15485.56","1157.6","1681.04","954.45","2079.74"
"Q10_Tim","63","113","1","55","107","113","75"
"Q25_Tim","93","136","86","131","153","113","118"
"Q50_Tim","123","145","64","148","163","173","136"
"Q75_Tim","136","141","25","195","165","230","148"
"Q90_Tim","198","110","18","163","211","298","166"
"Q10_Fre","3","3","1","3","4","4","3"
"Q25_Fre","7","4","4","4","7","7","5"
"Q50_Fre","5","10","4","4","7","9","6"
"Q75_Fre","7","7","2","6","6","5","5"
"Q90_Fre","1","3","2","1","2","2","1"
"Q10_Dur","321","354","365","350","310","305","334"
"Q25_Dur","226","289","314","297","272","261","276"
"Q50_Dur","149","206","249","223","181","117","187"
"Q75_Dur","80","99","176","77","90","34","92"
"Q90_Dur","6","28","160","8","10","12","37"
"Q10_Mag_Lng_Evt","2135.1","1761.2","26728.6","4651.8","3049","1526.6","6642"
"Q25_Mag_Lng_Evt","2135.1","1761.2","26728.6","4651.8","3049","1526.6","6642"
"Q50_Mag_Lng_Evt","1999.7","1761.2","26728.6","4651.8","3049","958.5","6524"
"Q75_Mag_Lng_Evt","2135.1","1761.2","26728.6","4651.8","3049","2680.7","6834"
"Q90_Mag_Lng_Evt","2135.1","7296.4","26728.6","4651.8","3049","2680.7","7756"
"Q10_Strt_Tim_Lng_Evt","47","97","1","60","58","62","54"
"Q25_Strt_Tim_Lng_Evt","81","97","1","77","131","81","78"
"Q50_Strt_Tim_Lng_Evt","91","142","1","95","169","187","114"
"Q75_Strt_Tim_Lng_Evt","181","168","1","145","173","288","159"
"Q90_Strt_Tim_Lng_Evt","198","63","1","163","200","289","152"
"Q10_Strt_Sea_Lng_Evt","win","spr","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","spr","win","spr","spr","spr","spr"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","spr","sum","sum","spr"
"Q75_Strt_Sea_Lng_Evt","sum","sum","win","spr","sum","aut","sum"
"Q90_Strt_Sea_Lng_Evt","sum","spr","win","sum","sum","aut","sum"
"Q10_Dur_Lng_Evt","267","190","365","306","234","203","260"
"Q25_Dur_Lng_Evt","168","134","199","199","129","180","168"
"Q50_Dur_Lng_Evt","73","58","182","160","79","25","96"
"Q75_Dur_Lng_Evt","36","25","160","28","35","12","49"
"Q90_Dur_Lng_Evt","6","18","150","8","6","8","32"
"Init_Mag","1137.633","2646.981","742.966","2184.806","1071.464","1068.582","1475.405"
"Init_Tim","30","27","-117","-95","-6","-22","-30.5"
"Init_Dur","9","18","17","12","21","26","17.167"
"Wet_BFL_Mag_10","260.8","449.14","3266.6","219.2","127.81","163.53","747.847"
"Wet_BFL_Mag_50","820.35","3921.3","8783.5","392.5","661.65","474.25","2508.925"
"Wet_Tim","21","57","-13","-108","-53","-47","-23.833"
"Wet_BFL_Dur","182","13","111","274","284","148","168.667"
"Peak_Mag_Ann","2135.1","7882.5","26728.6","4651.8","3049","2680.7","7854.617"
"Peak_Mag_Tim","202","366","97","165","204","290","220.667"
"Peak_Mag_95",NA,"7589.45","11840.7",NA,NA,NA,"9715.075"
"Peak_Mag_90","2135.1","7296.4","15477.55","4651.8","3005.45","2669.5","5872.633"
"Peak_Mag_80","1721.7","1674.75","15477.55","1338.4","1912.85","2658.3","4130.592"
"Peak_Dur_95",NA,"6","107",NA,NA,NA,"56.5"
"Peak_Dur_90","6","28","160","8","10","12","37.333"
"Peak_Dur_80","51","78","174","40","73","29","74.167"
"Peak_Fre_95",NA,"2","3",NA,NA,NA,"2.5"
"Peak_Fre_90","1","3","2","1","2","2","1.833"
"Peak_Fre_80","4","8","2","5","6","3","4.667"
"Peak_Tim_95",NA,"216","13",NA,NA,NA,"114.5"
"Peak_Tim_90","198","63","136","163","214","302","179.333"
"Peak_Tim_80","81.5","157","135.5","219","179","288","176.667"
"Rec_Mag","2135.1","7296.4","26728.6","4651.8","2961.9","1526.6","7550.067"
"Rec_Tim","202","69","97","165","230","100","143.833"
"Rec_Dur","116","164","104","118","69","170","123.5"
"Rec_ROC","0.051","0.085","0.047","0.113","0.117","0.05","0.077"
"Dry_Mag_90","1694.88","675.5","786.28","558.17","263.6","1981.28","993.285"
"Dry_Mag_50","264.1","402.9","628.6","463.9","212.85","290.1","377.075"
"Dry_Mag_10","177.72","210.5","253.74","346.75","178.45","164.54","221.95"
"Dry_Tim","318","233","201","283","299","270","267.333"
"Dry_Dur","105","121","57","30","20","97","71.667"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,"1","1.75",NA,NA,NA,"1.375"
"No_Peaks_Max",NA,"1","2",NA,NA,NA,"1.5"
"Frac_V_Cent_Avg",NA,"0.528","0.498",NA,NA,NA,"0.513"
"Frac_V_Cent_Max",NA,"0.556","0.359",NA,NA,NA,"0.458"
