"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","1061.468","1297.643","3898.372","1168.834","1386.727","660.857","1578.436"
"SD_Ann","790.517","1309.965","8365.588","799.705","959.222","431.63","3665.438"
"CV_Ann","0.745","1.009","2.146","0.684","0.692","0.653","2.322"
"Q10_Mag","205.12","188.45","180.92","273.4","419","113.65","191.12"
"Q25_Mag","349.4","515.9","237.6","681.8","802.5","292.5","396.075"
"Q50_Mag","863.4","959.95","993.3","1044.6","1120.6","678.9","959.2"
"Q75_Mag","1600.6","1747.95","2814.6","1635.5","1741.6","984.75","1618.2"
"Q90_Mag","2237.3","2322.65","11732.84","2091.62","2743.32","1122.1","2387.36"
"Q10_Tim","76","77","101","7","22","23","51"
"Q25_Tim","59","95","70","99","33","68","70"
"Q50_Tim","111","148","54","167","123","146","124"
"Q75_Tim","137","162","15","182","138","189","137"
"Q90_Tim","152","169","50","186","181","359","182"
"Q10_Fre","4","4","6","1","2","5","3"
"Q25_Fre","4","6","5","3","1","7","4"
"Q50_Fre","8","9","2","8","6","11","7"
"Q75_Fre","4","10","3","7","7","3","5"
"Q90_Fre","3","6","5","4","4","1","3"
"Q10_Dur","335","330","315","350","349","311","331"
"Q25_Dur","255","297","240","315","333","239","279"
"Q50_Dur","174","190","185","230","250","114","190"
"Q75_Dur","91","112","144","96","119","9","95"
"Q90_Dur","23","33","111","12","49","1","38"
"Q10_Mag_Lng_Evt","3193.2","7329.7","61220.7","9694","9511.9","1825.3","15462"
"Q25_Mag_Lng_Evt","3193.2","2789.2","61220.7","9694","9511.9","1825.3","14705"
"Q50_Mag_Lng_Evt","3120","2789.2","61220.7","9694","9511.9","1825.3","14693"
"Q75_Mag_Lng_Evt","3193.2","2789.2","61220.7","2421.6","9511.9","1825.3","13493"
"Q90_Mag_Lng_Evt","3193.2","12113.5","61220.7","9694","9511.9","2964.3","16449"
"Q10_Strt_Tim_Lng_Evt","37","87","1","7","22","1","25"
"Q25_Strt_Tim_Lng_Evt","59","87","1","118","33","35","55"
"Q50_Strt_Tim_Lng_Evt","67","133","1","139","119","155","102"
"Q75_Strt_Tim_Lng_Evt","171","149","1","180","157","179","139"
"Q90_Strt_Tim_Lng_Evt","186","57","61","157","173","359","165"
"Q10_Strt_Sea_Lng_Evt","win","spr","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","spr","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","spr","spr","sum","spr"
"Q75_Strt_Sea_Lng_Evt","sum","spr","win","sum","sum","sum","sum"
"Q90_Strt_Sea_Lng_Evt","sum","win","win","sum","sum","win","sum"
"Q10_Dur_Lng_Evt","268","280","172","350","344","290","284"
"Q25_Dur_Lng_Evt","230","246","148","236","333","194","231"
"Q50_Dur_Lng_Evt","92","82","135","126","149","65","108"
"Q75_Dur_Lng_Evt","41","36","135","54","74","7","57"
"Q90_Dur_Lng_Evt","14","14","75","5","25","1","22"
"Init_Mag","952.703","1740.703","5921.898","925.272","258.477","886.001","1780.842"
"Init_Tim","20","19","-6","28","3","-90","-4.333"
"Init_Dur","8","14","9","4","3","2","6.667"
"Wet_BFL_Mag_10","464.25","160.15","2053","544.88","903.05","411.14","756.078"
"Wet_BFL_Mag_50","1532.75","1545.9","14645.8","1482.4","1612","853.3","3612.025"
"Wet_Tim","33","50","56","59","28","-92","22.333"
"Wet_BFL_Dur","156","186","31","185","186","299","173.833"
"Peak_Mag_Ann","3193.2","12113.5","61220.7","9694","9511.9","2964.3","16449.6"
"Peak_Mag_Tim","188","58","86","157","197","359","174.167"
"Peak_Mag_95",NA,"9721.6","8754.65","9694","7426.9",NA,"8899.288"
"Peak_Mag_90","3120","2778.3","7208","2678.2","4168.6","2964.3","3819.567"
"Peak_Mag_80","2390.2","2610.3","2417","2312.1","2179.5","2394.8","2383.983"
"Peak_Dur_95",NA,"24","81","2","10",NA,"29.25"
"Peak_Dur_90","23","33","111","12","49","1","38.167"
"Peak_Dur_80","75","93","137","67","91","8","78.5"
"Peak_Fre_95",NA,"2","4","1","2",NA,"2.25"
"Peak_Fre_90","3","6","5","4","4","1","3.833"
"Peak_Fre_80","5","9","3","9","5","2","5.5"
"Peak_Tim_95",NA,"207","29.5","157","206",NA,"149.875"
"Peak_Tim_90","130","130","36","176","170.5","359","166.917"
"Peak_Tim_80","139","133","215","180","84","269","170"
"Rec_Mag","3193.2","2030.7","61220.7","2312.1","3208.3","1102.4","12177.9"
"Rec_Tim","188","235","86","243","213","206","195.167"
"Rec_Dur","122","103","189","122","60","121","119.5"
"Rec_ROC","0.057","0.049","0.071","0.021","0.034","0.107","0.056"
"Dry_Mag_90","550.35","5887.94","606.89","285.14","491.8","534.73","1392.808"
"Dry_Mag_50","312.45","2215.3","199.95","168.7","491.8","98.65","581.142"
"Dry_Mag_10","82.4","324.76","174.02","118.88","491.8","71.11","210.495"
"Dry_Tim","310","338","275","365","273","327","314.667"
"Dry_Dur","106","85","150","29","1","40","68.5"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,"1.5","3","1","1",NA,"1.625"
"No_Peaks_Max",NA,"1","6","1","1",NA,"2.25"
"Frac_V_Cent_Avg",NA,"0.585","0.545","0.5","0.792",NA,"0.606"
"Frac_V_Cent_Max",NA,"0.5","0.633","0.5","1",NA,"0.658"
