"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","959.763","1531.471","5565.815","1142.459","1222.986","706.008","1854.079"
"SD_Ann","631.724","2569.896","9564.463","668.172","787.137","471.303","4403.981"
"CV_Ann","0.658","1.678","1.718","0.585","0.644","0.668","2.375"
"Q10_Mag","301.4","354.75","363.76","470.16","379.86","272.35","341.3"
"Q25_Mag","406.1","549.975","451.2","750.5","745.4","381.3","522.6"
"Q50_Mag","735.2","888.7","1068.9","1014.3","1023.2","663.4","882.45"
"Q75_Mag","1387.6","1439.95","5415.1","1436.5","1545.7","850.35","1429.65"
"Q90_Mag","1899.94","1927","21029.62","1758.7","2341.16","1072.95","2427.74"
"Q10_Tim","24","71","97","19","38","94","57"
"Q25_Tim","61","128","71","101","96","110","94"
"Q50_Tim","109","146","58","170","136","199","136"
"Q75_Tim","136","143","10","176","147","299","151"
"Q90_Tim","134","145","3","167","197","337","163"
"Q10_Fre","3","4","3","2","1","10","3"
"Q25_Fre","3","6","3","3","3","8","4"
"Q50_Fre","6","11","3","8","9","11","8"
"Q75_Fre","6","9","2","8","8","7","6"
"Q90_Fre","3","3","2","3","3","3","2"
"Q10_Dur","321","341","354","356","328","289","331"
"Q25_Dur","252","295","253","325","318","239","280"
"Q50_Dur","165","184","206","246","233","91","187"
"Q75_Dur","84","98","149","104","113","20","94"
"Q90_Dur","8","29","139","9","32","9","37"
"Q10_Mag_Lng_Evt","2731","15295","3306.9","6679.1","5780.6","1953","5957"
"Q25_Mag_Lng_Evt","2731","2290.3","55477.7","6679.1","5780.6","1953","12485"
"Q50_Mag_Lng_Evt","2731","2290.3","55477.7","6679.1","5780.6","1430","12398"
"Q75_Mag_Lng_Evt","2542.4","2290.3","55477.7","2074.1","5780.6","3458.5","11937"
"Q90_Mag_Lng_Evt","2731","15295","55477.7","6679.1","5780.6","3007.4","14828"
"Q10_Strt_Tim_Lng_Evt","6","59","181","20","38","39","57"
"Q25_Strt_Tim_Lng_Evt","45","134","1","121","38","87","71"
"Q50_Strt_Tim_Lng_Evt","71","146","1","143","129","178","111"
"Q75_Strt_Tim_Lng_Evt","175","158","1","173","166","309","163"
"Q90_Strt_Tim_Lng_Evt","99","59","1","159","184","362","144"
"Q10_Strt_Sea_Lng_Evt","win","win","sum","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","spr","win","spr","spr"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","spr","spr","sum","spr"
"Q75_Strt_Sea_Lng_Evt","sum","sum","win","sum","sum","aut","sum"
"Q90_Strt_Sea_Lng_Evt","spr","win","win","sum","sum","win","win"
"Q10_Dur_Lng_Evt","303","279","185","342","328","203","273"
"Q25_Dur_Lng_Evt","219","198","158","238","247","154","202"
"Q50_Dur_Lng_Evt","86","73","150","126","124","28","97"
"Q75_Dur_Lng_Evt","41","28","144","65","67","6","58"
"Q90_Dur_Lng_Evt","5","15","138","6","18","5","31"
"Init_Mag","1555.033","3317.543","15620.711","1333.117","1305.529","995.589","4021.254"
"Init_Tim","24","22","-4","-99","41","-86","-17"
"Init_Dur","10","15","14","10","9","5","10.5"
"Wet_BFL_Mag_10","489.22","377.34","3783.7","361.46","799.88","412.1","1037.283"
"Wet_BFL_Mag_50","1297.3","1357","8910.5","634.4","1456.1","763.4","2403.117"
"Wet_Tim","15","53","19","-189","33","-71","-23.333"
"Wet_BFL_Dur","177","159","71","350","193","303","208.833"
"Peak_Mag_Ann","2731","18162.9","55477.7","6679.1","5780.6","3458.5","15381.633"
"Peak_Mag_Tim","102","361","89","160","199","311","203.667"
"Peak_Mag_95",NA,"16728.95","18822.5","6679.1","5780.6",NA,"12002.788"
"Peak_Mag_90","2542.4","15295","29392.3","2571.5","5242.8","3007.4","9675.233"
"Peak_Mag_80","2343.3","3475.5","29392.3","1926.6","2038.9","2599.4","6962.667"
"Peak_Dur_95",NA,"16","93","2","1",NA,"28"
"Peak_Dur_90","8","29","139","9","32","9","37.667"
"Peak_Dur_80","67","69","144","71","90","15","76"
"Peak_Fre_95",NA,"2","4","1","1",NA,"2"
"Peak_Fre_90","3","3","2","3","3","3","2.833"
"Peak_Fre_80","4","6","2","9","5","5","5.167"
"Peak_Tim_95",NA,"209","16","159","199",NA,"145.75"
"Peak_Tim_90","191","59","135.5","159","209","310","177.25"
"Peak_Tim_80","109.5","126","135","184","155","290","166.583"
"Rec_Mag","2542.4","1951.7","55477.7","6679.1","5242.8","1953","12307.783"
"Rec_Tim","191","211","89","160","225","231","184.5"
"Rec_Dur","125","126","71","223","49","69","110.5"
"Rec_ROC","0.055","0.056","0.08","0.047","0.083","0.177","0.083"
"Dry_Mag_90","1433.8","16562.86","571.02","237.22","1119.8","2032.4","3659.517"
"Dry_Mag_50","361.9","3935.8","379.1","213.3","526.8","331.7","958.1"
"Dry_Mag_10","171.68","312.44","263.56","200.38","449.9","186.08","264.007"
"Dry_Tim","316","337","160","383","274","300","295"
"Dry_Dur","103","49","17","15","21","67","45.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,"1.5","1.8","1","1",NA,"1.325"
"No_Peaks_Max",NA,"1","2","1","1",NA,"1.25"
"Frac_V_Cent_Avg",NA,"0.41","0.465","1","1",NA,"0.719"
"Frac_V_Cent_Max",NA,"0.444","0.607","1","1",NA,"0.763"
