"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","973.478","1624.99","5654.628","1227.798","1255.788","753.298","1914.334"
"SD_Ann","631.686","2568.565","9523.178","656.689","810.034","513.408","4395.995"
"CV_Ann","0.649","1.581","1.684","0.535","0.645","0.682","2.296"
"Q10_Mag","308.54","463.7","376.72","518.22","379.86","272.35","358.8"
"Q25_Mag","408.7","605.85","563.4","870.6","763.1","398.225","570.9"
"Q50_Mag","763.4","1008.6","1149.4","1170.8","1025.8","691.25","949.25"
"Q75_Mag","1390.5","1554.375","5415.1","1545.5","1591.4","889.175","1538.7"
"Q90_Mag","1911.02","2092.5","21029.62","1758.7","2405.26","1412.85","2552.3"
"Q10_Tim","26","19","17","21","38","94","35"
"Q25_Tim","56","135","1","53","95","115","75"
"Q50_Tim","108","131","56","125","129","199","124"
"Q75_Tim","132","138","6","174","144","219","135"
"Q90_Tim","100","142","3","157","170","337","151"
"Q10_Fre","4","2","3","2","1","9","3"
"Q25_Fre","4","6","1","2","3","7","3"
"Q50_Fre","6","9","4","8","7","11","7"
"Q75_Fre","6","10","2","11","7","7","7"
"Q90_Fre","1","3","2","2","4","3","2"
"Q10_Dur","313","355","356","351","328","284","331"
"Q25_Dur","243","308","278","325","316","235","284"
"Q50_Dur","165","191","220","249","225","78","188"
"Q75_Dur","73","101","155","97","105","27","93"
"Q90_Dur","4","30","142","7","32","9","37"
"Q10_Mag_Lng_Evt","2731","15758","55477.7","6679.1","5780.6","1984","14735"
"Q25_Mag_Lng_Evt","2731","2290.3","55477.7","6679.1","5780.6","1953","12485"
"Q50_Mag_Lng_Evt","2731","2290.3","55477.7","6679.1","5780.6","1494.2","12408"
"Q75_Mag_Lng_Evt","2542.4","2290.3","55477.7","2074.1","5780.6","1984","11691"
"Q90_Mag_Lng_Evt","2731","15758","55477.7","6679.1","5780.6","3007.4","14905"
"Q10_Strt_Tim_Lng_Evt","6","1","1","22","38","39","17"
"Q25_Strt_Tim_Lng_Evt","45","135","1","55","38","104","63"
"Q50_Strt_Tim_Lng_Evt","71","136","1","71","130","178","97"
"Q75_Strt_Tim_Lng_Evt","175","158","1","195","167","86","130"
"Q90_Strt_Tim_Lng_Evt","100","59","1","159","184","362","144"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","win","win","spr","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","spr","spr","sum","spr"
"Q75_Strt_Sea_Lng_Evt","sum","sum","win","sum","sum","spr","sum"
"Q90_Strt_Sea_Lng_Evt","spr","win","win","sum","sum","win","win"
"Q10_Dur_Lng_Evt","293","337","340","339","328","203","306"
"Q25_Dur_Lng_Evt","218","163","278","303","246","137","224"
"Q50_Dur_Lng_Evt","86","83","162","179","123","22","109"
"Q75_Dur_Lng_Evt","36","26","152","26","62","11","52"
"Q90_Dur_Lng_Evt","4","16","141","6","18","5","31"
"Init_Mag","1555.033","3509.541","15620.711","1069.276","1305.529","995.589","4009.28"
"Init_Tim","24","22","-4","33","41","-86","5"
"Init_Dur","10","15","14","18","9","5","11.833"
"Wet_BFL_Mag_10","510.08","579.38","3783.7","1051.41","862.54","460.22","1207.888"
"Wet_BFL_Mag_50","1301.1","1485.9","8910.5","1425.15","1530.3","777.8","2571.792"
"Wet_Tim","15","53","19","67","33","-71","19.333"
"Wet_BFL_Dur","177","159","71","94","193","303","166.167"
"Peak_Mag_Ann","2731","18162.9","55477.7","6679.1","5780.6","3458.5","15381.633"
"Peak_Mag_Tim","102","361","89","160","199","311","203.667"
"Peak_Mag_95",NA,"16960.45","18822.5","6679.1","5780.6",NA,"12060.662"
"Peak_Mag_90","2731","15758","29392.3","4625.3","3975.85","3007.4","9914.975"
"Peak_Mag_80","2144.2","2290.3","29392.3","1984.4","2508.55","2304","6770.625"
"Peak_Dur_95",NA,"16","93","2","1",NA,"28"
"Peak_Dur_90","4","30","142","7","32","9","37.333"
"Peak_Dur_80","61","75","155","58","83","25","76.167"
"Peak_Fre_95",NA,"2","4","1","1",NA,"2"
"Peak_Fre_90","1","3","2","2","4","3","2.5"
"Peak_Fre_80","5","7","2","10","4","6","5.667"
"Peak_Tim_95",NA,"209","16","159","199",NA,"145.75"
"Peak_Tim_90","100","59","135.5","151.5","199.5","310","159.25"
"Peak_Tim_80","88","141","135","191","124","286","160.833"
"Rec_Mag","2542.4","1951.7","55477.7","6679.1","5242.8","1953","12307.783"
"Rec_Tim","191","211","89","160","225","231","184.5"
"Rec_Dur","125","126","204","223","49","69","132.667"
"Rec_ROC","0.055","0.056","0.07","0.047","0.083","0.177","0.081"
"Dry_Mag_90","1751.32","16562.86","801.11","237.22","1119.8","2032.4","3750.785"
"Dry_Mag_50","373.6","3935.8","419.65","213.3","526.8","331.7","966.808"
"Dry_Mag_10","267.18","312.44","350.35","200.38","449.9","186.08","294.388"
"Dry_Tim","316","337","293","383","274","300","317.167"
"Dry_Dur","103","49","140","15","21","67","65.833"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,"1.5","1.8","1","1",NA,"1.325"
"No_Peaks_Max",NA,"1","2","1","1",NA,"1.25"
"Frac_V_Cent_Avg",NA,"0.41","0.465","1","1",NA,"0.719"
"Frac_V_Cent_Max",NA,"0.444","0.607","1","1",NA,"0.763"
