"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","234.273","381.813","2488.406","347.6","244.992","108.386","633.89"
"SD_Ann","159.967","620.755","2761.159","216.408","180.587","57.892","1429.668"
"CV_Ann","0.683","1.626","1.11","0.623","0.737","0.534","2.255"
"Q10_Mag","44.34","76.2","75.42","105.14","68.3","36.65","60.93"
"Q25_Mag","119.3","149.3","164.8","191.1","109.3","69.525","107.875"
"Q50_Mag","217.7","261","657.3","297","187.4","99","210.7"
"Q75_Mag","322.7","369.55","4728.8","506.9","332.4","147","384.475"
"Q90_Mag","420.46","457.2","7060.2","671.9","529","192.15","773.23"
"Q10_Tim","13","65","40","27","100","108","58"
"Q25_Tim","49","109","40","87","148","88","86"
"Q50_Tim","123","102","21","89","180","55","94"
"Q75_Tim","168","108","49","138","213",NA,"135"
"Q90_Tim","72","71","14","156","346",NA,"131"
"Q10_Fre","3","2","2","2","4","8","3"
"Q25_Fre","2","3","5","4","10","9","5"
"Q50_Fre","8","6","3","8","12","5","7"
"Q75_Fre","3","10","2","4","7",NA,"5"
"Q90_Fre","1","1","1","5","1",NA,"1"
"Q10_Dur","305","353","345","357","347","294","333"
"Q25_Dur","281","303","302","333","290","173","280"
"Q50_Dur","195","228","255","255","164","17","185"
"Q75_Dur","66","82","220","130","69",NA,"113"
"Q90_Dur","4","20","175","18","3",NA,"44"
"Q10_Mag_Lng_Evt","885.7","3757.7","8238.5","1011.7","762.5","219.8","2479"
"Q25_Mag_Lng_Evt","885.7","627.8","8238.5","1011.7","762.5","248.1","1962"
"Q50_Mag_Lng_Evt","598.3","627.8","8238.5","1011.7","762.5","248.1","1914"
"Q75_Mag_Lng_Evt","598.3","3757.7","8238.5","1011.7","762.5",NA,"2873"
"Q90_Mag_Lng_Evt","885.7","3757.7","8238.5","1011.7","899.4",NA,"2958"
"Q10_Strt_Tim_Lng_Evt","1","5","1","1","95","115","36"
"Q25_Strt_Tim_Lng_Evt","61","138","11","53","165","1","71"
"Q50_Strt_Tim_Lng_Evt","169","139","12","54","166","32","95"
"Q75_Strt_Tim_Lng_Evt","181","71","13","154","182",NA,"120"
"Q90_Strt_Tim_Lng_Evt","72","71","14","159","346",NA,"132"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","spr","spr","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","win","sum","win","win"
"Q50_Strt_Sea_Lng_Evt","sum","spr","win","win","sum","win","win"
"Q75_Strt_Sea_Lng_Evt","sum","spr","win","sum","sum",NA,"sum"
"Q90_Strt_Sea_Lng_Evt","spr","spr","win","sum","win",NA,"spr"
"Q10_Dur_Lng_Evt","294","279","303","329","233","119","259"
"Q25_Dur_Lng_Evt","225","132","272","236","140","93","183"
"Q50_Dur_Lng_Evt","75","127","247","214","90","9","127"
"Q75_Dur_Lng_Evt","52","21","178","91","39",NA,"76"
"Q90_Dur_Lng_Evt","4","20","175","8","3",NA,"42"
"Init_Mag","797.839","387.917","203.704","217.585","189.602","718.765","419.235"
"Init_Tim","74","32","-49","-31","-50","-18","-7"
"Init_Dur","16","8","8","7","4","18","10.167"
"Wet_BFL_Mag_10","197.56","330.34","2161.1","247","62.1","70","511.35"
"Wet_BFL_Mag_50","320.3","2864.4","4705.3","443.45","191.1","136.9","1443.575"
"Wet_Tim","64","66","8","40","-31","-35","18.667"
"Wet_BFL_Dur","168","17","116","202","247","264","169"
"Peak_Mag_Ann","885.7","3757.7","8238.5","1011.7","899.4","248.1","2506.85"
"Peak_Mag_Tim","73","82","123","159","347","33","136.167"
"Peak_Mag_95",NA,NA,"6521.85",NA,NA,NA,"6521.85"
"Peak_Mag_90","885.7","3757.7","8238.5","874.7","899.4",NA,"2931.2"
"Peak_Mag_80","598.3","485.25","4486.2","776.5","612.15",NA,"1391.68"
"Peak_Dur_95",NA,NA,"110",NA,NA,NA,"110"
"Peak_Dur_90","4","20","175","18","3",NA,"44"
"Peak_Dur_80","30","42","217","112","51",NA,"90.4"
"Peak_Fre_95",NA,NA,"2",NA,NA,NA,"2"
"Peak_Fre_90","1","1","1","5","1",NA,"1.8"
"Peak_Fre_80","3","8","2","4","4",NA,"4.2"
"Peak_Tim_95",NA,NA,"57.5",NA,NA,NA,"57.5"
"Peak_Tim_90","72","71","14","181","346",NA,"136.8"
"Peak_Tim_80","188","112.5","107.5","153","262.5",NA,"164.7"
"Rec_Mag","464.6","3757.7","8238.5","711.2","750.6","219.8","2357.067"
"Rec_Tim","231","82","123","241","215","228","186.667"
"Rec_Dur","75","199","163","70","101","140","124.667"
"Rec_ROC","0.072","0.095","0.044","0.08","0.078","0.125","0.082"
"Dry_Mag_90","434.35","208.48","210.47","216.74","105.16","24.4","199.933"
"Dry_Mag_50","72.65","100.65","115.25","94.35","68.3","24.4","79.267"
"Dry_Mag_10","32.55","56.76","54.17","39.14","57","24.4","44.003"
"Dry_Tim","306","281","286","311","316","368","311.333"
"Dry_Dur","126","94","120","24","15","3","63.667"
"Dry_NoFL_Days","1","0","0","0","0",NA,"0.2"
"No_Peaks_Avg",NA,NA,"2",NA,NA,NA,"2"
"No_Peaks_Max",NA,NA,"4",NA,NA,NA,"4"
"Frac_V_Cent_Avg",NA,NA,"0.534",NA,NA,NA,"0.534"
"Frac_V_Cent_Max",NA,NA,"0.493",NA,NA,NA,"0.493"
