"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","234.273","472.171","2562.296","418.782","268.999","148.422","683.816"
"SD_Ann","159.967","670.106","2761.722","267.972","198.285","145.879","1444.103"
"CV_Ann","0.683","1.419","1.078","0.64","0.737","0.983","2.112"
"Q10_Mag","44.34","76.2","75.42","113.14","78","42.7","66.01"
"Q25_Mag","119.3","151.375","166.1","201.9","121.9","81.125","119.3"
"Q50_Mag","217.7","281.3","700.1","339.5","196.7","118.9","225.9"
"Q75_Mag","322.7","456.025","4752.9","635.6","365.7","173.575","491.175"
"Q90_Mag","420.46","834.8","7060.2","788.86","563.92","235.1","927.27"
"Q10_Tim","9","65","38","25","74","64","46"
"Q25_Tim","49","113","36","90","150","108","90"
"Q50_Tim","126","93","19","90","172","122","103"
"Q75_Tim","147","59","13","101","194","104","102"
"Q90_Tim",NA,"85","16","142","81","106","85"
"Q10_Fre","2","2","2","2","4","7","3"
"Q25_Fre","2","4","5","5","10","9","5"
"Q50_Fre","8","3","3","6","11","5","6"
"Q75_Fre","2","2","1","2","4","1","2"
"Q90_Fre",NA,"2","1","2","1","1","1"
"Q10_Dur","302","350","341","354","347","303","332"
"Q25_Dur","280","298","298","326","285","197","280"
"Q50_Dur","180","230","253","244","164","40","185"
"Q75_Dur","25","87","228","151","58","12","93"
"Q90_Dur",NA,"24","174","21","1","4","44"
"Q10_Mag_Lng_Evt","885.7","3757.7","8238.5","1072.5","947.5","1045.3","2657"
"Q25_Mag_Lng_Evt","885.7","1210.2","8238.5","1072.5","762.5","248.1","2069"
"Q50_Mag_Lng_Evt","598.3","1210.2","8238.5","1072.5","762.5","1045.3","2154"
"Q75_Mag_Lng_Evt","598.3","3757.7","8238.5","1072.5","762.5","1045.3","2579"
"Q90_Mag_Lng_Evt",NA,"3757.7","8238.5","1072.5","947.5","1045.3","3012"
"Q10_Strt_Tim_Lng_Evt","1","5","1","1","46","1","9"
"Q25_Strt_Tim_Lng_Evt","61","137","11","54","165","22","75"
"Q50_Strt_Tim_Lng_Evt","170","137","12","55","166","103","107"
"Q75_Strt_Tim_Lng_Evt","190","33","13","102","185","104","104"
"Q90_Strt_Tim_Lng_Evt",NA,"71","16","141","81","106","83"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","win","sum","win","win"
"Q50_Strt_Sea_Lng_Evt","sum","spr","win","win","sum","spr","spr"
"Q75_Strt_Sea_Lng_Evt","sum","win","win","spr","sum","spr","spr"
"Q90_Strt_Sea_Lng_Evt",NA,"spr","win","spr","spr","spr","spr"
"Q10_Dur_Lng_Evt","294","277","302","329","268","233","283"
"Q25_Dur_Lng_Evt","225","132","272","234","115","72","175"
"Q50_Dur_Lng_Evt","74","128","247","212","90","21","128"
"Q75_Dur_Lng_Evt","16","68","228","142","35","12","83"
"Q90_Dur_Lng_Evt",NA,"20","174","20","1","4","43"
"Init_Mag","797.839","3693.398","203.704","217.585","293.48","718.765","987.462"
"Init_Tim","74","81","-49","-31","-50","-18","1.167"
"Init_Dur","16","17","8","7","6","18","12"
"Wet_BFL_Mag_10","197.56","209.59","2161.1","215.1","76.45","97.24","492.84"
"Wet_BFL_Mag_50","320.3","605.9","4705.3","573.2","206.05","148.45","1093.2"
"Wet_Tim","64","25","8","40","-56","-35","7.667"
"Wet_BFL_Dur","168","130","116","137","272","264","181.167"
"Peak_Mag_Ann","885.7","3757.7","8238.5","1072.5","947.5","1045.3","2657.867"
"Peak_Mag_Tim","73","82","123","145","81","108","102"
"Peak_Mag_95",NA,NA,"6521.85",NA,NA,NA,"6521.85"
"Peak_Mag_90",NA,"2483.95","8238.5","1020.15","947.5","1045.3","2747.08"
"Peak_Mag_80","742","2483.95","771.8","800.4","830.95","1045.3","1112.4"
"Peak_Dur_95",NA,NA,"110",NA,NA,NA,"110"
"Peak_Dur_90",NA,"24","174","21","1","4","44.8"
"Peak_Dur_80","8","80","208","111","35","10","75.333"
"Peak_Fre_95",NA,NA,"2",NA,NA,NA,"2"
"Peak_Fre_90",NA,"2","1","2","1","1","1.4"
"Peak_Fre_80","2","2","3","6","4","1","3"
"Peak_Tim_95",NA,NA,"59",NA,NA,NA,"59"
"Peak_Tim_90",NA,"112","16","153","81","106","93.6"
"Peak_Tim_80","135.5","92.5","200","156.5","200","104","148.083"
"Rec_Mag","464.6","1210.2","8238.5","860.5","750.6","219.8","1957.367"
"Rec_Tim","231","154","123","176","215","228","187.833"
"Rec_Dur","75","127","163","115","101","67","108"
"Rec_ROC","0.072","0.085","0.04","0.066","0.078","0.109","0.075"
"Dry_Mag_90","132.38","208.48","210.47","224.32","105.16","214.59","182.567"
"Dry_Mag_50","46.5","100.65","115.25","155.9","68.3","51.4","89.667"
"Dry_Mag_10","29.94","56.76","54.17","77.82","57","16.56","48.708"
"Dry_Tim","306","281","286","291","316","295","295.833"
"Dry_Dur","85","94","120","19","15","72","67.5"
"Dry_NoFL_Days","1","0","0","0","0","0","0.167"
"No_Peaks_Avg",NA,NA,"1.667",NA,NA,NA,"1.667"
"No_Peaks_Max",NA,NA,"3",NA,NA,NA,"3"
"Frac_V_Cent_Avg",NA,NA,"0.523",NA,NA,NA,"0.523"
"Frac_V_Cent_Max",NA,NA,"0.486",NA,NA,NA,"0.486"
