"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","14.128","55.193","347.625","14.533","14.59","29.63","79.249"
"SD_Ann","32.872","78.386","422.702","33.984","38.046","48.709","215.227"
"CV_Ann","2.327","1.42","1.216","2.338","2.608","1.644","2.716"
"Q10_Mag","0","0","0","0","0","0","0"
"Q25_Mag","0","0","0","0","0","0","0"
"Q50_Mag","0","1.3","75","0","0","0","0"
"Q75_Mag","0","110.2","634.4","1.7","0","92.05","75"
"Q90_Mag","82.18","166.9","1058.48","73.76","96.5","108.45","151.16"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","1","1","1","1","1","1","1"
"Q75_Tim","18","157","60","187","57","1","79"
"Q90_Tim",NA,"69","27","357",NA,"42","123"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","1","1","1","1","1","1","1"
"Q75_Fre","2","4","4","2","3","1","2"
"Q90_Fre",NA,"2","1","1",NA,"1","1"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","365","366","365","365","365","366","365"
"Q75_Dur","49","118","225","31","45","100","94"
"Q90_Dur",NA,"46","167","3",NA,"5","55"
"Q10_Mag_Lng_Evt","114.4","319.7","1412.2","155.2","144.6","155","383"
"Q25_Mag_Lng_Evt","114.4","319.7","1412.2","155.2","144.6","155","383"
"Q50_Mag_Lng_Evt","114.4","319.7","1412.2","155.2","144.6","155","383"
"Q75_Mag_Lng_Evt","107.1","148.1","1412.2","83.3","144.6","155","341"
"Q90_Mag_Lng_Evt",NA,"319.7","1412.2","155.2",NA,"155","510"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q75_Strt_Tim_Lng_Evt","30","322","23","33","1","1","68"
"Q90_Strt_Tim_Lng_Evt",NA,"78","27","357",NA,"42","126"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q75_Strt_Sea_Lng_Evt","win","aut","win","win","win","win","win"
"Q90_Strt_Sea_Lng_Evt",NA,"spr","win","win",NA,"win","win"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q75_Dur_Lng_Evt","29","45","172","16","38","100","66"
"Q90_Dur_Lng_Evt",NA,"31","167","3",NA,"5","51"
"Init_Mag","94.502","168.9","2.033","75.003","1.382","1.366","57.198"
"Init_Tim","50","56","-201","-135","-98","-265","-98.833"
"Init_Dur","10","8","19","10","13","15","12.5"
"Wet_BFL_Mag_10","69.66","6.46","196.02","0","0","0.78","45.487"
"Wet_BFL_Mag_50","87.9","108.95","633.5","0","115.45","107.05","175.475"
"Wet_Tim","1","5","15","-162","-24","-19","-30.667"
"Wet_BFL_Dur","45","90","133","208","60","64","100"
"Peak_Mag_Ann","114.4","319.7","1412.2","155.2","144.6","155","383.517"
"Peak_Mag_Tim","9","94","147","358","7","44","109.833"
"Peak_Mag_95",NA,NA,"1412.2",NA,NA,NA,"1412.2"
"Peak_Mag_90",NA,"248.15","1412.2","155.2",NA,"155","492.638"
"Peak_Mag_80","107.1","148.1","123.6","155.2","128.3","119.1","130.233"
"Peak_Dur_95",NA,NA,"111",NA,NA,NA,"111"
"Peak_Dur_90",NA,"46","167","3",NA,"5","55.25"
"Peak_Dur_80","25","111","175","14","38","85","74.667"
"Peak_Fre_95",NA,NA,"1",NA,NA,NA,"1"
"Peak_Fre_90",NA,"2","1","1",NA,"1","1.25"
"Peak_Fre_80","3","5","3","1","4","3","3.167"
"Peak_Tim_95",NA,NA,"65",NA,NA,NA,"65"
"Peak_Tim_90",NA,"63.5","27","357",NA,"42","122.375"
"Peak_Tim_80","33","78","18","352","187","30","116.333"
"Rec_Mag","107.1","319.7","1412.2","83.3","126.8","155","367.35"
"Rec_Tim","45","94","147","45","35","44","68.333"
"Rec_Dur","28","53","56","140","19","70","61"
"Rec_ROC","0.098","0.148","0.039","0.165","0.428","0.021","0.15"
"Dry_Mag_90","0","132.82","0","0","0","0.2","22.17"
"Dry_Mag_50","0","0","0","0","0","0","0"
"Dry_Mag_10","0","0","0","0","0","0","0"
"Dry_Tim","73","147","203","185","54","114","129.333"
"Dry_Dur","298","235","1","157","293","253","206.167"
"Dry_NoFL_Days","298","161","1","149","282","213","184"
"No_Peaks_Avg",NA,NA,"5.667",NA,NA,NA,"5.667"
"No_Peaks_Max",NA,NA,"15",NA,NA,NA,"15"
"Frac_V_Cent_Avg",NA,NA,"0.56",NA,NA,NA,"0.56"
"Frac_V_Cent_Max",NA,NA,"0.602",NA,NA,NA,"0.602"
