"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","14.128","62.248","354.151","14.533","14.59","29.63","81.514"
"SD_Ann","32.872","80.753","418.353","33.984","38.046","48.709","215.208"
"CV_Ann","2.327","1.297","1.181","2.338","2.608","1.644","2.64"
"Q10_Mag","0","0","0","0","0","0","0"
"Q25_Mag","0","0","0","0","0","0","0"
"Q50_Mag","0","1.3","114","0","0","0","0"
"Q75_Mag","0","128.225","634.4","1.7","0","92.05","84.45"
"Q90_Mag","82.18","175.75","1058.48","73.76","96.5","108.45","155.18"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","1","1","1","1","1","1","1"
"Q75_Tim","21","139","60","351","43","1","102"
"Q90_Tim",NA,"67","27","358",NA,NA,"150"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","1","1","1","1","1","1","1"
"Q75_Fre","3","4","5","1","3","1","2"
"Q90_Fre",NA,"2","1","1",NA,NA,"1"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","365","366","365","365","365","366","365"
"Q75_Dur","34","135","227","15","43","98","92"
"Q90_Dur",NA,"53","167","1",NA,NA,"73"
"Q10_Mag_Lng_Evt","114.4","319.7","1412.2","155.2","144.6","155","383"
"Q25_Mag_Lng_Evt","114.4","319.7","1412.2","155.2","144.6","155","383"
"Q50_Mag_Lng_Evt","114.4","319.7","1412.2","155.2","144.6","155","383"
"Q75_Mag_Lng_Evt","114.4","319.7","1412.2","155.2","144.6","155","383"
"Q90_Mag_Lng_Evt",NA,"319.7","1412.2","155.2",NA,NA,"629"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q75_Strt_Tim_Lng_Evt","1","35","24","351","1","1","68"
"Q90_Strt_Tim_Lng_Evt",NA,"79","27","358",NA,NA,"154"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q75_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q90_Strt_Sea_Lng_Evt",NA,"spr","win","win",NA,NA,"win"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q75_Dur_Lng_Evt","16","78","178","15","38","98","70"
"Q90_Dur_Lng_Evt",NA,"30","167","1",NA,NA,"66"
"Init_Mag","94.502","264.19","2.518","2.194","1.382","1.366","61.025"
"Init_Tim","50","94","-201","-46","-98","-265","-77.667"
"Init_Dur","10","15","16","39","13","15","18"
"Wet_BFL_Mag_10","69.66","6.46","209.05","3.51","0","0.78","48.243"
"Wet_BFL_Mag_50","87.9","140.45","633.85","71.95","115.45","107.05","192.775"
"Wet_Tim","1","5","16","2","-24","-19","-3.167"
"Wet_BFL_Dur","45","90","132","44","60","64","72.5"
"Peak_Mag_Ann","114.4","319.7","1412.2","155.2","144.6","155","383.517"
"Peak_Mag_Tim","9","94","147","358","7","44","109.833"
"Peak_Mag_95",NA,NA,"1412.2",NA,NA,NA,"1412.2"
"Peak_Mag_90",NA,"256.65","1412.2","155.2",NA,NA,"608.017"
"Peak_Mag_80","110.75","132.15","123.75","155.2","128.3","119.1","128.208"
"Peak_Dur_95",NA,NA,"111",NA,NA,NA,"111"
"Peak_Dur_90",NA,"53","167","1",NA,NA,"73.667"
"Peak_Dur_80","13","121","208","14","33","64","75.5"
"Peak_Fre_95",NA,NA,"1",NA,NA,NA,"1"
"Peak_Fre_90",NA,"2","1","1",NA,NA,"1.333"
"Peak_Fre_80","2","4","4","1","4","3","3"
"Peak_Tim_95",NA,NA,"65",NA,NA,NA,"65"
"Peak_Tim_90",NA,"65","27","358",NA,NA,"150"
"Peak_Tim_80","23","226","117","352","188","32","156.333"
"Rec_Mag","107.1","319.7","1412.2","83.3","126.8","155","367.35"
"Rec_Tim","45","94","147","45","35","44","68.333"
"Rec_Dur","28","54","118","140","19","70","71.5"
"Rec_ROC","0.098","0.123","0.045","0.165","0.428","0.021","0.147"
"Dry_Mag_90","0","132.82","0","0","0","0.2","22.17"
"Dry_Mag_50","0","0","0","0","0","0","0"
"Dry_Mag_10","0","0","0","0","0","0","0"
"Dry_Tim","73","148","265","185","54","114","139.833"
"Dry_Dur","298","235","103","157","293","253","223.167"
"Dry_NoFL_Days","298","160","102","149","282","213","200.667"
"No_Peaks_Avg",NA,NA,"5.667",NA,NA,NA,"5.667"
"No_Peaks_Max",NA,NA,"15",NA,NA,NA,"15"
"Frac_V_Cent_Avg",NA,NA,"0.56",NA,NA,NA,"0.56"
"Frac_V_Cent_Max",NA,NA,"0.602",NA,NA,NA,"0.602"
